chr	center	observed_log	atac_pred_log	true_residual	class	sequence5p_residual	multimodal5p_residual	residual_sequence_residual	residual_multimodal_residual	residual_atac_residual
chr21	8990385	2.1972246	5.858596	-3.6613712	accessible_not_acetylated	-2.69137	0.18194199	0.36606932	0.5625291	-0.13573885
chr7	102517778	0.0	3.642129	-3.642129	accessible_not_acetylated	-0.97835803	-1.1947374	-0.596267	-1.0345445	-0.017570019
chr21	8996199	2.0794415	5.7015257	-3.6220841	accessible_not_acetylated	-2.9570737	-0.22367239	0.15525913	-0.0054135323	-0.08685589
chr21	43076392	0.6931472	4.312411	-3.6192636	accessible_not_acetylated	-1.1847243	-0.713387	-1.0206037	-0.5949199	-0.009333134
chr7	102592752	1.0986123	4.710765	-3.6121526	accessible_not_acetylated	-2.3102334	-0.13128376	-0.6155014	-0.79123497	-0.04903984
chr21	8988855	0.6931472	4.2995687	-3.6064215	accessible_not_acetylated	0.017474174	1.0095477	0.35201454	1.1987848	-0.04322195
chr21	6467633	0.6931472	4.295122	-3.601975	accessible_not_acetylated	-0.6803241	-0.73677945	-0.99555516	-0.37503624	-0.04041958
chr7	102490732	0.6931472	4.271193	-3.5780458	accessible_not_acetylated	-1.6806664	0.06846285	-0.41334295	-0.6244707	-0.059314728
chr21	45643374	1.0986123	4.6488404	-3.550228	accessible_not_acetylated	-0.25290537	-2.7059226	-1.7251253	-1.746032	-0.058291435
chr7	73154911	1.609438	5.154068	-3.54463	accessible_not_acetylated	-0.1618352	-0.43212652	-0.41053677	-0.23252678	0.029437542
chr8	37695623	1.609438	5.1289406	-3.5195026	accessible_not_acetylated	-2.8040473	-1.6968892	-1.4276233	-1.4261808	-0.13636398
chr7	29680800	1.0986123	4.6094675	-3.5108552	accessible_not_acetylated	-2.1481779	-0.43226624	0.06851244	-0.24978638	0.04488516
chr22	21514503	1.0986123	4.597592	-3.4989796	accessible_not_acetylated	-1.5036244	0.8592601	0.3335166	0.8392577	0.053815365
chr18	26197296	0.0	3.4953709	-3.4953709	accessible_not_acetylated	-0.93354416	-0.49112058	-0.30487967	-0.3559637	-0.011185646
chr21	8994141	2.7080503	6.1947217	-3.4866714	accessible_not_acetylated	-4.4927516	-0.78861046	0.10681629	-0.7435069	-0.1713109
chr17	63476966	0.6931472	4.1796207	-3.4864736	accessible_not_acetylated	-2.5882792	-1.8674276	-1.5009036	-1.514071	-0.09945154
chr22	21424533	0.6931472	4.1775703	-3.4844232	accessible_not_acetylated	-1.6181917	0.564456	-0.28403473	0.18195629	0.016526222
chr18	67516819	1.3862944	4.831402	-3.4451075	accessible_not_acetylated	-1.1306169	-1.8441489	-0.6735139	-1.4251039	-0.025457859
chr10	116742868	1.0986123	4.54108	-3.4424677	accessible_not_acetylated	-2.1212604	-1.7656345	-1.2555704	-1.7272003	-0.018487453
chr22	18970685	1.0986123	4.5303583	-3.431746	accessible_not_acetylated	-2.1778665	-0.8600497	-1.1061954	-0.7423744	0.055538654
chr12	70366240	1.3862944	4.8112884	-3.424994	accessible_not_acetylated	-2.342866	-2.0776424	-1.2362847	-1.7688794	-0.09958172
chr12	125186310	0.0	3.4095306	-3.4095306	accessible_not_acetylated	-2.2710967	-1.3246374	-1.2055984	-1.3573308	-0.08472562
chr7	76514994	0.0	3.403614	-3.403614	accessible_not_acetylated	-1.2813084	-0.991467	-0.7105689	-0.8702538	0.064015865
chr10	75409105	1.609438	5.0046124	-3.3951745	accessible_not_acetylated	-2.1013525	-1.2851748	-0.8778825	-0.9414482	-0.02242136
chr6	127516296	0.0	3.3890703	-3.3890703	accessible_not_acetylated	-0.9608438	-1.9467645	-1.4255596	-2.3755198	0.010694265
chr17	50560058	1.3862944	4.7706275	-3.3843331	accessible_not_acetylated	-0.8279247	-0.77728415	-0.43927526	-0.47882175	-0.10086584
chr20	10674001	1.3862944	4.770044	-3.3837495	accessible_not_acetylated	-1.0912228	-1.7014494	-0.5913758	-1.2961392	-0.066223145
chr17	46260077	0.0	3.3605862	-3.3605862	accessible_not_acetylated	-1.6975244	-1.1154218	-0.855968	-1.0936604	-0.08586335
chr6	31272155	1.0986123	4.4383845	-3.3397722	accessible_not_acetylated	-0.7046201	-1.0256729	-0.30374908	-0.6703229	-0.0056777
chr18	12227575	0.0	3.335733	-3.335733	accessible_not_acetylated	-0.8557303	0.3453803	0.06678891	-0.16655016	0.0009920597
chr10	133351835	0.6931472	4.0094833	-3.3163362	accessible_not_acetylated	-2.4765851	-1.8704691	-0.9578502	-1.0197899	-0.021906853
chr18	61894444	0.0	3.3070784	-3.3070784	accessible_not_acetylated	-0.8789356	-1.719518	-1.1524525	-2.1632872	-0.0039799213
chr17	44308567	0.6931472	3.9686956	-3.2755485	accessible_not_acetylated	-1.8868055	-1.3799672	-1.0895214	-1.350369	-0.09385729
chr17	18563558	0.0	3.250506	-3.250506	accessible_not_acetylated	-0.90536976	-0.70776606	-0.3200469	-0.30524063	-0.01704669
chr8	47188919	0.0	3.2361598	-3.2361598	accessible_not_acetylated	-0.8889811	-1.5425112	-1.1303635	-1.8398795	0.00228858
chr22	18527801	0.6931472	3.9188142	-3.225667	accessible_not_acetylated	-1.7184172	-0.10227013	-0.480618	-0.049437046	0.041251898
chr6	166628074	1.609438	4.834394	-3.224956	accessible_not_acetylated	-0.77183247	-1.2587023	-0.60119534	-1.0575919	-0.01771164
chr6	11538226	1.3862944	4.6034937	-3.2171993	accessible_not_acetylated	-1.6779959	-1.7110603	-1.4494891	-1.3579493	0.0042209625
chr21	45973940	1.3862944	4.585965	-3.1996708	accessible_not_acetylated	-1.2900977	-1.0343595	-0.92661905	-1.098556	-0.025182724
chr10	46598002	0.0	3.1446445	-3.1446445	accessible_not_acetylated	-0.59345603	-0.5637963	-0.3815403	-0.29808807	-0.0055298805
chr21	8993207	2.7725887	5.9053717	-3.132783	accessible_not_acetylated	-3.5810354	0.015873909	-0.009203911	0.19464779	-0.18843842
chr22	20270385	1.609438	4.7275276	-3.1180897	accessible_not_acetylated	-2.0565658	-0.9702177	-0.6766181	-0.25164175	0.063930035
chr22	18529207	1.9459102	5.0550833	-3.109173	accessible_not_acetylated	-1.9456792	-0.16518593	-1.4937935	-0.45486546	-0.11774874
chr7	74964486	1.9459102	5.046006	-3.100096	accessible_not_acetylated	-0.39319706	-0.15479612	-0.02197361	0.004933834	0.032539368
chr6	3752026	0.0	3.0841665	-3.0841665	accessible_not_acetylated	1.9189749	-1.7296563	-0.80610085	-1.3983383	0.038406372
chr12	64780641	0.0	3.0827508	-3.0827508	accessible_not_acetylated	-1.3586627	-1.4912791	-0.6654799	-1.3232441	-0.033370733
chr7	144355395	0.0	3.0682633	-3.0682633	accessible_not_acetylated	1.2936189	-0.49861646	0.08291912	-0.34136486	0.05902958
chr7	102671756	1.7917595	4.8540115	-3.062252	accessible_not_acetylated	-1.1282644	0.71789503	0.67894554	0.6666508	0.027918816
chr7	5898689	2.3978953	5.4508257	-3.0529304	accessible_not_acetylated	-0.5485072	-0.26422358	0.21228647	-0.25351334	0.02831173
chr12	66968	1.3862944	4.4365396	-3.0502453	accessible_not_acetylated	-2.930534	-1.185349	-0.8600757	-1.225081	-0.13220787
chr7	158587786	0.6931472	3.7396684	-3.0465212	accessible_not_acetylated	-1.2332628	-2.007195	-1.0105896	-1.1561718	0.03273225
chr22	33921174	0.0	3.0225163	-3.0225163	accessible_not_acetylated	0.54236245	-1.052592	-0.7790923	-1.0926086	0.02233529
chr22	17121058	0.0	3.0204911	-3.0204911	accessible_not_acetylated	-1.8829789	-1.9279298	-1.6093727	-1.8126909	0.04502964
chr10	12349371	1.0986123	4.1174507	-3.0188384	accessible_not_acetylated	-1.9299719	-1.841907	-1.0011926	-1.200007	-0.01891756
chr10	87301626	0.6931472	3.7064898	-3.0133426	accessible_not_acetylated	-0.7404406	-0.14901543	-0.09604478	-0.23161817	-0.022191525
chr12	62435858	1.609438	4.6227508	-3.0133128	accessible_not_acetylated	-2.7404106	-1.6113682	-0.8817642	-0.87872076	-0.11736965
chr7	75991145	1.609438	4.6170664	-3.0076284	accessible_not_acetylated	-2.5113544	-1.1673036	-0.6610818	-0.86766696	0.017280579
chr8	544953	0.0	2.999022	-2.999022	accessible_not_acetylated	1.4833865	-1.0556397	-1.2299922	-1.3316346	-0.045958996
chr17	7717512	1.609438	4.602145	-2.9927073	accessible_not_acetylated	-1.9245238	-1.4508476	-1.1172359	-1.2092726	-0.09647274
chr7	73191059	1.609438	4.597944	-2.9885058	accessible_not_acetylated	-0.73420763	1.0546622	0.4193163	1.10148	0.04033947
chr7	73157646	1.9459102	4.9331293	-2.987219	accessible_not_acetylated	-1.8708901	0.051137924	0.05776024	0.8187299	0.021939278
chr7	74773961	0.0	2.9850564	-2.9850564	accessible_not_acetylated	0.16412687	-0.107794285	-0.00773263	0.13267899	0.057925224
chr18	24014536	1.0986123	4.083607	-2.984995	accessible_not_acetylated	-0.26151347	-2.0471885	-0.47394204	-1.4380007	-0.0134654045
chr8	11466999	1.3862944	4.366193	-2.9798985	accessible_not_acetylated	-0.9692271	-0.6888161	-0.76812077	-1.1198983	-0.047729015
chr21	43044710	0.0	2.9792404	-2.9792404	accessible_not_acetylated	-0.7044749	-0.6351547	-0.29144788	-0.1942563	0.016295671
chr7	143837431	1.3862944	4.348218	-2.9619236	accessible_not_acetylated	-0.81157017	0.19083071	-0.57825756	0.49564075	-0.087182045
chr7	122887437	0.6931472	3.6550298	-2.9618826	accessible_not_acetylated	-0.48549032	-0.36954212	-0.123574495	-0.49525	0.04046464
chr8	94948813	1.609438	4.568569	-2.9591312	accessible_not_acetylated	-0.36105204	-1.4618428	-0.85151863	-0.8472743	-0.04002762
chr7	123612225	0.0	2.9576364	-2.9576364	accessible_not_acetylated	0.071293354	0.43283415	0.376184	0.5910382	0.050397396
chr17	79991794	0.0	2.9563532	-2.9563532	accessible_not_acetylated	-0.78428173	-0.56851864	-1.0105691	-0.6463647	-0.10018301
chr8	141445086	0.0	2.9473314	-2.9473314	accessible_not_acetylated	-0.9809793	-0.88006425	-0.7536504	-0.453676	-0.0018885136
chr17	46361810	1.3862944	4.3317924	-2.945498	accessible_not_acetylated	-0.003259182	0.28372335	-0.17290974	0.66061735	-0.12984133
chr7	102642791	0.0	2.9429865	-2.9429865	accessible_not_acetylated	-0.5227101	-0.9835974	-0.70459294	-0.87652683	0.046477556
chr17	68049219	0.6931472	3.6355157	-2.9423685	accessible_not_acetylated	-1.6514887	0.113012314	0.020049572	0.111543894	-0.049639463
chr20	21506325	0.6931472	3.6261814	-2.9330342	accessible_not_acetylated	-0.74029016	-1.53688	-0.92400336	-1.2896621	-0.040878534
chr18	67516136	1.3862944	4.31356	-2.9272656	accessible_not_acetylated	-0.89614606	-1.4521606	-0.5880687	-1.13058	-0.007650852
chr17	19063720	0.6931472	3.6192722	-2.926125	accessible_not_acetylated	0.89662933	-0.37344408	0.033757925	0.17126322	0.02500248
chr17	81741432	1.609438	4.531657	-2.9222193	accessible_not_acetylated	-3.3745456	-1.5477991	-1.2437391	-1.4965849	-0.105261326
chr10	75402078	1.3862944	4.3064475	-2.9201531	accessible_not_acetylated	-2.0121965	-1.0304286	-0.8758931	-1.5400276	-0.02452612
chr12	49539066	0.6931472	3.606804	-2.9136567	accessible_not_acetylated	-2.5725746	-1.3836803	-1.3785138	-1.4184146	-0.0619967
chr7	29680159	1.609438	4.5202684	-2.9108305	accessible_not_acetylated	-1.9898682	0.0111346245	0.18327522	0.061440468	0.05696726
chr22	21363107	1.0986123	4.0047483	-2.906136	accessible_not_acetylated	-1.3346028	-0.687623	0.13745308	0.18074179	0.062108994
chr8	119863184	0.0	2.9058228	-2.9058228	accessible_not_acetylated	-0.2789359	-0.8530383	-0.36719322	-0.26188636	0.01260376
chr18	32470696	1.609438	4.513289	-2.903851	accessible_not_acetylated	-2.112917	-1.1745007	-0.96796036	-1.2208447	-0.025271416
chr6	43617898	1.7917595	4.688946	-2.8971863	accessible_not_acetylated	-2.2640824	-0.54189634	-0.2991953	-1.0425191	-0.058640003
chr8	67952251	0.0	2.8955564	-2.8955564	accessible_not_acetylated	-1.0548755	-1.6472933	-0.8348458	-1.3742489	0.010420084
chr17	8885354	0.6931472	3.582868	-2.889721	accessible_not_acetylated	-1.4938722	-1.5309615	-2.4777746	-0.88602114	-0.05802703
chr8	144397053	1.609438	4.4964504	-2.8870125	accessible_not_acetylated	-1.9581206	-1.6711721	-1.1426857	-1.0235224	-0.06580067
chr17	45405477	1.3862944	4.26618	-2.8798857	accessible_not_acetylated	-1.776721	-1.8743336	-1.2876434	-1.81038	-0.09080458
chr8	142475726	1.0986123	3.9745333	-2.875921	accessible_not_acetylated	-0.42052746	-0.91308117	-1.1865759	-0.5724306	-0.13510633
chr18	48410411	1.0986123	3.9740405	-2.8754282	accessible_not_acetylated	-1.1628454	-1.7475331	-0.9062731	-1.6230874	-0.009169102
chr12	106247750	0.0	2.873786	-2.873786	accessible_not_acetylated	-0.99602175	-2.1169524	-1.2691683	-1.6769651	0.007893562
chr7	5451008	0.6931472	3.5667858	-2.8736386	accessible_not_acetylated	-1.0361414	-1.0251427	-0.66974974	-0.7955954	0.051050425
chr12	48183491	1.0986123	3.9676175	-2.8690052	accessible_not_acetylated	-1.2721472	-0.12670517	-0.3985622	-1.0413947	-0.112024784
chr6	47309174	1.9459102	4.811955	-2.8660448	accessible_not_acetylated	-2.4159548	-1.164588	-1.2804298	-1.1629314	-0.02273798
chr20	62220145	0.0	2.8578959	-2.8578959	accessible_not_acetylated	-1.0664701	-1.2333674	-1.341579	-1.2154148	-0.10530567
chr10	96514212	1.609438	4.46395	-2.8545122	accessible_not_acetylated	-1.8734713	-1.4901426	-0.8867779	-1.0849621	-0.010149956
chr17	35764247	1.9459102	4.7996798	-2.8537695	accessible_not_acetylated	-3.394309	-1.3826632	-1.3148427	-0.9768982	-0.124780655
chr18	36297101	1.0986123	3.9523363	-2.853724	accessible_not_acetylated	-0.9590268	-0.27382493	-0.9076507	-0.9528041	-0.023066044
chr20	2692891	0.0	2.85316	-2.85316	accessible_not_acetylated	-1.0376635	-1.8030472	-0.9440273	-1.2926934	-0.031421185
chr22	18573814	2.0794415	4.9322433	-2.8528018	accessible_not_acetylated	-2.2514102	0.55606604	-0.21751499	0.3413062	0.05134487
chr6	150072371	0.0	2.8457677	-2.8457677	accessible_not_acetylated	0.5522592	0.32438564	-0.06980634	0.52064514	0.012676716
chr10	117241870	0.0	2.8380063	-2.8380063	accessible_not_acetylated	-0.6993792	-1.1122987	-0.9939518	-0.95509493	0.0065579414
chr7	1666012	0.6931472	3.5300846	-2.8369374	accessible_not_acetylated	-2.1418967	-1.7138327	-1.1561849	-1.8519177	0.061199665
chr17	19108711	0.0	2.8245964	-2.8245964	accessible_not_acetylated	-0.09738588	0.54431915	0.17968798	0.3828082	-0.018235683
chr10	119029708	2.0794415	4.90354	-2.8240986	accessible_not_acetylated	-2.2818136	-1.0990274	-0.8990979	-0.8507185	-0.023427486
chr18	47025128	0.6931472	3.50633	-2.8131828	accessible_not_acetylated	-1.0811715	-0.29597926	-0.13749933	-0.33089995	-0.0112018585
chr21	8991504	1.9459102	4.7423964	-2.7964861	accessible_not_acetylated	-1.9189608	1.1419048	0.12586737	1.2232065	-0.038843155
chr7	24757772	0.6931472	3.4885828	-2.7954357	accessible_not_acetylated	-0.65297365	-1.5654602	-0.9283345	-0.9040115	0.059571505
chr7	5302803	0.6931472	3.485813	-2.7926657	accessible_not_acetylated	-1.488599	-1.3964446	-0.6040714	-0.71998787	0.062930584
chr8	80578510	0.0	2.7919204	-2.7919204	accessible_not_acetylated	-0.46371913	-1.8547916	-1.2492077	-1.5802225	0.00668478
chr20	37903052	0.6931472	3.4841769	-2.7910297	accessible_not_acetylated	-0.26051092	-1.718508	-1.0781736	-1.4636481	-0.025862217
chr17	36935081	0.0	2.790831	-2.790831	accessible_not_acetylated	1.1197865	-1.0350268	-0.4071343	-1.0212724	-0.03335142
chr20	63179238	0.0	2.7884161	-2.7884161	accessible_not_acetylated	0.10176206	-1.6757904	-0.9103625	-1.0224586	0.009821653
chr21	44241004	0.0	2.7878351	-2.7878351	accessible_not_acetylated	0.5603392	-2.1667216	-1.5054882	-1.9653805	0.03113246
chr7	76438061	0.0	2.7771604	-2.7771604	accessible_not_acetylated	0.11791682	-0.09161496	-0.34114408	0.1205461	0.04157281
chr17	8121749	2.4849067	5.2543454	-2.7694387	accessible_not_acetylated	-3.8163993	-1.9301853	-1.3610497	-1.6156621	-0.12808275
chr8	143953435	3.218876	5.98768	-2.768804	accessible_not_acetylated	-3.5638227	-1.8885345	-1.6069303	-1.3013988	-0.156919
chr12	26833252	2.3978953	5.166692	-2.7687964	accessible_not_acetylated	-1.9172132	-0.8275199	-0.74040174	-0.73536634	-0.11401558
chr22	50600486	0.0	2.765481	-2.765481	accessible_not_acetylated	-0.6801567	-1.8292276	-0.88499105	-1.3237432	0.024537802
chr17	46979264	0.0	2.7524571	-2.7524571	accessible_not_acetylated	-0.70271397	-1.6352241	-1.2880813	-1.4198314	-0.0052597523
chr17	46851389	0.6931472	3.4434938	-2.7503467	accessible_not_acetylated	-0.8176365	-2.0343394	-1.0522625	-1.618628	-0.038972378
chr10	132389223	0.0	2.7498853	-2.7498853	accessible_not_acetylated	-0.47889996	-0.73307395	-0.23455596	-0.69161534	0.019137144
chr12	44876274	1.3862944	4.1353817	-2.7490873	accessible_not_acetylated	-1.6826899	-1.5129719	-1.0608945	-1.0447035	-0.08389282
chr6	167834285	2.9957323	5.7379074	-2.742175	accessible_not_acetylated	-3.5177717	-1.3885427	-0.21025944	-1.4874163	-0.069787025
chr12	122865839	1.0986123	3.840115	-2.7415028	accessible_not_acetylated	-0.54117274	-0.8398328	-0.6380787	-0.6304097	-0.07557416
chr6	170423290	0.0	2.740871	-2.740871	accessible_not_acetylated	0.5273206	-0.7542758	-0.35684562	-0.8667424	0.026790619
chr7	102289962	0.0	2.7346334	-2.7346334	accessible_not_acetylated	-0.3267944	-0.50122786	-0.55858755	-0.6183996	0.027417421
chr17	81961285	1.3862944	4.119669	-2.7333746	accessible_not_acetylated	-2.321942	-1.7793341	-1.1422181	-0.8005533	-0.09776497
chr12	49975382	0.0	2.7282002	-2.7282002	accessible_not_acetylated	-0.24408221	-0.67301536	-0.5128677	-0.5732162	-0.0072119236
chr20	63135012	0.6931472	3.4210308	-2.7278836	accessible_not_acetylated	-1.6373438	-2.6086502	-2.895621	-3.4375477	-0.09056258
chr22	21468455	3.0445225	5.7680883	-2.7235658	accessible_not_acetylated	-3.2241757	-0.7586732	-1.6359196	-0.9201102	-0.07465029
chr12	49342652	2.3978953	5.1209927	-2.7230973	accessible_not_acetylated	-2.7035027	-1.1794987	-1.1178374	-1.0312562	-0.1438322
chr7	1670146	0.0	2.7203977	-2.7203977	accessible_not_acetylated	0.81452584	-1.6078389	-0.96796083	-1.7134476	0.038490057
chr6	41734306	1.9459102	4.663711	-2.7178009	accessible_not_acetylated	-1.9362519	-1.1361799	-1.2939649	-0.8872299	-0.036343575
chr12	42483824	1.9459102	4.6622543	-2.716344	accessible_not_acetylated	-2.476713	-0.9623003	-1.1013341	-0.8403301	-0.12650204
chr22	19037128	1.7917595	4.508058	-2.7162986	accessible_not_acetylated	-1.989228	0.106399536	-0.36654902	0.29832888	0.05397749
chr10	75408359	1.0986123	3.8136075	-2.7149951	accessible_not_acetylated	-0.576591	-0.9491675	-0.7631166	-1.2491252	-0.011595964
chr18	46964526	0.0	2.7114453	-2.7114453	accessible_not_acetylated	-0.8777827	-1.5341525	-0.62897134	-1.3921366	0.0069696903
chr17	74972780	1.0986123	3.809114	-2.7105017	accessible_not_acetylated	-0.1614554	-1.3290329	-0.65378666	-1.399647	-0.08532429
chr7	116525535	2.5649493	5.2665343	-2.701585	accessible_not_acetylated	-2.3935957	-0.514483	-0.8401127	-0.46399975	0.058088303
chr7	158588323	1.0986123	3.7946956	-2.6960833	accessible_not_acetylated	-1.1951485	-1.9622772	-0.78313494	-1.1675613	0.049747944
chr6	56844284	0.6931472	3.3886182	-2.695471	accessible_not_acetylated	-1.134799	-0.9019041	-0.9582894	-1.4156725	0.00131464
chr7	5296901	1.609438	4.3037395	-2.6943016	accessible_not_acetylated	-2.1517508	-1.2733073	-0.9638324	-1.2823153	0.047764778
chr7	67364322	0.6931472	3.3854625	-2.6923153	accessible_not_acetylated	-1.318254	-1.3513653	-0.62738657	-0.784652	0.05602956
chr22	41926806	1.3862944	4.076529	-2.6902347	accessible_not_acetylated	-2.5900748	-1.5043335	-1.1024308	-1.1053252	0.062215805
chr6	31982056	0.0	2.6900415	-2.6900415	accessible_not_acetylated	-0.10393405	-0.06922364	-0.044077158	0.28191328	0.028275013
chr12	9752031	2.4849067	5.173515	-2.6886082	accessible_not_acetylated	-3.5757058	-0.78373575	-0.080910206	-1.1076951	-0.11736965
chr7	120857022	2.7080503	5.3961954	-2.6881452	accessible_not_acetylated	-2.410326	-0.7646971	-0.5471835	-0.40084314	0.05835533
chr21	44107367	0.6931472	3.3728752	-2.679728	accessible_not_acetylated	1.5128751	0.5875261	-0.1440885	-0.29330277	-0.018885136
chr10	28302834	2.3025851	4.9801435	-2.6775584	accessible_not_acetylated	-2.5757036	-1.1326928	-1.2280426	-1.3536124	-0.035209656
chr17	8119744	2.944439	5.617836	-2.673397	accessible_not_acetylated	-2.4484968	-0.35872507	0.02680111	-0.03275299	-0.12176561
chr7	3301262	0.0	2.6726422	-2.6726422	accessible_not_acetylated	-0.022345543	-1.2065294	-0.817739	-1.0077275	0.006637335
chr8	28494321	1.7917595	4.46251	-2.6707506	accessible_not_acetylated	-2.4251475	-1.4668229	-0.76383567	-1.7397871	-0.04883194
chr10	103452405	0.0	2.6662183	-2.6662183	accessible_not_acetylated	-0.7091274	-1.236959	-1.0027725	-1.404179	-0.00027179718
chr7	149813291	0.6931472	3.3574104	-2.6642632	accessible_not_acetylated	-1.3234589	-0.53007126	-0.6176553	-0.007927656	0.06468558
chr6	88166035	0.0	2.661786	-2.661786	accessible_not_acetylated	1.309838	-1.3856821	-0.5616584	-1.5527642	0.03349185
chr7	102672923	0.6931472	3.3547843	-2.661637	accessible_not_acetylated	-1.6769739	0.36324382	-0.44598746	-0.41216063	0.025402784
chr17	35764764	1.7917595	4.4526744	-2.660915	accessible_not_acetylated	-3.0526886	-1.100224	-1.2342215	-1.1400347	-0.10452175
chr20	53594097	3.218876	5.878866	-2.6599903	accessible_not_acetylated	-1.9791174	-1.4895668	-0.8367338	-0.8104129	-0.16874886
chr22	19036052	2.5649493	5.2225714	-2.657622	accessible_not_acetylated	-3.2246315	-0.9806838	-0.47898626	-0.23517132	0.040126324
chr7	87220203	2.8332133	5.4857626	-2.6525493	accessible_not_acetylated	-1.3970122	-0.53605556	-0.47281027	-0.2288928	0.0364151
chr6	99603513	1.7917595	4.4414124	-2.649653	accessible_not_acetylated	-0.85053253	-0.7659776	-0.46896863	-0.6752722	-0.004447937
chr6	125749572	2.7725887	5.4164934	-2.6439047	accessible_not_acetylated	-0.8822961	-0.7731743	-0.7478728	-0.6469526	-0.08970165
chr17	83098015	0.0	2.6422098	-2.6422098	accessible_not_acetylated	-0.8878515	-0.7170783	-0.8251164	-0.7824888	-0.030374527
chr22	19953141	2.1972246	4.8375673	-2.6403427	accessible_not_acetylated	-2.2380996	-1.0847945	-0.43335104	-0.34744406	0.07216835
chr17	38604757	1.609438	4.249752	-2.640314	accessible_not_acetylated	-2.2203555	-1.646482	-1.1372895	-1.115344	-0.07962036
chr12	123409310	1.0986123	3.7380877	-2.6394753	accessible_not_acetylated	-0.84837365	-0.05753851	-0.07331228	-0.038520098	-0.0802114
chr7	87475743	0.0	2.6384392	-2.6384392	accessible_not_acetylated	-0.22517848	-0.9667448	-0.7462735	-1.0961717	0.053060055
chr22	41926201	1.7917595	4.4301214	-2.638362	accessible_not_acetylated	-2.564209	-1.4488311	-0.95419	-0.9455323	0.057560444
chr12	3300070	0.0	2.6370454	-2.6370454	accessible_not_acetylated	-0.13559723	-0.46194935	0.006555319	-0.26930833	-0.010723352
chr10	87436344	1.0986123	3.7291026	-2.6304903	accessible_not_acetylated	-1.2535675	-0.5334916	-0.22974968	-0.17625737	-0.019644737
