chr	center	observed_log	atac_pred_log	true_residual	class	multimodal_residual
chr22	21514503	2.0794415	5.409788	-3.3303466	accessible_not_acetylated	-0.58175516
chr7	57404721	1.3862944	4.709115	-3.3228207	accessible_not_acetylated	-0.8655474
chr8	12436426	1.9459102	5.259492	-3.3135817	accessible_not_acetylated	-1.187604
chr17	19111233	2.0794415	5.386847	-3.3074055	accessible_not_acetylated	-0.633039
chr7	150110544	2.0794415	5.3669415	-3.2875	accessible_not_acetylated	-0.58463
chr21	5123911	1.3862944	4.670081	-3.2837868	accessible_not_acetylated	-0.41353512
chr17	19076627	1.3862944	4.6628795	-3.276585	accessible_not_acetylated	-0.30475378
chr8	12951510	1.3862944	4.662836	-3.2765417	accessible_not_acetylated	-1.0875661
chr21	10119269	2.0794415	5.3404226	-3.260981	accessible_not_acetylated	-1.0560656
chr7	143837431	2.0794415	5.3318453	-3.2524037	accessible_not_acetylated	-0.08065224
chr10	133127947	1.609438	4.844836	-3.2353983	accessible_not_acetylated	-1.187526
chr21	8213359	1.3862944	4.6171036	-3.2308092	accessible_not_acetylated	-1.4617789
chr8	7847879	0.0	3.2214925	-3.2214925	accessible_not_acetylated	-0.3283863
chr6	1389640	1.0986123	4.317912	-3.2192998	accessible_not_acetylated	-0.90083027
chr10	46441162	1.3862944	4.597156	-3.2108617	accessible_not_acetylated	-0.8239591
chr22	45413655	0.0	3.1893766	-3.1893766	accessible_not_acetylated	-0.8739176
chr7	144259628	1.3862944	4.568731	-3.1824365	accessible_not_acetylated	-0.49382162
chr17	8965745	1.609438	4.7863245	-3.1768866	accessible_not_acetylated	-1.1982605
chr6	170612604	2.0794415	5.2494874	-3.1700459	accessible_not_acetylated	-0.19766426
chr8	1817025	1.609438	4.776957	-3.167519	accessible_not_acetylated	-1.4720676
chr10	129467171	1.9459102	5.1113815	-3.1654713	accessible_not_acetylated	-0.902298
chr7	31052460	0.6931472	3.853518	-3.1603708	accessible_not_acetylated	-1.4907181
chr7	40530	1.3862944	4.5265656	-3.1402712	accessible_not_acetylated	-0.17656612
chr22	50456982	1.3862944	4.5247107	-3.1384163	accessible_not_acetylated	-1.2245128
chr10	101776002	0.0	3.13689	-3.13689	accessible_not_acetylated	-2.126945
chr6	32666689	1.609438	4.741596	-3.1321583	accessible_not_acetylated	-0.5296097
chr7	102507618	2.0794415	5.2113705	-3.131929	accessible_not_acetylated	-0.7884793
chr22	18529207	2.4849067	5.6090765	-3.1241698	accessible_not_acetylated	-0.6945772
chr6	167384510	0.6931472	3.8029757	-3.1098285	accessible_not_acetylated	-0.24019074
chr12	66968	2.3025851	5.4056077	-3.1030226	accessible_not_acetylated	-0.5058179
chr10	132449133	2.0794415	5.162961	-3.0835195	accessible_not_acetylated	-1.7498837
chr7	73191059	2.1972246	5.280449	-3.0832243	accessible_not_acetylated	-0.11966944
chr17	136693	1.7917595	4.86957	-3.0778103	accessible_not_acetylated	-0.35023546
chr22	15690025	0.0	3.074333	-3.074333	accessible_not_acetylated	-0.63808393
chr10	46598002	2.1972246	5.2606134	-3.0633888	accessible_not_acetylated	-0.52472305
chr17	19507559	2.1972246	5.255733	-3.0585084	accessible_not_acetylated	-1.3420851
chr10	42475998	1.9459102	5.0039215	-3.0580113	accessible_not_acetylated	-0.8312912
chr22	33921174	2.1972246	5.2534447	-3.05622	accessible_not_acetylated	-1.217628
chr17	45601798	1.7917595	4.8476186	-3.055859	accessible_not_acetylated	-0.93453336
chr22	32140833	1.609438	4.663533	-3.0540953	accessible_not_acetylated	-0.1477809
chr17	22409342	1.0986123	4.1496725	-3.0510602	accessible_not_acetylated	-0.8484347
chr8	7894564	0.6931472	3.743478	-3.0503309	accessible_not_acetylated	-0.8508885
chr8	7521501	2.1972246	5.246417	-3.0491924	accessible_not_acetylated	0.008437157
chr10	93993922	1.7917595	4.833413	-3.0416536	accessible_not_acetylated	-0.47807074
chr12	132618779	1.0986123	4.1305013	-3.031889	accessible_not_acetylated	-1.6398928
chr10	114404778	1.0986123	4.1279545	-3.0293422	accessible_not_acetylated	-1.7421756
chr18	58768611	1.7917595	4.8101673	-3.0184078	accessible_not_acetylated	-1.0845687
chr22	42510343	1.609438	4.620222	-3.0107841	accessible_not_acetylated	-0.7878821
chr10	88583136	2.0794415	5.0899134	-3.0104718	accessible_not_acetylated	-0.88315153
chr12	95790758	0.6931472	3.6992726	-3.0061255	accessible_not_acetylated	-1.3445554
chr12	119154622	1.9459102	4.944149	-2.9982388	accessible_not_acetylated	-0.17671394
chr22	21419179	2.3025851	5.297632	-2.995047	accessible_not_acetylated	-0.12755156
chr7	192436	1.3862944	4.3736124	-2.987318	accessible_not_acetylated	-1.3975801
chr17	76225877	1.609438	4.59574	-2.986302	accessible_not_acetylated	-0.3592162
chr17	18722088	1.609438	4.5896535	-2.9802155	accessible_not_acetylated	-0.37756538
chr17	8885354	2.0794415	5.0564904	-2.9770489	accessible_not_acetylated	-0.99594164
chr10	45914898	1.3862944	4.3609066	-2.9746122	accessible_not_acetylated	-0.6495793
chr21	34401072	0.0	2.9724374	-2.9724374	accessible_not_acetylated	-0.06561136
chr10	47706003	2.1972246	5.16926	-2.9720354	accessible_not_acetylated	-0.00084400177
chr10	111077031	0.6931472	3.6629338	-2.9697866	accessible_not_acetylated	-1.2236428
chr21	5154856	2.1972246	5.162363	-2.9651384	accessible_not_acetylated	-0.384068
chr7	102505970	2.1972246	5.162178	-2.9649534	accessible_not_acetylated	-0.10944557
chr7	74941912	1.3862944	4.3301077	-2.9438133	accessible_not_acetylated	-0.27183676
chr12	44876274	2.1972246	5.1315536	-2.934329	accessible_not_acetylated	-0.8939347
chr22	49046735	1.609438	4.5430846	-2.9336467	accessible_not_acetylated	-0.76888514
chr6	167170592	1.0986123	4.031421	-2.9328089	accessible_not_acetylated	-0.30945897
chr20	5316732	0.6931472	3.6216905	-2.9285433	accessible_not_acetylated	-0.96531606
chr7	45088947	2.0794415	5.00702	-2.9275784	accessible_not_acetylated	-1.0037374
chr10	132186860	1.7917595	4.717065	-2.9253054	accessible_not_acetylated	-1.0228903
chr10	103855406	0.6931472	3.6129467	-2.9197996	accessible_not_acetylated	-1.7553021
chr10	133196424	1.609438	4.5234003	-2.9139624	accessible_not_acetylated	-1.1127732
chr20	44810338	0.6931472	3.6003115	-2.9071643	accessible_not_acetylated	-1.5143359
chr7	102490732	2.3978953	5.3032103	-2.905315	accessible_not_acetylated	0.0779686
chr17	16991571	1.7917595	4.695001	-2.9032416	accessible_not_acetylated	-0.8947201
chr22	10742087	1.9459102	4.842967	-2.8970568	accessible_not_acetylated	-1.132473
chr17	32060885	2.3025851	5.198993	-2.896408	accessible_not_acetylated	-0.008558273
chr22	18527801	2.3025851	5.1981344	-2.8955493	accessible_not_acetylated	-0.66905403
chr12	132094726	1.0986123	3.9934554	-2.894843	accessible_not_acetylated	-0.9258976
chr7	74788767	2.4849067	5.3784637	-2.893557	accessible_not_acetylated	-0.60608006
chr18	67516819	2.4849067	5.3732357	-2.888329	accessible_not_acetylated	-0.5556059
chr22	41935104	1.3862944	4.2743587	-2.8880644	accessible_not_acetylated	-0.96297956
chr10	79780747	2.4849067	5.3720837	-2.887177	accessible_not_acetylated	0.17800617
chr18	10454627	1.0986123	3.9850323	-2.88642	accessible_not_acetylated	-1.8485019
chr20	2816301	1.3862944	4.2669687	-2.8806744	accessible_not_acetylated	-0.75132704
chr20	17226859	1.7917595	4.669903	-2.8781433	accessible_not_acetylated	-0.8471999
chr10	87436344	2.3025851	5.177847	-2.8752618	accessible_not_acetylated	0.29742813
chr18	50560082	1.9459102	4.8172083	-2.871298	accessible_not_acetylated	-1.5155563
chr17	1643216	1.9459102	4.8154035	-2.8694932	accessible_not_acetylated	-1.4275439
chr21	43044710	2.0794415	4.948672	-2.8692303	accessible_not_acetylated	-0.75539637
chr20	62518113	1.3862944	4.255393	-2.8690987	accessible_not_acetylated	-1.3215287
chr18	72544483	1.609438	4.4780397	-2.8686018	accessible_not_acetylated	-0.7706423
chr6	32589836	1.7917595	4.6532454	-2.861486	accessible_not_acetylated	-0.11885452
chr22	46054144	1.3862944	4.247691	-2.8613968	accessible_not_acetylated	-0.99523807
chr17	19495264	1.609438	4.46968	-2.860242	accessible_not_acetylated	-0.84667873
chr10	98388460	1.7917595	4.6514797	-2.8597202	accessible_not_acetylated	-0.69096303
chr12	38053829	1.3862944	4.244807	-2.8585124	accessible_not_acetylated	-0.849957
chr17	46579862	2.3025851	5.1513863	-2.8488011	accessible_not_acetylated	-0.16908216
chr10	87357719	1.0986123	3.9454288	-2.8468165	accessible_not_acetylated	-0.36458397
chr8	142912282	1.9459102	4.7909884	-2.8450782	accessible_not_acetylated	-0.60135365
chr17	19031913	1.9459102	4.7904243	-2.8445141	accessible_not_acetylated	-0.18032551
chr8	7416832	0.6931472	3.5371182	-2.843971	accessible_not_acetylated	-0.6386094
chr8	25184677	1.7917595	4.6338625	-2.842103	accessible_not_acetylated	-1.1657264
chr12	82686982	2.3025851	5.140894	-2.8383088	accessible_not_acetylated	-0.6329608
chr22	42573606	1.609438	4.4445486	-2.8351107	accessible_not_acetylated	-0.8117726
chr17	30644877	2.3025851	5.135105	-2.83252	accessible_not_acetylated	0.11302471
chr8	80578510	1.9459102	4.775489	-2.8295786	accessible_not_acetylated	-1.2221487
chr22	32207053	1.9459102	4.7721786	-2.8262684	accessible_not_acetylated	-0.8482485
chr22	49735504	1.7917595	4.6099863	-2.8182268	accessible_not_acetylated	-0.9733336
chr10	50133769	1.9459102	4.7591596	-2.8132493	accessible_not_acetylated	-0.040772438
chr10	86338187	1.9459102	4.7503347	-2.8044245	accessible_not_acetylated	-0.40421867
chr20	6767560	1.3862944	4.1859303	-2.799636	accessible_not_acetylated	-1.08588
chr12	3077125	2.4849067	5.27966	-2.7947536	accessible_not_acetylated	-1.2561984
chr10	43077015	2.3025851	5.0896716	-2.7870865	accessible_not_acetylated	-1.145731
chr21	43117358	1.9459102	4.729548	-2.7836378	accessible_not_acetylated	-0.7669797
chr10	50152889	2.0794415	4.861756	-2.7823143	accessible_not_acetylated	-0.7957492
chr12	132908751	2.7080503	5.4835224	-2.7754722	accessible_not_acetylated	-1.044878
chr17	4639536	1.7917595	4.567189	-2.7754297	accessible_not_acetylated	-0.9973204
chr22	20278796	2.1972246	4.9711924	-2.7739677	accessible_not_acetylated	-0.9780948
chr20	63361396	0.6931472	3.4643283	-2.771181	accessible_not_acetylated	-1.3288527
chr20	916334	1.0986123	3.8679752	-2.769363	accessible_not_acetylated	-0.97881866
chr22	33920422	1.609438	4.3787384	-2.7693005	accessible_not_acetylated	-1.6682684
chr20	29879061	2.6390574	5.4083123	-2.769255	accessible_not_acetylated	-0.35585403
chr22	50775290	2.1972246	4.966215	-2.7689905	accessible_not_acetylated	-0.74054337
chr20	63071864	2.0794415	4.847823	-2.7683816	accessible_not_acetylated	-1.2369487
chr7	44036574	2.5649493	5.3326483	-2.767699	accessible_not_acetylated	-0.11262417
chr21	25639862	1.9459102	4.712642	-2.766732	accessible_not_acetylated	-0.8400874
chr21	44551505	1.3862944	4.1493955	-2.763101	accessible_not_acetylated	-0.67555356
chr21	13846924	1.7917595	4.553731	-2.7619715	accessible_not_acetylated	-0.9369018
chr17	21405135	1.7917595	4.552169	-2.7604094	accessible_not_acetylated	-1.0883389
chr17	19533853	0.6931472	3.4476957	-2.7545485	accessible_not_acetylated	-1.168369
chr7	74964486	2.5649493	5.3143883	-2.749439	accessible_not_acetylated	-0.54107
chr22	43412013	0.0	2.742401	-2.742401	accessible_not_acetylated	-1.4876599
chr17	4543910	1.0986123	3.84059	-2.7419777	accessible_not_acetylated	-0.8259814
chr10	122112808	1.9459102	4.686146	-2.7402356	accessible_not_acetylated	-0.8629043
chr17	21764802	2.3978953	5.1377506	-2.7398553	accessible_not_acetylated	-0.6095071
chr17	20896140	1.9459102	4.685025	-2.739115	accessible_not_acetylated	-1.005132
chr7	5283019	1.9459102	4.6830697	-2.7371595	accessible_not_acetylated	-1.2122307
chr22	18573814	2.3978953	5.129348	-2.7314525	accessible_not_acetylated	-0.17874098
chr8	40897824	1.609438	4.3396482	-2.7302103	accessible_not_acetylated	-0.9228425
chr21	6499064	2.7080503	5.4371386	-2.7290883	accessible_not_acetylated	-0.84814787
chr10	123559525	2.0794415	4.8059473	-2.7265058	accessible_not_acetylated	-0.82463
chr18	7117814	1.0986123	3.8236396	-2.7250273	accessible_not_acetylated	-1.7529621
chr6	31357245	2.0794415	4.803998	-2.7245564	accessible_not_acetylated	-0.6318908
chr17	81432301	1.609438	4.3245287	-2.7150908	accessible_not_acetylated	-1.0680745
chr18	31685305	2.1972246	4.91171	-2.7144852	accessible_not_acetylated	-0.831007
chr12	15221484	1.7917595	4.5037827	-2.7120233	accessible_not_acetylated	-1.0644114
chr22	21363107	2.4849067	5.1945915	-2.7096848	accessible_not_acetylated	-0.68450356
chr18	14178989	2.0794415	4.7823114	-2.70287	accessible_not_acetylated	-0.1787777
chr22	43343394	1.7917595	4.4936013	-2.7018418	accessible_not_acetylated	-0.9872711
chr12	131646684	1.9459102	4.6470227	-2.7011125	accessible_not_acetylated	-0.3340602
chr10	87301626	2.3025851	5.00251	-2.699925	accessible_not_acetylated	0.27207565
chr7	114922153	1.609438	4.309125	-2.699687	accessible_not_acetylated	-1.1422384
chr10	133626795	1.0986123	3.7968428	-2.6982305	accessible_not_acetylated	-0.93598056
chr6	48068689	1.0986123	3.793901	-2.6952887	accessible_not_acetylated	-0.6490567
chr10	86349006	2.1972246	4.8910713	-2.6938467	accessible_not_acetylated	-0.58666515
chr7	5302803	2.3025851	4.9962626	-2.6936774	accessible_not_acetylated	-0.9727349
chr10	132204889	1.7917595	4.4816036	-2.6898441	accessible_not_acetylated	-1.1835988
chr22	37509241	1.7917595	4.4780865	-2.686327	accessible_not_acetylated	-0.9266777
chr18	45825579	1.3862944	4.071988	-2.6856937	accessible_not_acetylated	-1.0761051
chr17	15732276	0.6931472	3.3741302	-2.680983	accessible_not_acetylated	-0.25167108
chr22	49827256	2.3025851	4.9788446	-2.6762595	accessible_not_acetylated	-1.5774844
chr7	124033469	1.3862944	4.0623093	-2.676015	accessible_not_acetylated	-1.4043982
chr8	103500747	0.6931472	3.3662324	-2.6730852	accessible_not_acetylated	-1.0736759
chr7	1446296	2.0794415	4.7523518	-2.6729102	accessible_not_acetylated	-1.28548
chr10	47776029	1.9459102	4.6170707	-2.6711605	accessible_not_acetylated	-0.6516514
chr7	75154106	2.1972246	4.8643723	-2.6671476	accessible_not_acetylated	-0.25030756
chr12	132788770	1.9459102	4.6127095	-2.6667993	accessible_not_acetylated	-0.5704813
chr18	79587112	1.9459102	4.611371	-2.6654608	accessible_not_acetylated	-0.84821963
chr22	18551692	2.3025851	4.9675455	-2.6649604	accessible_not_acetylated	-1.0805693
chr7	100574733	1.9459102	4.6099434	-2.6640332	accessible_not_acetylated	-0.82949686
chr17	28365151	1.3862944	4.047257	-2.6609626	accessible_not_acetylated	-0.70271873
chr8	46118349	1.7917595	4.447113	-2.6553535	accessible_not_acetylated	-0.8425071
chr22	50267859	2.3025851	4.9566092	-2.6540241	accessible_not_acetylated	-1.0893803
chr7	57404186	1.9459102	4.5996604	-2.6537502	accessible_not_acetylated	-0.7158456
chr7	102611854	2.5649493	5.218545	-2.6535957	accessible_not_acetylated	-0.697649
chr22	42512582	2.1972246	4.846919	-2.6496944	accessible_not_acetylated	-0.54657793
chr10	132164872	1.9459102	4.595065	-2.649155	accessible_not_acetylated	-0.8488066
chr18	49758184	2.1972246	4.8446884	-2.6474638	accessible_not_acetylated	-0.5004387
chr12	6312719	1.7917595	4.4388814	-2.647122	accessible_not_acetylated	-0.8659599
chr22	44668617	1.9459102	4.589786	-2.6438758	accessible_not_acetylated	-1.5953941
chr8	118622093	2.0794415	4.7230463	-2.6436048	accessible_not_acetylated	-0.32349253
chr6	77464022	1.0986123	3.7415495	-2.6429372	accessible_not_acetylated	-0.85930324
chr17	75721308	2.3978953	5.0387716	-2.6408763	accessible_not_acetylated	-1.0387716
chr8	141473379	2.0794415	4.718775	-2.6393332	accessible_not_acetylated	-0.8027234
chr22	42343817	2.0794415	4.714361	-2.6349196	accessible_not_acetylated	-1.5939271
chr7	149224276	1.609438	4.24411	-2.6346722	accessible_not_acetylated	-1.3382976
chr18	70499298	2.0794415	4.7139425	-2.634501	accessible_not_acetylated	-0.91974163
chr17	46361810	2.5649493	5.198933	-2.6339839	accessible_not_acetylated	0.058488846
chr17	82079370	2.3025851	4.9355407	-2.6329556	accessible_not_acetylated	-1.0042555
chr17	32265907	2.0794415	4.710367	-2.6309257	accessible_not_acetylated	-1.5758827
chr12	125983534	2.0794415	4.7103252	-2.6308837	accessible_not_acetylated	-1.0530329
chr7	143362747	1.9459102	4.574707	-2.6287968	accessible_not_acetylated	-0.95791197
chr22	42509758	1.9459102	4.5729914	-2.6270812	accessible_not_acetylated	-0.925766
chr8	30384500	1.3862944	4.0113735	-2.6250792	accessible_not_acetylated	-1.349716
chr7	2538125	1.9459102	4.5704184	-2.6245081	accessible_not_acetylated	-0.8617172
chr18	37254112	2.7725887	5.3961716	-2.6235828	accessible_not_acetylated	-1.1280222
chr21	5128495	2.6390574	5.262063	-2.6230056	accessible_not_acetylated	-0.7029557
chr8	85463901	2.3025851	4.925157	-2.622572	accessible_not_acetylated	-0.85660934
chr6	1610445	0.6931472	3.315199	-2.6220517	accessible_not_acetylated	-1.181505
chr17	21678857	2.1972246	4.819162	-2.6219373	accessible_not_acetylated	-0.71067095
chr8	7424439	2.3025851	4.919675	-2.6170897	accessible_not_acetylated	-0.082380295
chr6	123803845	0.6931472	3.3095431	-2.616396	accessible_not_acetylated	-0.59620285
chr7	45846792	1.3862944	4.0002804	-2.613986	accessible_not_acetylated	-0.48074102
chr20	64328036	2.7080503	5.3209925	-2.6129422	accessible_not_acetylated	-0.4804697
chr7	43986054	2.6390574	5.249628	-2.6105707	accessible_not_acetylated	-0.7266464
chr10	77637819	1.0986123	3.7077482	-2.6091359	accessible_not_acetylated	-1.946801
chr22	45977186	1.3862944	3.9931438	-2.6068494	accessible_not_acetylated	-1.3885093
chr10	30726970	2.3025851	4.9091177	-2.6065326	accessible_not_acetylated	-0.08306742
chr10	131855124	1.7917595	4.3978987	-2.6061392	accessible_not_acetylated	-0.6646874
chr8	72537168	1.9459102	4.5474663	-2.601556	accessible_not_acetylated	-1.3436894
chr17	14236862	1.0986123	3.6982331	-2.5996208	accessible_not_acetylated	-0.80585194
chr10	46634878	2.4849067	5.0810895	-2.5961828	accessible_not_acetylated	0.117969036
chr20	63472689	1.7917595	4.38505	-2.5932903	accessible_not_acetylated	-1.1176736
chr10	132163632	2.5649493	5.157832	-2.5928829	accessible_not_acetylated	-0.14796925
chr7	73135031	2.0794415	4.6715508	-2.5921092	accessible_not_acetylated	-0.6641631
chr17	39709749	1.7917595	4.3831587	-2.5913992	accessible_not_acetylated	-1.0491242
chr6	32894706	1.9459102	4.5360184	-2.5901082	accessible_not_acetylated	-0.8750334
chr8	103140692	1.7917595	4.380863	-2.5891037	accessible_not_acetylated	-0.8760803
chr10	86363316	2.1972246	4.7856913	-2.5884666	accessible_not_acetylated	-0.78034496
chr6	170438646	2.3978953	4.983141	-2.5852456	accessible_not_acetylated	-0.5869975
chr7	171809	1.7917595	4.375065	-2.5833054	accessible_not_acetylated	-1.0039802
chr7	73157646	2.8332133	5.415244	-2.5820308	accessible_not_acetylated	0.09567785
chr18	35581591	3.1780539	5.7534175	-2.5753636	accessible_not_acetylated	-1.219779
chr17	6556558	1.609438	4.1809635	-2.5715256	accessible_not_acetylated	-1.4448459
chr10	79512600	1.609438	4.179764	-2.5703259	accessible_not_acetylated	-0.7425387
chr17	63701986	1.9459102	4.51547	-2.5695598	accessible_not_acetylated	-0.6604488
chr22	42571268	1.9459102	4.5145006	-2.5685904	accessible_not_acetylated	-0.7690532
chr10	102086367	1.3862944	3.9546466	-2.5683522	accessible_not_acetylated	-0.3832786
chr22	15811354	2.0794415	4.6459103	-2.5664687	accessible_not_acetylated	0.047027588
chr12	118981675	1.9459102	4.5107293	-2.564819	accessible_not_acetylated	-0.97287583
chr6	57673476	1.9459102	4.5104246	-2.5645144	accessible_not_acetylated	-0.4118514
chr17	31391672	1.9459102	4.507036	-2.561126	accessible_not_acetylated	-1.4728074
chr17	10730329	1.0986123	3.6594253	-2.560813	accessible_not_acetylated	-1.2312832
chr7	38358328	2.1972246	4.752974	-2.5557494	accessible_not_acetylated	-0.25535774
chr12	78864668	1.0986123	3.6539578	-2.5553455	accessible_not_acetylated	-0.91981006
chr20	23723861	2.1972246	4.7515078	-2.5542831	accessible_not_acetylated	-0.699183
chr10	107164708	1.3862944	3.9387531	-2.5524588	accessible_not_acetylated	-1.4076746
chr10	125775821	1.609438	4.160121	-2.550683	accessible_not_acetylated	-1.3171208
chr18	67516136	2.6390574	5.188339	-2.5492818	accessible_not_acetylated	-0.5349479
chr22	18608657	2.4849067	5.0310907	-2.546184	accessible_not_acetylated	-0.62818193
chr21	44534359	2.7080503	5.2539916	-2.5459414	accessible_not_acetylated	-0.81461096
chr10	98268287	2.5649493	5.1106396	-2.5456903	accessible_not_acetylated	-1.1905568
chr20	56630243	2.0794415	4.6250396	-2.545598	accessible_not_acetylated	-0.99253607
chr8	96161017	2.3978953	4.94156	-2.5436645	accessible_not_acetylated	-0.8147559
