chr	center	observed_log	atac_pred_log	true_residual	class	multimodal_residual	sequence_residual
chr17	67044535	0.0	7.529973	-7.529973	accessible_not_acetylated	-1.0024824	-0.124632835
chr7	75395628	0.0	7.522311	-7.522311	accessible_not_acetylated	-0.41109133	1.8403931
chr10	127907048	0.0	7.5201683	-7.5201683	accessible_not_acetylated	-1.6714311	-0.44693422
chr17	73952946	0.0	7.5182657	-7.5182657	accessible_not_acetylated	-1.4997077	0.72324085
chr17	16304957	0.0	7.5072927	-7.5072927	accessible_not_acetylated	-0.24663734	0.20392036
chr18	69968261	0.0	7.4941607	-7.4941607	accessible_not_acetylated	-0.22573805	-0.23633575
chr6	104943995	0.0	7.493028	-7.493028	accessible_not_acetylated	0.16924667	-2.3211536
chr7	45579468	0.0	7.481994	-7.481994	accessible_not_acetylated	-0.42364025	0.36463213
chr10	62594197	0.0	7.4598513	-7.4598513	accessible_not_acetylated	0.21671486	0.17884016
chr21	45206934	0.0	7.449877	-7.449877	accessible_not_acetylated	-0.44491005	0.2795229
chr8	69835064	0.0	7.447684	-7.447684	accessible_not_acetylated	-0.99410534	1.169064
chr10	133088003	0.0	7.44462	-7.44462	accessible_not_acetylated	-3.514092	1.3863516
chr20	6123544	0.0	7.441292	-7.441292	accessible_not_acetylated	-0.84320545	1.4962053
chr17	19076627	0.0	7.4379387	-7.4379387	accessible_not_acetylated	-0.75169945	0.18469763
chr12	13278363	0.0	7.4375634	-7.4375634	accessible_not_acetylated	-0.77350664	0.14086533
chr8	108083685	0.0	7.429849	-7.429849	accessible_not_acetylated	-1.3026485	1.4118514
chr17	1229653	0.0	7.4231725	-7.4231725	accessible_not_acetylated	-3.9698665	-0.60768366
chr7	73247240	0.0	7.4161854	-7.4161854	accessible_not_acetylated	0.22213936	0.48311615
chr18	31143257	0.0	7.407509	-7.407509	accessible_not_acetylated	0.19446087	-0.3254552
chr22	38083163	0.0	7.4003735	-7.4003735	accessible_not_acetylated	-0.6535659	1.1576719
chr18	75979	0.0	7.391941	-7.391941	accessible_not_acetylated	-0.8828063	1.3484526
chr6	29942469	0.0	7.3840666	-7.3840666	accessible_not_acetylated	-1.232285	0.74629307
chr22	18936553	0.0	7.381724	-7.381724	accessible_not_acetylated	-2.6903539	0.39926577
chr17	39628497	0.0	7.3786473	-7.3786473	accessible_not_acetylated	-0.3198452	0.615067
chr22	50162498	0.0	7.375982	-7.375982	accessible_not_acetylated	-0.7578316	0.35485935
chr7	51161218	0.0	7.3753204	-7.3753204	accessible_not_acetylated	-0.55730534	0.68751144
chr20	6768097	0.0	7.3580866	-7.3580866	accessible_not_acetylated	-2.9927588	0.45888996
chr17	19047023	0.0	7.3541236	-7.3541236	accessible_not_acetylated	-0.18018961	1.0088506
chr21	31137000	0.0	7.348861	-7.348861	accessible_not_acetylated	0.27494907	-0.55011463
chr18	14431412	0.0	7.347127	-7.347127	accessible_not_acetylated	-4.329674	0.36424303
chr20	2816301	0.0	7.3458214	-7.3458214	accessible_not_acetylated	-0.8415618	-0.44341087
chr12	131808989	0.0	7.3425384	-7.3425384	accessible_not_acetylated	-2.5713615	0.60665464
chr22	42130881	0.0	7.3403053	-7.3403053	accessible_not_acetylated	0.044238567	0.4004159
chr6	167170592	0.0	7.3371425	-7.3371425	accessible_not_acetylated	-0.41158056	0.787704
chr17	1203438	0.0	7.333768	-7.333768	accessible_not_acetylated	-1.8570552	2.6398973
chr7	45846792	0.0	7.3276615	-7.3276615	accessible_not_acetylated	-0.05624962	0.70018387
chr20	25985122	0.0	7.3243046	-7.3243046	accessible_not_acetylated	-0.5381985	1.2450523
chr21	41426030	0.0	7.3242874	-7.3242874	accessible_not_acetylated	-1.3631978	1.6812067
chr7	150060689	0.0	7.3208647	-7.3208647	accessible_not_acetylated	0.7683315	0.6218772
chr6	40587580	0.0	7.314781	-7.314781	accessible_not_acetylated	-2.0590625	0.96742535
chr17	4899652	0.0	7.3141346	-7.3141346	accessible_not_acetylated	-1.5811071	1.9682522
chr17	4498705	0.0	7.313695	-7.313695	accessible_not_acetylated	-1.9987054	0.46564674
chr6	132830435	0.0	7.311507	-7.311507	accessible_not_acetylated	0.3174672	-0.6849947
chr8	30384500	0.0	7.306228	-7.306228	accessible_not_acetylated	-2.8219075	1.3454032
chr17	10616700	0.0	7.3054614	-7.3054614	accessible_not_acetylated	-0.4119091	0.4250512
chr21	36698826	0.0	7.301589	-7.301589	accessible_not_acetylated	-2.4202032	2.3439455
chr8	27908220	0.0	7.3008466	-7.3008466	accessible_not_acetylated	-0.10359192	1.5088754
chr6	894485	0.0	7.300258	-7.300258	accessible_not_acetylated	-0.20065308	0.39673948
chr17	30352426	0.0	7.299704	-7.299704	accessible_not_acetylated	-0.31280947	0.31876707
chr10	124567630	0.0	7.295991	-7.295991	accessible_not_acetylated	-0.7954726	0.38521528
chr8	39107528	0.0	7.2883677	-7.2883677	accessible_not_acetylated	-1.0646505	1.3403955
chr18	48983936	0.0	7.287182	-7.287182	accessible_not_acetylated	-0.02574873	0.048392773
chr8	16120656	0.0	7.2809267	-7.2809267	accessible_not_acetylated	-1.3899455	0.2613058
chr10	131746969	0.0	7.2708397	-7.2708397	accessible_not_acetylated	-0.8780365	-0.52922535
chr22	37088271	0.0	7.268426	-7.268426	accessible_not_acetylated	-0.22227049	0.54846525
chr7	1348651	0.0	7.258843	-7.258843	accessible_not_acetylated	-1.3116894	0.1374197
chr6	166308383	0.0	7.25878	-7.25878	accessible_not_acetylated	-3.0370102	0.66271305
chr6	34145470	0.0	7.253268	-7.253268	accessible_not_acetylated	-2.6817956	1.9382768
chr6	70604720	0.0	7.2516584	-7.2516584	accessible_not_acetylated	0.4712057	1.4172945
chr12	120663087	0.0	7.2509665	-7.2509665	accessible_not_acetylated	-0.41712093	0.61202717
chr6	1389640	0.0	7.244492	-7.244492	accessible_not_acetylated	-4.433549	1.1089263
chr10	101217623	0.0	7.2137175	-7.2137175	accessible_not_acetylated	-1.456562	1.4916248
chr10	119005554	0.0	7.2100496	-7.2100496	accessible_not_acetylated	0.64806604	1.1149473
chr20	43916141	0.0	7.2078223	-7.2078223	accessible_not_acetylated	-0.87201643	1.482018
chr7	136481090	0.0	7.2075343	-7.2075343	accessible_not_acetylated	0.52829456	1.4521041
chr20	40741702	0.0	7.206447	-7.206447	accessible_not_acetylated	-0.21992111	0.3627491
chr6	71288441	0.0	7.205558	-7.205558	accessible_not_acetylated	-2.1121058	1.1810465
chr17	43303713	0.0	7.205115	-7.205115	accessible_not_acetylated	-0.17340565	0.47403955
chr6	96626967	0.0	7.1976914	-7.1976914	accessible_not_acetylated	-0.33423662	-0.20982122
chr6	5746587	0.0	7.185707	-7.185707	accessible_not_acetylated	0.13335896	0.55808353
chr21	43450023	0.0	7.1855803	-7.1855803	accessible_not_acetylated	-0.04513073	1.0197134
chr12	1821943	0.0	7.1828732	-7.1828732	accessible_not_acetylated	-0.56665087	0.93756723
chr10	90921275	0.0	7.162547	-7.162547	accessible_not_acetylated	0.110394	0.45799685
chr22	27754668	0.0	7.159995	-7.159995	accessible_not_acetylated	-0.21254063	1.2622099
chr6	131701401	0.0	7.1596847	-7.1596847	accessible_not_acetylated	-0.7362337	0.42725277
chr12	125533640	0.0	7.155295	-7.155295	accessible_not_acetylated	-0.6372156	0.24805975
chr20	22379671	0.0	7.153664	-7.153664	accessible_not_acetylated	-0.111478806	1.0525994
chr21	43479534	0.0	7.138446	-7.138446	accessible_not_acetylated	-0.51650953	1.5421181
chr10	133568275	0.0	7.126816	-7.126816	accessible_not_acetylated	-2.1823034	-0.45024633
chr22	23979828	0.0	7.1261497	-7.1261497	accessible_not_acetylated	-1.5085897	1.1031079
chr17	11644475	0.0	7.1241293	-7.1241293	accessible_not_acetylated	-0.4445386	1.3246555
chr22	44626393	0.0	7.114563	-7.114563	accessible_not_acetylated	-0.18530512	0.2374568
chr7	98433497	0.0	7.0994835	-7.0994835	accessible_not_acetylated	0.36789608	0.51804924
chr18	77000632	0.0	7.092409	-7.092409	accessible_not_acetylated	-1.0716877	-0.14429474
chr7	55657944	0.0	7.0891027	-7.0891027	accessible_not_acetylated	-0.005159855	1.3162031
chr20	2207702	0.0	7.0828753	-7.0828753	accessible_not_acetylated	-1.5892243	2.594408
chr6	131951378	0.0	7.081185	-7.081185	accessible_not_acetylated	-1.605258	1.3284793
chr17	63896661	0.0	7.0801854	-7.0801854	accessible_not_acetylated	-0.05439186	0.90067816
chr8	132561479	0.0	7.0756593	-7.0756593	accessible_not_acetylated	0.15524197	0.8218956
chr20	29328080	0.0	7.0748887	-7.0748887	accessible_not_acetylated	0.7039223	0.98371553
chr8	94713567	0.0	7.0742674	-7.0742674	accessible_not_acetylated	-0.41086197	-0.30825138
chr10	58149137	0.0	7.072219	-7.072219	accessible_not_acetylated	-0.30035782	0.068991184
chr17	15817742	0.0	7.0708213	-7.0708213	accessible_not_acetylated	-0.19347906	1.3433585
chr17	11899693	0.0	7.0701575	-7.0701575	accessible_not_acetylated	-0.059818268	1.1168427
chr21	34364023	0.0	7.061274	-7.061274	accessible_not_acetylated	0.26509047	1.2121072
chr7	1204031	0.0	7.0608773	-7.0608773	accessible_not_acetylated	-1.0831113	0.5367303
chr8	95849252	0.0	7.0569696	-7.0569696	accessible_not_acetylated	-0.41095924	0.85803604
chr12	45051099	0.0	7.055073	-7.055073	accessible_not_acetylated	-1.8070393	1.5531788
chr17	49899322	0.0	7.050395	-7.050395	accessible_not_acetylated	-0.23391676	0.87506104
chr6	166168669	0.0	7.0484724	-7.0484724	accessible_not_acetylated	-0.8242183	3.4906654
chr8	63391509	0.0	7.0469666	-7.0469666	accessible_not_acetylated	0.50030804	1.5169039
chr18	37566037	0.0	7.0454845	-7.0454845	accessible_not_acetylated	-1.6600199	-0.4013524
chr12	82752559	0.0	7.038187	-7.038187	accessible_not_acetylated	-0.4510889	0.29006624
chr8	126510482	0.0	7.0290866	-7.0290866	accessible_not_acetylated	0.26749325	0.73590803
chr10	129971840	0.0	7.0281105	-7.0281105	accessible_not_acetylated	-1.7141976	1.5649261
chr21	43478223	0.0	7.02544	-7.02544	accessible_not_acetylated	-0.8200445	1.2469759
chr8	53873056	0.0	7.021801	-7.021801	accessible_not_acetylated	0.112556934	0.32187414
chr10	29318707	0.0	7.0190544	-7.0190544	accessible_not_acetylated	-0.5523	0.84780645
chr10	107164708	0.0	7.018182	-7.018182	accessible_not_acetylated	-2.7452188	0.16185045
chr8	90853085	0.0	7.0151777	-7.0151777	accessible_not_acetylated	0.1232996	0.82670736
chr12	63668574	0.0	7.0134215	-7.0134215	accessible_not_acetylated	-2.347413	2.0396314
chr6	149089714	0.0	7.011581	-7.011581	accessible_not_acetylated	0.1342678	1.6243939
chr8	40937606	0.0	7.008703	-7.008703	accessible_not_acetylated	-0.18458033	0.45576715
chr12	102522951	0.0	7.006075	-7.006075	accessible_not_acetylated	0.635551	1.2468319
chr7	25196662	0.0	7.005504	-7.005504	accessible_not_acetylated	0.14618492	1.2631116
chr6	111534611	0.0	7.002173	-7.002173	accessible_not_acetylated	0.18409824	1.4022803
chr12	69388552	0.0	6.9919724	-6.9919724	accessible_not_acetylated	-0.28201103	0.15135431
chr7	15686683	0.0	6.9900174	-6.9900174	accessible_not_acetylated	-0.6255379	2.7086625
chr10	48160866	0.0	6.988016	-6.988016	accessible_not_acetylated	0.40248966	1.1378489
chr12	488015	0.0	6.978996	-6.978996	accessible_not_acetylated	-0.7757273	0.76535845
chr6	42144951	0.0	6.975875	-6.975875	accessible_not_acetylated	-1.064528	-0.09367132
chr12	56513915	0.0	6.973565	-6.973565	accessible_not_acetylated	0.36406517	1.356678
chr10	7666998	0.0	6.9727173	-6.9727173	accessible_not_acetylated	-2.9070535	0.8557062
chr7	6615895	0.0	6.969148	-6.969148	accessible_not_acetylated	-2.3348312	0.804173
chr22	42074250	0.0	6.9686384	-6.9686384	accessible_not_acetylated	-1.5865893	1.0380316
chr12	32644653	0.0	6.9625807	-6.9625807	accessible_not_acetylated	-0.53095484	-0.037525654
chr6	133241356	0.0	6.9577866	-6.9577866	accessible_not_acetylated	-1.8619885	3.5484705
chr6	73855175	0.0	6.9477305	-6.9477305	accessible_not_acetylated	-0.4857006	0.83218193
chr7	102650324	0.0	6.936846	-6.936846	accessible_not_acetylated	0.116303444	1.3854389
chr18	27185338	0.0	6.9222975	-6.9222975	accessible_not_acetylated	-1.5434446	0.45100403
chr8	74088298	0.0	6.9222527	-6.9222527	accessible_not_acetylated	-0.515131	0.20179129
chr10	114239253	0.0	6.9104357	-6.9104357	accessible_not_acetylated	-1.9864268	0.3554411
chr6	127465070	0.0	6.905579	-6.905579	accessible_not_acetylated	0.10184002	1.4898534
chr17	4566880	0.0	6.8994412	-6.8994412	accessible_not_acetylated	-0.10288715	0.62820053
chr10	132352796	0.0	6.898979	-6.898979	accessible_not_acetylated	0.29971266	-0.17745733
chr8	53588241	0.0	6.89088	-6.89088	accessible_not_acetylated	0.11020279	1.5651383
chr22	24250815	0.0	6.886909	-6.886909	accessible_not_acetylated	-1.9053364	0.9691868
chr12	76713322	0.0	6.8849707	-6.8849707	accessible_not_acetylated	-0.09662819	-0.5166521
chr10	6737381	0.0	6.884753	-6.884753	accessible_not_acetylated	-0.16605043	0.5052347
chr20	35755090	0.0	6.8804355	-6.8804355	accessible_not_acetylated	-0.8348646	-0.07653284
chr7	27200106	0.0	6.876838	-6.876838	accessible_not_acetylated	-2.2097688	0.7502322
chr10	84762381	0.0	6.8716106	-6.8716106	accessible_not_acetylated	0.059184074	0.33921242
chr18	54679658	0.0	6.870718	-6.870718	accessible_not_acetylated	-0.11881304	0.04899454
chr8	2238484	0.0	6.8634253	-6.8634253	accessible_not_acetylated	0.82011175	1.085846
chr8	10274060	0.0	6.8620586	-6.8620586	accessible_not_acetylated	0.1261406	1.2184057
chr22	37525565	0.0	6.8568196	-6.8568196	accessible_not_acetylated	-0.3956318	1.5821776
chr21	41767089	0.0	6.856384	-6.856384	accessible_not_acetylated	-1.8485909	3.4588027
chr20	63472689	0.0	6.8515496	-6.8515496	accessible_not_acetylated	-2.8460617	1.1335945
chr8	126567073	0.0	6.846869	-6.846869	accessible_not_acetylated	-0.053530216	0.62928104
chr17	7114811	0.0	6.846456	-6.846456	accessible_not_acetylated	-0.43513393	1.2473025
chr17	20843975	0.0	6.837966	-6.837966	accessible_not_acetylated	-1.7625589	1.3814898
chr7	34758272	0.0	6.83564	-6.83564	accessible_not_acetylated	0.109320164	0.76258564
chr17	44915552	0.0	6.8277035	-6.8277035	accessible_not_acetylated	-0.7578831	-0.17851734
chr7	49773660	0.0	6.8262086	-6.8262086	accessible_not_acetylated	-2.5977464	1.7016902
chr12	111212359	0.0	6.825472	-6.825472	accessible_not_acetylated	-0.23394251	1.1421547
chr6	130037380	0.0	6.8200574	-6.8200574	accessible_not_acetylated	-0.08130264	0.25862503
chr6	152268445	0.0	6.816261	-6.816261	accessible_not_acetylated	-0.42306995	0.73801374
chr8	11576534	0.0	6.809089	-6.809089	accessible_not_acetylated	0.051413536	1.2761073
chr8	7894564	0.0	6.808717	-6.808717	accessible_not_acetylated	0.28983355	1.0097709
chr18	76169965	0.0	6.799095	-6.799095	accessible_not_acetylated	-0.55877495	0.95552444
chr10	55264102	0.0	6.7971306	-6.7971306	accessible_not_acetylated	-0.9195876	1.1695366
chr7	113698792	0.0	6.7964053	-6.7964053	accessible_not_acetylated	0.08708048	0.7109189
chr21	36662070	0.0	6.7926564	-6.7926564	accessible_not_acetylated	0.47626495	1.2370791
chr7	39838572	0.0	6.7879457	-6.7879457	accessible_not_acetylated	-0.05606842	0.510921
chr12	80101429	0.0	6.7848043	-6.7848043	accessible_not_acetylated	-0.09477091	0.85278654
chr12	91355584	0.0	6.7835684	-6.7835684	accessible_not_acetylated	0.37354183	0.841362
chr12	100734023	0.0	6.776937	-6.776937	accessible_not_acetylated	-0.330153	0.72604513
chr10	102901603	0.0	6.759987	-6.759987	accessible_not_acetylated	-0.7419095	0.44056082
chr6	168319754	0.0	6.7595105	-6.7595105	accessible_not_acetylated	-2.6671119	0.67524195
chr12	63103737	0.0	6.752784	-6.752784	accessible_not_acetylated	-0.59152985	-0.7180052
chr10	46462694	0.0	6.7468615	-6.7468615	accessible_not_acetylated	0.30498075	0.8869581
chr10	102219628	0.0	6.7420473	-6.7420473	accessible_not_acetylated	-1.0381393	0.048021793
chr7	143472469	0.0	6.741087	-6.741087	accessible_not_acetylated	0.2982607	2.0946684
chr10	25934072	1.0986123	7.839344	-6.7407317	accessible_not_acetylated	-1.7828774	0.6251383
chr8	53251697	0.0	6.731745	-6.731745	accessible_not_acetylated	-1.3626122	2.429926
chr20	16804141	0.0	6.728602	-6.728602	accessible_not_acetylated	-0.85529184	0.51713085
chr12	27082522	0.0	6.725913	-6.725913	accessible_not_acetylated	-0.081314564	1.1360574
chr10	118596273	0.0	6.725416	-6.725416	accessible_not_acetylated	-1.2337303	1.5405416
chr8	56202410	0.0	6.7197185	-6.7197185	accessible_not_acetylated	0.21799088	0.7391834
chr12	65824459	0.0	6.709105	-6.709105	accessible_not_acetylated	-1.4095626	2.0231204
chr10	123573425	0.0	6.7073975	-6.7073975	accessible_not_acetylated	-0.38811302	0.45482492
chr12	54009105	0.0	6.70562	-6.70562	accessible_not_acetylated	-1.4506483	1.5192413
chr7	81482804	0.0	6.705581	-6.705581	accessible_not_acetylated	-1.0430923	-0.12738752
chr6	89368302	0.0	6.6993756	-6.6993756	accessible_not_acetylated	-0.77706146	-0.046800613
chr10	133424617	0.0	6.6958857	-6.6958857	accessible_not_acetylated	-3.484081	1.1474004
chr17	2724908	0.0	6.6899695	-6.6899695	accessible_not_acetylated	-3.267441	-0.7963033
chr18	70599034	0.0	6.6871796	-6.6871796	accessible_not_acetylated	-0.63159513	0.7188711
