chr	center	observed_log	atac_pred_log	true_residual	class	K562seq_to_GM_residual	K562mm_to_GM_residual	K562resSeq_to_GM_residual	K562resMM_to_GM_residual
chr6	122789270	0.6931472	4.1970634	-3.5039163	accessible_not_acetylated	-0.83513165	0.61272144	-0.40559435	-0.1095252
chr6	122790026	1.0986123	4.5923877	-3.4937754	accessible_not_acetylated	-0.36809587	1.1331625	-0.11019516	0.36046505
chr10	33334905	0.0	3.4799714	-3.4799714	accessible_not_acetylated	-1.2317643	-1.1852951	-1.3387237	-1.7035968
chr7	102517777	0.6931472	4.1662307	-3.4730835	accessible_not_acetylated	-1.5050323	-0.7917304	-0.59648633	-0.8710084
chr12	68933209	0.6931472	4.164727	-3.47158	accessible_not_acetylated	-1.5073187	-0.68657446	-0.7489512	-0.93441534
chr8	23223870	0.6931472	4.159927	-3.4667797	accessible_not_acetylated	-0.5949352	0.31202698	-0.079862595	0.7849798
chr6	3455278	0.0	3.463738	-3.463738	accessible_not_acetylated	-0.5315914	0.4275062	-0.12703705	0.060180426
chr12	15778257	0.0	3.462851	-3.462851	accessible_not_acetylated	-1.101114	0.42281055	-0.008060217	0.035083532
chr18	4446107	0.0	3.452309	-3.452309	accessible_not_acetylated	-1.8338926	0.56647754	-0.0134990215	0.0008428097
chr12	29681587	0.0	3.4518943	-3.4518943	accessible_not_acetylated	-0.5188174	1.0516577	0.08035231	0.14856434
chr7	143836686	1.3862944	4.8286705	-3.4423761	accessible_not_acetylated	-0.78856564	0.94530106	-0.7767749	0.08249521
chr20	64285928	0.6931472	4.1274204	-3.4342732	accessible_not_acetylated	-2.1737945	-1.6444616	-2.0421731	-1.2170012
chr7	34718955	0.0	3.4331179	-3.4331179	accessible_not_acetylated	-0.66850114	0.59493685	0.105697155	0.53088427
chr22	19756736	0.0	3.4267936	-3.4267936	accessible_not_acetylated	-0.31574392	-1.3912067	-0.7710562	-1.144774
chr21	34375464	0.0	3.4216485	-3.4216485	accessible_not_acetylated	1.1945186	-0.14841413	0.3146932	-0.03677559
chr6	170290561	0.0	3.4132462	-3.4132462	accessible_not_acetylated	0.39976764	-0.47550583	-1.102417	-1.1105685
chr6	157273970	1.0986123	4.4857783	-3.387166	accessible_not_acetylated	-1.6254811	0.6487417	-0.6752033	-0.5066056
chr18	34493827	0.0	3.3815897	-3.3815897	accessible_not_acetylated	-2.0083811	-0.7454014	-1.0943072	-1.4786001
chr10	18404642	0.6931472	4.071958	-3.378811	accessible_not_acetylated	-2.001655	0.612762	0.032712936	-0.25953913
chr18	4441370	0.0	3.376997	-3.376997	accessible_not_acetylated	-1.2847276	0.37819648	0.12531662	-0.045559883
chr6	40253490	0.0	3.373187	-3.373187	accessible_not_acetylated	-0.5209508	0.7230873	0.07750487	0.15304255
chr12	29682227	0.6931472	4.0643396	-3.3711925	accessible_not_acetylated	-1.771827	0.5709343	0.1365099	-0.1427021
chr10	24574299	0.0	3.3699036	-3.3699036	accessible_not_acetylated	-1.010705	0.52342916	0.06566715	-0.121052265
chr12	99382178	0.0	3.3460572	-3.3460572	accessible_not_acetylated	-0.41222548	1.5940726	0.48587275	1.090761
chr6	53651759	0.6931472	4.035782	-3.3426347	accessible_not_acetylated	-0.9016299	-0.4821434	-0.64531803	-0.12375808
chr17	41786764	0.6931472	4.03488	-3.341733	accessible_not_acetylated	-1.2574053	-0.16280699	-0.5946667	-0.6902907
chr12	52006857	0.6931472	4.0318365	-3.3386893	accessible_not_acetylated	-0.4273944	-0.5317955	-0.9677324	-0.9950993
chr8	67432887	0.0	3.3277164	-3.3277164	accessible_not_acetylated	-0.9336271	0.85259247	0.074843645	-0.086149216
chr6	98834703	0.0	3.3071065	-3.3071065	accessible_not_acetylated	-0.12121272	-1.9405456	-1.6442918	-1.7826062
chr7	131556581	0.6931472	3.9936047	-3.3004575	accessible_not_acetylated	-2.0350761	-1.3019233	-1.1534858	-1.1714523
chr10	33772822	0.6931472	3.9929974	-3.2998502	accessible_not_acetylated	-1.4005337	0.9591625	0.29930902	0.60194945
chr18	4277410	1.3862944	4.685227	-3.2989326	accessible_not_acetylated	-2.5943835	0.26652384	-0.17953539	0.19217157
chr6	91719628	0.6931472	3.9893274	-3.2961802	accessible_not_acetylated	-1.8054817	1.0268235	0.050186634	0.45818472
chr7	15581142	0.0	3.2923846	-3.2923846	accessible_not_acetylated	-0.43735528	0.15135431	0.054388046	0.43009567
chr22	19757303	0.0	3.2900705	-3.2900705	accessible_not_acetylated	0.03985405	-0.94755125	-0.78528595	-0.9441278
chr12	42484211	0.6931472	3.9801269	-3.2869797	accessible_not_acetylated	-0.42085147	-0.06380129	-0.63509774	-0.49941778
chr7	116524803	0.0	3.2832627	-3.2832627	accessible_not_acetylated	-1.138372	-0.44978714	-0.75224304	-1.0141723
chr12	49967426	0.6931472	3.967372	-3.2742248	accessible_not_acetylated	-1.9928727	-0.37171555	-0.766093	-0.4151163
chr12	53985279	0.0	3.2703247	-3.2703247	accessible_not_acetylated	-0.5437825	-0.8721652	-0.5975423	-0.53716826
chr7	82567622	0.6931472	3.9604	-3.267253	accessible_not_acetylated	-1.9256232	0.4658203	-0.0067059994	-0.19885707
chr17	46579722	1.3862944	4.6513815	-3.2650871	accessible_not_acetylated	-0.062091827	0.48477793	-0.13443804	0.712657
chr7	39304928	0.6931472	3.9560075	-3.2628603	accessible_not_acetylated	-1.5851138	0.891006	0.052796364	-0.11187267
chr17	49568282	0.6931472	3.9543626	-3.2612154	accessible_not_acetylated	-0.8525646	0.40987182	-0.3817706	0.7011235
chr22	18906222	0.0	3.2611585	-3.2611585	accessible_not_acetylated	1.0673723	-0.5368962	-0.5163686	-0.70476913
chr18	34977017	0.0	3.2538438	-3.2538438	accessible_not_acetylated	-0.41020894	-0.62609196	-0.9231467	-1.7146786
chr17	48025178	1.7917595	5.043503	-3.2517433	accessible_not_acetylated	-0.67132854	0.78904676	0.0845871	0.37770128
chr18	48540729	1.0986123	4.349203	-3.2505908	accessible_not_acetylated	-1.0113325	-0.5485687	-1.0291314	-1.1617067
chr10	18501578	0.6931472	3.9424655	-3.2493184	accessible_not_acetylated	-2.1793725	1.0587437	0.1425016	0.1725967
chr7	114085819	0.0	3.2489047	-3.2489047	accessible_not_acetylated	1.6096363	0.61298275	-0.18826485	-0.21792841
chr8	23120400	0.0	3.244389	-3.244389	accessible_not_acetylated	-0.5725839	1.649919	0.5112362	0.98348427
chr20	6122334	1.0986123	4.339965	-3.2413526	accessible_not_acetylated	-1.9124331	0.17719841	-0.3369956	0.07376242
chr12	13632058	0.6931472	3.9293625	-3.2362154	accessible_not_acetylated	-0.8182118	1.6150453	0.19097114	0.49116635
chr7	95867527	0.6931472	3.9290218	-3.2358747	accessible_not_acetylated	-1.4927695	0.7400336	0.017385006	0.36759186
chr7	95718990	0.0	3.2343497	-3.2343497	accessible_not_acetylated	-0.95256734	0.81249523	0.4163952	0.38868356
chr20	6767934	0.6931472	3.9260683	-3.2329211	accessible_not_acetylated	-2.8079705	-0.39110732	-1.5283048	-1.2677805
chr7	2522315	1.0986123	4.3278055	-3.2291932	accessible_not_acetylated	-2.1257718	0.19152784	-0.34958148	-0.31260395
chr7	90212463	1.0986123	4.3260484	-3.227436	accessible_not_acetylated	-1.6486387	-0.14283276	-0.5003853	-0.23409414
chr7	122886638	1.3862944	4.60082	-3.2145257	accessible_not_acetylated	-2.1091578	0.0877018	-1.1062932	-0.48460865
chr7	87628348	1.3862944	4.600225	-3.2139306	accessible_not_acetylated	0.5304899	-0.16851664	-0.7416458	-0.3903594
chr12	6200155	1.0986123	4.3004475	-3.2018352	accessible_not_acetylated	-0.6329808	0.33137703	-0.48057008	0.25034428
chr8	119417008	0.6931472	3.8910313	-3.197884	accessible_not_acetylated	-1.225672	0.56964016	-0.3025236	-0.3330145
chr7	138979371	0.0	3.1902566	-3.1902566	accessible_not_acetylated	-0.5077231	0.0839138	0.07588649	0.22019339
chr10	96511443	0.0	3.1900518	-3.1900518	accessible_not_acetylated	-0.6137459	0.040620565	-0.19580317	0.04033971
chr6	31352175	1.0986123	4.2792983	-3.180686	accessible_not_acetylated	-2.1065695	0.26427364	-0.07228756	-0.06294966
chr6	32582903	0.0	3.17915	-3.17915	accessible_not_acetylated	-1.5109725	0.07277751	-0.11024594	-0.103628874
chr6	50278017	0.0	3.1753411	-3.1753411	accessible_not_acetylated	-0.7890825	0.7372172	-0.11820793	-0.08588147
chr7	54393043	0.0	3.1729612	-3.1729612	accessible_not_acetylated	-0.8959	0.39909124	-0.14950562	0.076648235
chr6	62286265	0.6931472	3.8609061	-3.167759	accessible_not_acetylated	-0.23929381	0.31660318	-0.60812163	-0.6445842
chr17	66302570	0.6931472	3.8559084	-3.1627612	accessible_not_acetylated	-1.3871653	-0.076939106	-0.83220077	-0.28190565
chr8	23162715	1.9459102	5.105294	-3.159384	accessible_not_acetylated	-1.5342493	-0.23452568	-0.071288586	-0.25521755
chr10	104893114	0.6931472	3.845802	-3.152655	accessible_not_acetylated	-1.2694485	1.211407	0.2051065	0.23701501
chr12	15789171	2.0794415	5.22731	-3.1478686	accessible_not_acetylated	-2.0525582	0.7736459	-0.483387	-0.10019112
chr12	15772241	2.0794415	5.224473	-3.1450315	accessible_not_acetylated	-2.681764	0.45586967	0.12976217	-0.1880846
chr17	19063719	0.6931472	3.8297915	-3.1366444	accessible_not_acetylated	0.6951747	0.4971757	0.031601667	0.5180459
chr21	31559245	2.0794415	5.210584	-3.1311426	accessible_not_acetylated	-1.6588299	-0.41482544	-1.3823009	-0.5016279
chr12	48977912	1.0986123	4.2279744	-3.129362	accessible_not_acetylated	-1.599705	0.40927458	-0.38612223	-0.67347956
chr12	81956723	1.3862944	4.5139923	-3.127698	accessible_not_acetylated	-2.494563	0.7755308	-0.24527311	0.08767891
chr6	32087776	0.0	3.1224504	-3.1224504	accessible_not_acetylated	-0.49657464	-1.6028159	-1.3773475	-1.7078314
chr22	37818869	0.0	3.119153	-3.119153	accessible_not_acetylated	-0.71858	-0.887583	-0.6234143	-1.3680214
chr12	106113210	0.6931472	3.811456	-3.1183088	accessible_not_acetylated	-0.9757905	1.5548542	0.07348299	0.75455785
chr20	46308498	0.0	3.1163225	-3.1163225	accessible_not_acetylated	-1.4527705	-1.7070003	-1.3987219	-1.6991707
chr7	95772544	0.0	3.1152263	-3.1152263	accessible_not_acetylated	0.72536016	-0.32053995	-0.5811584	-1.0152798
chr7	29289888	1.0986123	4.206059	-3.1074467	accessible_not_acetylated	-1.0495851	1.0375686	0.13993502	0.3476634
chr7	73213199	1.609438	4.716761	-3.1073232	accessible_not_acetylated	-2.2903175	0.20479393	-0.4421072	-0.4323473
chr6	130366280	0.6931472	3.7983766	-3.1052294	accessible_not_acetylated	-0.09792471	-0.25365186	-0.996541	-0.93735623
chr6	150599887	1.9459102	5.050019	-3.1041086	accessible_not_acetylated	-1.9824097	-0.13063097	-0.9817648	-0.7643347
chr20	6123420	1.0986123	4.202257	-3.1036448	accessible_not_acetylated	-1.3476117	0.9736986	-0.67327833	-0.0031795502
chr7	82336068	0.0	3.101379	-3.101379	accessible_not_acetylated	-1.0175917	0.71737003	0.21270895	0.23711538
chr17	46361768	1.3862944	4.4875555	-3.1012611	accessible_not_acetylated	-0.19276428	0.71798515	-0.17785645	0.70431805
chr10	97320272	0.6931472	3.7909207	-3.0977736	accessible_not_acetylated	-1.3939114	-0.10024309	-0.89639425	-1.025588
chr8	119416311	0.6931472	3.7899106	-3.0967634	accessible_not_acetylated	-0.9669428	-0.036766052	-0.4594636	-0.4728582
chr8	106924288	0.0	3.0965312	-3.0965312	accessible_not_acetylated	-0.71541476	1.2329533	0.05852008	0.32634497
chr7	90211620	1.609438	4.7004557	-3.0910177	accessible_not_acetylated	-1.9063098	-0.21182966	-1.0641809	-0.416883
chr18	79395013	0.6931472	3.7772894	-3.0841422	accessible_not_acetylated	-0.59412456	0.3762226	-0.15555573	-0.61476326
chr10	117471524	0.0	3.0799866	-3.0799866	accessible_not_acetylated	-0.8618741	0.65480065	0.07733989	-0.04004407
chr12	29682755	0.6931472	3.7728856	-3.0797384	accessible_not_acetylated	-1.8034946	0.6255319	0.10371065	0.070562124
chr22	21417403	0.0	3.0772753	-3.0772753	accessible_not_acetylated	-0.12758827	-0.56351805	-1.004945	-1.0142617
chr10	8054667	1.3862944	4.4576206	-3.0713263	accessible_not_acetylated	-0.9753969	0.0070562363	-0.4755864	-0.38233376
chr6	138455189	1.7917595	4.86237	-3.0706105	accessible_not_acetylated	-2.531518	0.6899729	-0.03556013	0.36064196
chr17	34382762	1.0986123	4.162095	-3.0634828	accessible_not_acetylated	-0.98086023	1.3746352	0.24878407	0.46972132
chr8	108787479	0.0	3.0556388	-3.0556388	accessible_not_acetylated	-0.7555492	0.16556215	-0.77723813	-1.0724485
chr17	81537700	0.0	3.05407	-3.05407	accessible_not_acetylated	-0.7774875	-0.6547122	-0.9942682	-0.55583596
chr6	170293016	0.0	3.0519624	-3.0519624	accessible_not_acetylated	-0.33900642	0.019018412	0.10946822	0.037965298
chr6	157274932	1.7917595	4.836342	-3.0445824	accessible_not_acetylated	-1.0974345	-0.11379433	-1.1470656	-0.24288082
chr6	54290713	0.0	3.043445	-3.043445	accessible_not_acetylated	-0.18015885	0.5444646	0.11234927	0.42085838
chr12	15780870	1.0986123	4.141909	-3.0432968	accessible_not_acetylated	-1.1784513	1.5527606	0.18020391	0.394547
chr7	95432933	0.0	3.0417137	-3.0417137	accessible_not_acetylated	-0.31034613	0.40815592	0.03845334	0.09246755
chr17	33459760	1.609438	4.645625	-3.0361872	accessible_not_acetylated	-2.3055685	1.1627121	-0.010538578	0.24275064
chr18	34159440	0.6931472	3.7292478	-3.0361006	accessible_not_acetylated	-0.8744991	0.36319137	-0.66635203	-0.48510218
chr7	88346511	0.0	3.0352259	-3.0352259	accessible_not_acetylated	-0.5697355	0.11128998	-0.12399936	0.035404205
chr17	46590668	0.0	3.0342832	-3.0342832	accessible_not_acetylated	-0.15843534	-0.08269453	-0.22667909	-0.23827505
chr6	32086840	0.0	3.030408	-3.030408	accessible_not_acetylated	0.023103714	-0.035661936	-0.3626876	-0.06283021
chr17	44920214	1.3862944	4.4125853	-3.026291	accessible_not_acetylated	-2.0001616	0.12049723	-0.14233685	0.35511398
chr12	74488366	0.0	3.024197	-3.024197	accessible_not_acetylated	-1.1592103	0.6154194	0.095380545	0.47682667
chr7	13991038	1.3862944	4.4087834	-3.022489	accessible_not_acetylated	0.9159045	0.5976019	0.27966738	0.5739255
chr10	18402999	1.7917595	4.813407	-3.0216475	accessible_not_acetylated	-3.0157838	0.37957668	0.15949821	0.28047657
chr6	84546641	1.609438	4.6310062	-3.0215683	accessible_not_acetylated	-2.1239493	0.63152266	0.14606619	-0.22775078
chr22	23070276	0.6931472	3.709395	-3.0162477	accessible_not_acetylated	-1.1102691	-0.09964943	-0.58401155	-0.3470862
chr6	54291321	0.6931472	3.7085757	-3.0154285	accessible_not_acetylated	-0.9744923	0.8850727	0.4350133	0.8110652
chr10	34291626	0.0	3.002679	-3.002679	accessible_not_acetylated	-0.29355645	0.38561535	0.120880365	0.052216053
chr6	22888220	0.6931472	3.6955166	-3.0023694	accessible_not_acetylated	-1.4364123	0.70517254	0.05041313	0.073628426
chr17	56593698	0.0	2.9956	-2.9956	accessible_not_acetylated	-2.2857342	-1.9314234	-1.324351	-2.337382
chr6	17405612	0.0	2.9941168	-2.9941168	accessible_not_acetylated	-0.62552714	0.35941434	-0.26379323	-0.24681234
chr10	29646721	0.0	2.9934964	-2.9934964	accessible_not_acetylated	-0.21392727	0.7964189	0.11822772	0.4058776
chr10	28677434	0.6931472	3.6857386	-2.9925914	accessible_not_acetylated	0.18612504	-1.4605126	-1.2179914	-2.089281
chr17	81095073	0.0	2.9898021	-2.9898021	accessible_not_acetylated	0.056150198	0.8701675	-0.31637263	-0.30842495
chr7	122629444	1.0986123	4.079607	-2.9809947	accessible_not_acetylated	-1.6707225	0.2627902	-0.09535575	-0.5918808
chr20	6769682	1.3862944	4.3655105	-2.979216	accessible_not_acetylated	-0.0072574615	1.285285	0.33731174	0.30434656
chr10	117479525	0.6931472	3.66945	-2.9763029	accessible_not_acetylated	-1.8236821	1.0029037	-0.13655019	0.13654423
chr12	113153195	0.6931472	3.6674662	-2.974319	accessible_not_acetylated	0.017998695	-0.093158245	-0.70380974	-0.67605424
chr6	157385712	1.609438	4.5799217	-2.9704838	accessible_not_acetylated	-1.7613885	0.6590538	0.16954947	-0.20907736
chr17	81483400	0.6931472	3.6589346	-2.9657874	accessible_not_acetylated	-0.91378665	-0.67658806	-0.6850817	-0.64966726
chr17	81959867	0.0	2.9599748	-2.9599748	accessible_not_acetylated	0.18153334	-0.898051	-0.8464439	-0.892653
chr17	70169479	1.3862944	4.343671	-2.9573765	accessible_not_acetylated	-0.21423864	-0.031396866	-0.93909454	-0.49513292
chr22	50271915	0.6931472	3.6502604	-2.9571133	accessible_not_acetylated	-0.6226599	-1.5816517	-0.9487231	-1.6475511
chr17	44308545	0.0	2.955148	-2.955148	accessible_not_acetylated	-0.8810055	-0.7176478	-1.0895221	-1.3391166
chr18	23662885	0.0	2.951461	-2.951461	accessible_not_acetylated	-0.6959498	-0.7119868	-0.63325524	-0.5862696
chr7	29278025	0.6931472	3.6439161	-2.950769	accessible_not_acetylated	-0.6227329	0.7628212	-0.07453561	0.1963563
chr22	29030909	0.0	2.9505124	-2.9505124	accessible_not_acetylated	0.7857752	-0.5210066	-0.4210899	-0.8046751
chr7	519156	1.0986123	4.0464144	-2.947802	accessible_not_acetylated	-1.594984	-0.7442813	-1.3964262	-1.5970154
chr12	57460150	1.9459102	4.8818207	-2.9359105	accessible_not_acetylated	-2.777659	-0.559474	-0.86455154	-0.20126057
chr8	117443532	0.0	2.928768	-2.928768	accessible_not_acetylated	-1.2209426	0.50518894	-0.0031311512	-0.36322093
chr8	113437997	0.0	2.9284933	-2.9284933	accessible_not_acetylated	0.098656416	0.9272244	-0.12902808	-0.03524065
chr12	70366842	1.3862944	4.3112454	-2.924951	accessible_not_acetylated	-1.9652965	-0.6255498	-0.9476533	-1.1085396
chr8	119969792	0.6931472	3.6160696	-2.9229224	accessible_not_acetylated	-1.4845264	0.9835808	-0.07015252	-0.44879413
chr17	50560086	0.6931472	3.6155524	-2.9224052	accessible_not_acetylated	0.2716081	-0.2902751	-0.47134137	-0.5072775
chr22	29071823	1.0986123	4.018599	-2.9199867	accessible_not_acetylated	-0.8325677	-0.6311579	-0.51262	-0.5744767
chr12	49297588	0.6931472	3.6131036	-2.9199564	accessible_not_acetylated	-1.3211215	-1.0930154	-0.83381295	-1.044111
chr6	6008310	1.9459102	4.860312	-2.9144018	accessible_not_acetylated	-0.5744786	0.2440939	-0.19877386	-0.14451456
chr21	43107592	0.0	2.913958	-2.913958	accessible_not_acetylated	2.5659704	1.1619401	-0.795002	-0.15634298
chr17	79811466	1.0986123	4.012075	-2.9134626	accessible_not_acetylated	-2.3098145	-1.0796237	-0.7043083	-1.2339294
chr20	6848216	0.0	2.9126792	-2.9126792	accessible_not_acetylated	-1.3142623	1.2551293	-0.060053587	0.24948311
chr17	49969088	0.0	2.9112062	-2.9112062	accessible_not_acetylated	1.2568135	-0.6134443	-0.91229224	-1.2287986
chr6	41428308	0.6931472	3.6033492	-2.910202	accessible_not_acetylated	0.16760588	-1.3186958	-1.2728381	-1.1037514
chr8	23161784	1.3862944	4.2931104	-2.906816	accessible_not_acetylated	-0.8974254	0.056778908	0.090874195	-0.08246374
chr17	35764536	1.3862944	4.291865	-2.9055705	accessible_not_acetylated	-2.9652174	-0.62393475	-1.3422842	-1.049799
chr6	138499535	1.3862944	4.2865953	-2.900301	accessible_not_acetylated	-1.4827807	1.3108287	0.11864042	0.093357086
chr18	4454500	1.609438	4.5072412	-2.8978033	accessible_not_acetylated	-2.3664289	-0.009140968	-1.1486566	-0.42347717
chr12	39612965	1.9459102	4.843449	-2.897539	accessible_not_acetylated	-1.8601341	0.22322607	-0.08139515	-0.11079693
chr6	117482479	2.1972246	5.093937	-2.8967123	accessible_not_acetylated	-2.1158664	-0.62948895	-0.8273735	-0.8161583
chr7	117715969	0.0	2.8949842	-2.8949842	accessible_not_acetylated	-0.51720643	0.30632353	-0.06663346	0.1885252
chr12	113136215	0.0	2.891951	-2.891951	accessible_not_acetylated	0.14992571	-0.4194169	-0.26973844	-0.21897411
chr6	144286283	1.3862944	4.277769	-2.8914747	accessible_not_acetylated	-0.837564	-0.48979497	-0.7929535	-1.0275013
chr8	96145698	0.6931472	3.5840976	-2.8909504	accessible_not_acetylated	0.76214385	-0.031596422	-0.52344537	-0.52065444
chr8	29333546	1.3862944	4.2758327	-2.8895383	accessible_not_acetylated	-2.0543725	0.26706743	-0.14554834	-0.22701502
chr17	50560863	1.3862944	4.2736454	-2.887351	accessible_not_acetylated	-1.8385873	-1.2719116	-1.3220124	-1.5735283
chr7	44020314	0.6931472	3.580381	-2.8872337	accessible_not_acetylated	-1.619627	-0.03736067	-0.5446272	-0.54556155
chr17	45894353	0.0	2.8839204	-2.8839204	accessible_not_acetylated	1.358454	-0.17755723	-0.380136	-1.0566256
chr12	49342652	1.3862944	4.2684317	-2.8821373	accessible_not_acetylated	-1.8509417	-1.0490584	-1.1178374	-1.2885971
chr21	42219097	1.0986123	3.9789	-2.8802876	accessible_not_acetylated	-0.91235924	-0.3148179	-1.0931983	-0.8214655
chr6	151627844	0.0	2.8791537	-2.8791537	accessible_not_acetylated	0.8413861	1.3023157	0.71373796	1.0644476
chr10	117443208	0.0	2.8786173	-2.8786173	accessible_not_acetylated	-0.107679605	0.16350842	-0.066303015	-0.16324615
chr12	57239464	1.9459102	4.823164	-2.8772538	accessible_not_acetylated	-1.2576036	0.42778635	-0.49988222	-0.09960556
