chr	start	end	k27_obs	k27_pred	ATAC.RPM	err	stratum
chr1	1258165	1259078	0.35858	0.04925	0.85051	0.01448	typical (middle 50%)
chr1	1264948	1265893	0.63922	0.0992	1.25109	-0.00476	typical (middle 50%)
chr1	1272634	1274980	14.5846	0.49546	15.93074	-0.69245	other
chr1	1280185	1280685	0.2777	0.04271	0.34101	-0.13094	typical (middle 50%)
chr1	1281156	1282548	0.19976	0.04483	2.101	0.45608	other
chr1	1283765	1284265	0.0	0.05796	1.15292	0.42345	other
chr1	1285029	1285529	0.03995	0.05457	1.03918	0.34726	other
chr1	1285573	1286073	0.19976	0.06263	1.5764	0.35756	other
chr1	1286309	1286917	0.0	0.04885	1.46612	0.49938	other
chr1	1287478	1287978	0.03995	0.05958	1.37178	0.44609	other
chr1	1290104	1290604	0.11985	0.11298	3.18772	0.77528	other
chr1	1290892	1292268	0.23971	0.15567	9.46347	1.28151	over-predicted 1%
chr1	1293499	1294282	0.71618	0.13579	13.86757	1.1577	over-predicted 1%
chr1	1299009	1299509	0.27672	0.03553	1.21637	0.17581	typical (middle 50%)
chr1	1299949	1300703	0.27868	0.13613	2.9258	0.62302	other
chr1	1304593	1306493	14.20446	1.67012	20.45122	0.05931	typical (middle 50%)
chr1	1307392	1310123	15.95642	1.8464	29.68671	0.23715	other
chr1	1315063	1316122	2.97378	0.63383	4.16651	0.02345	typical (middle 50%)
chr1	1318172	1318672	0.79412	0.18982	2.90718	0.32755	other
chr1	1318760	1319260	0.91397	0.1333	0.97295	-0.2113	other
chr1	1324175	1325460	10.52037	1.20813	16.17406	0.00831	typical (middle 50%)
chr1	1331093	1331801	0.3576	0.05372	1.25479	0.14251	typical (middle 50%)
chr1	1332174	1333026	0.43652	0.04059	1.50603	0.13925	typical (middle 50%)
chr1	1333498	1333998	0.4375	0.06872	1.471	0.15648	typical (middle 50%)
chr1	1334798	1335298	0.23873	0.11541	1.25609	0.29139	other
chr1	1337268	1338146	0.71324	0.05681	6.07041	0.62448	other
chr1	1344548	1345520	1.91079	0.2093	4.654	0.09001	typical (middle 50%)
chr1	1347535	1348847	13.1346	1.37038	9.40692	-0.43725	other
chr1	1348862	1350181	10.15787	0.19778	7.34707	-1.0207	other
chr1	1351345	1352544	0.99486	0.23975	3.25584	0.31583	other
chr1	1352621	1353121	0.67525	0.16012	1.32794	0.04834	typical (middle 50%)
chr1	1357738	1359669	10.04978	0.97294	12.09616	-0.23142	other
chr1	1361933	1362433	0.5174	0.10141	0.87447	-0.03955	typical (middle 50%)
chr1	1371578	1372487	1.47133	0.20855	6.50913	0.42976	other
chr1	1374543	1375043	9.5265	0.63573	3.1691	-1.08314	other
chr1	1375071	1375688	11.94881	2.03596	20.60328	0.35269	other
chr1	1376264	1376764	6.87134	0.57528	4.05772	-0.70981	other
chr1	1383584	1384315	0.47647	0.09904	1.09168	0.05391	typical (middle 50%)
chr1	1384349	1386760	0.63726	0.0852	3.24928	0.37927	other
chr1	1390574	1391074	0.95	0.13447	0.99597	-0.2217	other
chr1	1391133	1391633	0.59339	0.10156	0.63434	-0.17365	typical (middle 50%)
chr1	1398095	1398595	9.73214	3.07361	3.46467	-0.14739	typical (middle 50%)
chr1	1398671	1400570	37.08613	2.42207	35.28033	-0.28358	other
chr1	1400785	1401285	1.03775	0.49379	2.8585	0.41992	other
chr1	1401914	1402414	1.03285	0.337	3.16847	0.35956	other
chr1	1406207	1408129	27.59934	1.766	17.54742	-0.62779	other
chr1	1418814	1419749	0.1978	0.0217	0.77032	0.08624	typical (middle 50%)
chr1	1421194	1421694	0.15882	0.02263	0.40542	-0.02352	typical (middle 50%)
chr1	1422773	1423273	0.3576	0.27476	1.42914	0.37932	other
chr1	1425372	1426377	0.11985	0.05529	2.30536	0.57471	other
chr1	1426385	1427309	0.1598	0.11973	2.53115	0.64008	other
chr1	1427331	1427831	0.11887	0.04832	1.121	0.29267	other
chr1	1431820	1432320	0.47549	0.12738	1.934	0.29078	other
chr1	1433131	1433631	2.3853	0.41201	5.4174	0.17283	typical (middle 50%)
chr1	1433693	1434193	2.2206	0.5278	2.88323	-0.01131	typical (middle 50%)
chr1	1434323	1435032	1.1527	0.2883	2.25251	0.11066	typical (middle 50%)
chr1	1435194	1435938	2.66104	0.14769	8.5436	0.13441	typical (middle 50%)
chr1	1440811	1441935	1.46937	0.1319	6.56894	0.36998	other
chr1	1444645	1445145	0.0	0.05681	0.86629	0.33339	other
chr1	1447853	1448969	0.5174	0.09221	1.0532	0.00878	typical (middle 50%)
chr1	1449438	1449938	0.19878	0.05495	0.21737	-0.11575	typical (middle 50%)
chr1	1454060	1455056	0.03995	0.04291	1.22145	0.38946	other
chr1	1455147	1456569	0.03995	0.04033	1.79086	0.52909	other
chr1	1458966	1459891	0.0	0.05702	1.33081	0.472	other
chr1	1461597	1463121	0.23971	0.06958	2.04185	0.43475	other
chr1	1470522	1471387	12.68142	1.80253	3.47467	-0.7628	other
chr1	1471468	1473209	6.47379	0.79727	13.74688	0.14026	typical (middle 50%)
chr1	1483245	1484179	0.15882	0.05559	0.65363	0.10949	typical (middle 50%)
chr1	1484689	1485724	0.1598	0.03734	1.09705	0.23913	other
chr1	1485954	1487103	0.0799	0.02903	0.97264	0.26439	other
chr1	1495055	1497561	0.23873	0.0368	2.97397	0.57087	other
chr1	1497622	1498122	0.0	0.05923	0.47028	0.18715	typical (middle 50%)
chr1	1504612	1505343	2.10956	0.28606	1.95236	-0.31914	other
chr1	1505378	1505878	2.663	0.2619	2.08845	-0.47384	other
chr1	1510873	1511373	16.12211	2.35322	2.79154	-0.9109	other
chr1	1511496	1513274	21.65374	1.31998	19.80996	-0.49889	other
chr1	1523882	1524795	0.03995	0.0262	0.68291	0.20041	typical (middle 50%)
chr1	1526216	1527078	0.0	0.0287	0.59222	0.20752	typical (middle 50%)
chr1	1533103	1535741	0.35956	0.04936	3.89403	0.61952	other
chr1	1535815	1537011	0.51838	0.02858	1.51237	0.07379	typical (middle 50%)
chr1	1540110	1540610	0.0	0.00196	0.15462	-0.01895	typical (middle 50%)
chr1	1543340	1544290	0.35858	0.05294	1.14	0.1085	typical (middle 50%)
chr1	1548632	1549132	0.47843	0.05709	0.74001	-0.10096	typical (middle 50%)
chr1	1550679	1551858	0.63726	0.07725	2.6264	0.2732	other
chr1	1554789	1555289	0.43946	0.11906	1.29235	0.1544	typical (middle 50%)
chr1	1560062	1563199	1.43236	0.30528	7.64706	0.61053	other
chr1	1564097	1564981	1.39339	0.16015	1.43397	-0.28064	other
chr1	1573344	1575650	55.27467	7.49384	14.50039	-0.29447	other
chr1	1577462	1577962	0.23775	0.09683	1.26339	0.27739	other
chr1	1583237	1584081	0.3576	0.06148	0.95193	0.06002	typical (middle 50%)
chr1	1585857	1586590	0.59828	0.1161	1.54715	0.11273	typical (middle 50%)
chr1	1588365	1589102	0.31863	0.07322	0.74294	0.02963	typical (middle 50%)
chr1	1593944	1594444	0.03995	0.09131	0.96786	0.35934	other
chr1	1594557	1595057	0.75711	0.1657	1.38287	0.01996	typical (middle 50%)
chr1	1596654	1597997	1.71495	0.56861	5.23785	0.481	other
chr1	1599503	1600861	0.91201	0.118	3.79198	0.32876	other
chr1	1601971	1603582	0.91299	0.14316	3.24279	0.2747	other
chr1	1603905	1604841	0.23971	0.08669	1.53143	0.33623	other
chr1	1605058	1605558	0.55735	0.06358	0.72773	-0.15125	typical (middle 50%)
chr1	1614144	1614949	9.74488	1.86172	4.79067	-0.33974	other
chr1	1615146	1616506	17.67726	1.0645	23.41452	-0.32306	other
chr1	1620007	1620507	0.19878	0.06741	2.45686	0.54593	other
chr1	1621616	1622715	0.55637	0.05291	1.77956	0.1354	typical (middle 50%)
chr1	1624712	1625510	0.27966	0.05234	1.84385	0.34486	other
chr1	1627253	1627753	0.03995	0.04232	1.41647	0.4413	other
chr1	1631930	1632430	0.0	0.00589	0.20904	0.01366	typical (middle 50%)
chr1	1632972	1633873	0.0	0.00974	0.90293	0.29993	other
chr1	1634615	1635635	0.0	0.03944	1.06442	0.37964	other
chr1	1635918	1636850	0.23971	0.03751	0.81332	0.08215	typical (middle 50%)
chr1	1644816	1645316	0.03995	0.03779	0.82239	0.26123	other
chr1	1647349	1648651	1.31054	0.22633	2.43947	0.0254	typical (middle 50%)
chr1	1657647	1658490	0.4375	0.37942	1.65114	0.4555	other
chr1	1658524	1659598	11.61964	2.44103	11.99892	0.18734	typical (middle 50%)
chr1	1665617	1666335	0.51642	0.03079	1.37331	0.04177	typical (middle 50%)
chr1	1678069	1678569	0.23873	0.05809	0.36987	-0.07207	typical (middle 50%)
chr1	1678791	1679291	0.67329	0.12294	1.40145	0.0363	typical (middle 50%)
chr1	1680293	1681278	0.47745	0.07823	1.33647	0.10305	typical (middle 50%)
chr1	1686301	1686801	1.86398	0.23859	1.00651	-0.51499	other
chr1	1691577	1692077	0.71324	1.18431	2.81096	0.96564	other
chr1	1692283	1693696	4.76864	2.23952	40.44622	1.63191	over-predicted 1%
chr1	1700296	1701311	0.0	0.01361	1.16376	0.38375	other
chr1	1706530	1707371	0.03995	0.03409	0.62176	0.18503	typical (middle 50%)
chr1	1711984	1712484	0.03995	0.01497	0.70381	0.1971	typical (middle 50%)
chr1	1715032	1716468	4.8934	0.21971	2.64707	-0.87987	other
chr1	1723365	1723865	1.31054	0.87393	1.23882	0.18203	typical (middle 50%)
chr1	1723873	1725175	8.01718	2.51473	16.97766	0.74659	other
chr1	1728492	1728992	0.55833	0.13359	1.18397	0.0578	typical (middle 50%)
chr1	1730304	1731234	0.11985	0.06104	0.75699	0.1866	typical (middle 50%)
chr1	1744840	1745340	0.0	0.53893	1.96998	0.99855	other
chr1	1745571	1746960	5.71668	1.53506	38.41174	1.2032	over-predicted 1%
chr1	1748550	1749050	0.99388	0.2866	2.34787	0.20397	typical (middle 50%)
chr1	1752986	1753656	0.0799	0.04005	0.97456	0.27565	other
chr1	1758185	1758685	8.18483	0.71483	1.19882	-1.298	other
chr1	1758803	1760051	11.50272	0.51747	15.12143	-0.48801	other
chr1	1777786	1779191	18.59417	1.67614	16.69447	-0.31198	other
chr1	1779926	1780847	7.38384	1.59247	5.84637	-0.08614	typical (middle 50%)
chr1	1781948	1783385	9.04807	1.78779	14.13242	0.29934	other
chr1	1794932	1795432	0.1598	0.04344	0.40638	-0.0038	typical (middle 50%)
chr1	1795550	1796050	0.1598	0.05106	0.27815	-0.05605	typical (middle 50%)
chr1	1796409	1797177	0.47941	0.0523	0.87159	-0.06077	typical (middle 50%)
chr1	1846389	1849873	4.56594	0.24448	4.96104	-0.49663	other
chr1	1855616	1856379	0.63726	0.12132	1.33764	0.03985	typical (middle 50%)
chr1	1858551	1859898	1.8679	0.3421	4.16855	0.15314	typical (middle 50%)
chr1	1864198	1865238	0.43652	0.11818	1.00338	0.07175	typical (middle 50%)
chr1	1869177	1870147	0.27868	0.12323	1.05835	0.20951	typical (middle 50%)
chr1	1872250	1873534	1.07476	0.1298	1.41934	-0.16805	typical (middle 50%)
chr1	1877569	1879348	1.5103	0.2554	2.71846	0.01448	typical (middle 50%)
chr1	1880601	1881500	0.91397	0.38063	1.96879	0.24057	other
chr1	1881767	1882267	0.31863	0.14833	0.79621	0.11601	typical (middle 50%)
chr1	1882979	1883905	0.95392	0.55699	3.34066	0.57669	other
chr1	1889329	1892255	23.40448	0.67275	19.93844	-0.89659	other
chr1	1897070	1897570	0.03995	0.17043	1.06504	0.45935	other
chr1	1899105	1899881	0.63628	0.05757	1.11267	-0.0811	typical (middle 50%)
chr1	1901745	1902245	0.11887	0.04874	0.91786	0.23038	other
chr1	1906156	1907827	2.42917	0.6707	15.24974	0.90675	other
chr1	1908432	1909580	7.38777	1.19564	18.53309	0.40014	other
chr1	1914576	1915076	0.27868	0.0752	0.87035	0.10617	typical (middle 50%)
chr1	1918499	1918999	1.34853	0.50148	3.39264	0.36385	other
chr1	1919042	1919945	2.57819	0.40982	27.33782	1.04076	other
chr1	1922913	1923413	0.27868	0.0751	1.98379	0.39694	other
chr1	1925202	1926467	0.43848	0.06937	1.80449	0.23524	other
chr1	1929419	1930858	0.19976	0.04733	1.41882	0.30375	other
chr1	1942867	1944646	0.75613	0.16704	7.96458	0.84678	other
chr1	1954805	1955650	0.1978	0.14227	1.91016	0.50733	other
chr1	1959714	1960448	0.23873	0.28192	4.41085	0.9753	other
chr1	1965613	1966798	0.27868	0.03523	0.95838	0.09692	typical (middle 50%)
chr1	1973843	1975243	0.55441	0.03204	1.52602	0.05707	typical (middle 50%)
chr1	1982675	1985118	0.79608	0.17636	3.80505	0.44389	other
chr1	1985185	1985685	0.1598	0.06287	0.8527	0.1863	typical (middle 50%)
chr1	1989046	1989546	0.19878	0.10276	1.61633	0.40502	other
chr1	1994473	1995222	0.55735	0.11198	0.79204	-0.08399	typical (middle 50%)
chr1	1995856	1996875	1.43138	0.35246	1.76327	-0.064	typical (middle 50%)
chr1	2000356	2001463	0.31961	0.14039	1.56264	0.32963	other
chr1	2001526	2002297	0.39951	0.17564	1.25008	0.22028	typical (middle 50%)
chr1	2002983	2004092	0.43652	0.16988	3.54234	0.62673	other
chr1	2008908	2009696	0.27868	0.0422	0.58856	-0.0267	typical (middle 50%)
chr1	2019078	2020000	0.03995	0.00791	1.22499	0.35632	other
chr1	2023087	2023776	0.15882	0.02966	0.74737	0.11896	typical (middle 50%)
chr1	2025298	2025985	0.11985	0.03039	0.7311	0.14804	typical (middle 50%)
chr1	2028651	2029356	0.19976	0.03758	0.73385	0.08707	typical (middle 50%)
chr1	2029752	2031564	0.23971	0.0517	2.19587	0.44865	other
chr1	2031600	2032660	0.0799	0.02596	1.06947	0.29124	other
chr1	2037281	2038029	0.19976	0.05497	0.90098	0.161	typical (middle 50%)
chr1	2044760	2045260	0.11887	0.07798	2.85438	0.69255	other
chr1	2045370	2046254	0.5174	0.17107	1.79547	0.27067	other
chr1	2046389	2046889	0.15784	0.10894	4.14203	0.86612	other
chr1	2049371	2049871	0.0799	0.06546	0.93261	0.28641	other
chr1	2050052	2050719	0.23775	0.02688	1.84288	0.35346	other
chr1	2055865	2056365	0.1598	0.03918	1.05403	0.22801	other
chr1	2059241	2060274	0.23971	0.0487	0.84614	0.10405	typical (middle 50%)
chr1	2060893	2062536	0.51838	0.04509	1.32902	0.04252	typical (middle 50%)
chr1	2072129	2074313	0.39853	0.0474	2.21395	0.32751	other
chr1	2088248	2088942	0.03995	0.06177	0.91042	0.31345	other
chr1	2091325	2092658	0.27868	0.06558	3.37231	0.62599	other
chr1	2092953	2094241	0.11985	0.0439	1.68141	0.43357	other
chr1	2104192	2105443	0.27868	0.10004	1.9382	0.41029	other
chr1	2107427	2109013	0.5174	0.10685	5.00119	0.69002	other
chr1	2110645	2111410	0.11985	0.04826	1.0323	0.26514	other
chr1	2114576	2115734	0.27966	0.03722	0.86573	0.0679	typical (middle 50%)
chr1	2132159	2133838	2.30442	1.15603	31.17416	1.62423	over-predicted 1%
chr1	2139677	2140177	0.11985	0.05364	1.20279	0.32042	other
chr1	2143593	2144699	0.23873	0.03131	0.76938	0.06167	typical (middle 50%)
chr1	2151071	2151972	0.43946	0.07438	0.77831	-0.04447	typical (middle 50%)
chr1	2157779	2158656	0.23873	0.04647	0.83298	0.09825	typical (middle 50%)
chr1	2160095	2161218	0.59632	0.0489	1.18059	-0.04491	typical (middle 50%)
chr1	2165640	2166140	0.11887	0.05522	0.64097	0.13943	typical (middle 50%)
chr1	2174016	2174935	0.43848	0.13972	3.2899	0.56364	other
chr1	2175406	2176432	6.84217	1.78572	9.05092	0.29165	other
chr1	2176519	2177019	3.02256	0.72468	1.52447	-0.38063	other
chr1	2179486	2181238	26.04957	5.21149	8.33612	-0.19056	other
chr1	2189468	2190279	4.57673	1.13395	19.14949	0.79916	other
chr1	2194525	2195588	9.87332	0.81957	19.25728	-0.02461	typical (middle 50%)
chr1	2199203	2199974	9.01694	1.13602	19.50045	0.22521	typical (middle 50%)
chr1	2204358	2205076	4.39928	0.61787	5.52594	-0.14745	typical (middle 50%)
chr1	2205126	2205626	1.62329	0.35704	10.71585	0.76299	other
chr1	2207087	2207813	0.83603	0.33603	4.08916	0.58494	other
chr1	2212396	2213508	3.49413	0.82791	6.07833	0.20871	typical (middle 50%)
chr1	2220375	2221318	0.51642	0.08657	1.19068	0.0446	typical (middle 50%)
chr1	2227034	2227534	7.54365	0.48132	2.55724	-1.07243	other
chr1	2227550	2228050	2.18652	0.38852	19.95014	0.95336	other
chr1	2228444	2228944	0.55637	0.31648	0.94849	0.13758	typical (middle 50%)
chr1	2229117	2232328	14.62161	1.71303	26.34187	0.19928	typical (middle 50%)
chr1	2232840	2233340	1.23554	0.8532	2.75799	0.52645	other
chr1	2237629	2238129	0.35956	0.08669	1.66902	0.27691	other
chr1	2239899	2240614	0.63628	0.09186	1.26728	-0.00521	typical (middle 50%)
chr1	2241840	2242340	0.67623	0.13407	1.04054	-0.05701	typical (middle 50%)
chr1	2242806	2243689	0.63726	0.17116	1.17601	0.03872	typical (middle 50%)
chr1	2244986	2245486	0.11985	0.14519	0.72363	0.25098	other
chr1	2246334	2247038	0.27966	0.077	0.86204	0.1043	typical (middle 50%)
chr1	2247821	2249056	0.19976	0.04982	1.23229	0.25615	other
chr1	2255213	2255713	6.76031	2.9171	0.96246	-0.37425	other
chr1	2255716	2256816	9.05787	5.69045	3.85255	0.46552	other
chr1	2270522	2271843	0.55735	0.03317	1.6132	0.07741	typical (middle 50%)
chr1	2271927	2273041	0.67721	0.10431	2.21377	0.19868	typical (middle 50%)
chr1	2275571	2276542	0.87108	0.14289	2.01266	0.08339	typical (middle 50%)
chr1	2282690	2284119	0.35858	0.03985	1.06763	0.07457	typical (middle 50%)
chr1	2284165	2285345	0.1598	0.06142	1.6232	0.4015	other
chr1	2289524	2291096	2.81398	0.18799	3.70213	-0.31282	other
chr1	2291111	2291795	1.26765	0.11134	0.9871	-0.39599	other
chr1	2299520	2301118	0.79902	0.04387	1.48944	-0.08676	typical (middle 50%)
chr1	2310987	2312932	1.07182	0.27022	7.5944	0.73993	other
chr1	2314461	2315959	0.91201	0.21945	5.80529	0.63405	other
chr1	2315992	2316492	0.19976	0.11801	1.47035	0.38219	other
chr1	2316553	2317053	0.0799	0.13777	1.59222	0.53495	other
chr1	2322220	2323251	0.0	0.03642	1.56065	0.51088	other
chr1	2327448	2328265	0.19976	0.08116	1.85121	0.43796	other
chr1	2328283	2329014	0.1598	0.05142	1.03556	0.23408	other
chr1	2334109	2335217	0.67329	0.07601	1.27614	-0.03977	typical (middle 50%)
chr1	2335495	2336385	0.11985	0.0231	0.91884	0.20507	typical (middle 50%)
chr1	2336548	2337482	0.23971	0.01975	0.86067	0.08094	typical (middle 50%)
chr1	2338749	2339440	0.2777	0.08979	0.82617	0.10553	typical (middle 50%)
chr1	2342067	2342962	0.27966	0.05592	0.77156	0.05352	typical (middle 50%)
chr1	2343138	2343910	0.11985	0.03127	1.02284	0.24589	other
chr1	2344041	2344968	0.0799	0.03312	1.00005	0.27696	other
chr1	2345075	2346110	0.35956	0.0956	1.06708	0.12591	typical (middle 50%)
chr1	2352090	2353796	0.43946	0.0676	2.15991	0.30721	other
chr1	2355434	2356103	0.0799	0.03672	0.85889	0.23485	other
chr1	2357196	2358285	0.27868	0.04882	1.32291	0.21628	typical (middle 50%)
chr1	2368026	2368990	0.27868	0.09554	0.86402	0.1228	typical (middle 50%)
chr1	2372525	2374653	0.31961	0.03771	2.71052	0.46578	other
chr1	2381052	2383008	0.43946	0.12526	11.62742	1.22252	over-predicted 1%
chr1	2390896	2392625	10.53704	0.91486	22.34075	0.05543	typical (middle 50%)
chr1	2402453	2402953	0.31667	0.04828	0.66924	-0.01931	typical (middle 50%)
chr1	2403924	2406405	1.27549	0.12854	3.9936	0.18977	typical (middle 50%)
chr1	2406615	2407115	0.11985	0.06336	1.01166	0.27308	other
chr1	2412078	2414808	20.46183	1.05632	34.02282	-0.2413	other
chr1	2425602	2427140	0.31961	0.05597	1.57448	0.2556	other
