chr	center	observed_log	atac_pred_log	true_residual	class	sequence5p_residual	multimodal5p_residual	residual_sequence_residual	residual_multimodal_residual	residual_atac_residual
chr6	84575469	0.6931472	4.3416805	-3.6485333	accessible_not_acetylated	-1.8149629	-0.28287077	-0.20061636	-0.47061443	-0.08142042
chr17	19127468	0.0	3.6480477	-3.6480477	accessible_not_acetylated	0.6780417	1.4899504	0.81046224	1.3375494	-0.06571722
chr12	15732117	1.3862944	5.024338	-3.6380434	accessible_not_acetylated	-2.8700304	-0.36683083	0.1956439	-0.0694561	-0.07152128
chr8	104754601	0.0	3.6379547	-3.6379547	accessible_not_acetylated	-0.72072387	-0.03318429	0.11650181	0.1554234	-0.018299818
chr18	34223551	0.6931472	4.3259306	-3.6327834	accessible_not_acetylated	-2.0581925	-0.963429	-0.8349509	-1.0784371	0.012756348
chr6	151702545	1.3862944	5.0132713	-3.626977	accessible_not_acetylated	-1.7677326	0.3282919	-0.028862953	-0.025460243	-0.072732925
chr10	29735453	0.6931472	4.319038	-3.6258907	accessible_not_acetylated	-0.91517925	-1.0334384	-0.56355906	-0.71863866	0.011272907
chr7	82443806	0.6931472	4.3189707	-3.6258235	accessible_not_acetylated	-1.7099319	-0.7154763	-1.5791745	-0.87046003	0.0025458336
chr7	1459487	0.6931472	4.3165164	-3.6233692	accessible_not_acetylated	-1.8638945	-1.7215667	-1.4579468	-1.2301159	-0.027047634
chr18	34222315	1.0986123	4.7191076	-3.6204953	accessible_not_acetylated	-2.3909388	-0.3448553	-0.40566444	-0.13600397	0.0071439743
chr7	44039161	0.6931472	4.305384	-3.612237	accessible_not_acetylated	-2.5392947	-0.45534945	-0.8657422	-0.5120168	-0.010154724
chr20	52972388	0.0	3.6024985	-3.6024985	accessible_not_acetylated	-2.605289	-0.62529373	-0.99422	-1.0708103	-0.0178442
chr22	46150372	1.0986123	4.6890364	-3.590424	accessible_not_acetylated	-1.9913905	-0.614913	-0.62725544	-0.6373081	-0.010125637
chr17	19047023	0.0	3.5890992	-3.5890992	accessible_not_acetylated	2.1628697	1.1677244	0.79993033	0.98719716	-0.06627488
chr10	43202547	0.0	3.586061	-3.586061	accessible_not_acetylated	-1.0377367	-1.7526093	-1.5387402	-1.1739852	-0.002081871
chr10	102403975	0.6931472	4.2761846	-3.5830374	accessible_not_acetylated	-2.5659833	-0.5476773	-0.4849615	-0.35695672	0.0030083656
chr6	97668842	0.0	3.5621467	-3.5621467	accessible_not_acetylated	-0.749634	-0.09130216	0.034000397	-0.47580266	-0.07111478
chr10	102404995	0.0	3.535747	-3.535747	accessible_not_acetylated	-1.7486777	0.2966373	-0.76349497	0.093928814	0.021771193
chr17	80036640	0.0	3.5271022	-3.5271022	accessible_not_acetylated	0.9631641	-1.5704459	-0.5644119	-0.9165101	-0.061761856
chr8	23102844	0.0	3.5269334	-3.5269334	accessible_not_acetylated	-1.5544071	-0.65039444	-0.3676002	-0.6491182	-0.020558357
chr7	39406558	0.0	3.5147886	-3.5147886	accessible_not_acetylated	-1.4981625	-0.47543955	-0.12029362	-0.44700074	-0.014595985
chr7	29289207	0.6931472	4.2056627	-3.5125155	accessible_not_acetylated	-0.8451693	0.44662905	-0.009870529	-0.06304169	-0.0074510574
chr6	122789270	0.6931472	4.1970634	-3.5039163	accessible_not_acetylated	-0.42259598	0.06451321	-0.3185408	-0.24227786	-0.04926586
chr6	122790026	1.0986123	4.5923877	-3.4937754	accessible_not_acetylated	-0.06253004	0.062267303	-0.2142353	-0.0127978325	-0.05192089
chr10	33334905	0.0	3.4799714	-3.4799714	accessible_not_acetylated	-1.5753516	-2.3537164	-1.8810127	-2.5464554	0.0032572746
chr7	102517777	0.6931472	4.1662307	-3.4730835	accessible_not_acetylated	-2.2694476	-1.2951427	-0.5358596	-1.109292	-0.036390305
chr12	68933209	0.6931472	4.164727	-3.47158	accessible_not_acetylated	-0.121843815	-1.4426825	-0.9820204	-1.1092534	-0.07412672
chr8	23223870	0.6931472	4.159927	-3.4667797	accessible_not_acetylated	-0.7611885	0.33026266	0.11466074	0.14975119	-0.025007725
chr6	3455278	0.0	3.463738	-3.463738	accessible_not_acetylated	-0.7966285	-0.7118082	-0.47661543	-0.5404725	-0.04996252
chr12	15778257	0.0	3.462851	-3.462851	accessible_not_acetylated	-1.5782027	0.07167816	0.2509358	-0.10301781	-0.052358627
chr18	4446107	0.0	3.452309	-3.452309	accessible_not_acetylated	-2.212098	-0.32511282	-0.25955987	-0.31122756	0.0077090263
chr12	29681587	0.0	3.4518943	-3.4518943	accessible_not_acetylated	-0.99518776	0.33079672	0.36489582	0.5423744	-0.055655003
chr7	143836686	1.3862944	4.8286705	-3.4423761	accessible_not_acetylated	-1.7779408	0.23980904	-0.9820533	0.06845331	-0.03293228
chr20	64285928	0.6931472	4.1274204	-3.4342732	accessible_not_acetylated	-3.27459	-1.8094394	-2.0492992	-1.2064235	-0.017840862
chr7	34718955	0.0	3.4331179	-3.4331179	accessible_not_acetylated	-0.35662293	0.13239908	0.39648604	0.1832943	-0.01145792
chr22	19756736	0.0	3.4267936	-3.4267936	accessible_not_acetylated	-0.060465574	-1.9979415	-0.92436075	-1.2504964	-0.009736776
chr21	34375464	0.0	3.4216485	-3.4216485	accessible_not_acetylated	1.2106748	-0.19081879	0.12528658	-0.6319864	-0.06781101
chr6	170290561	0.0	3.4132462	-3.4132462	accessible_not_acetylated	0.28475404	-0.95329905	-0.60710764	-1.7659425	-0.03614235
chr6	157273970	1.0986123	4.4857783	-3.387166	accessible_not_acetylated	-1.5542762	-0.3210063	-0.24586391	-0.4483943	-0.09167719
chr18	34493827	0.0	3.3815897	-3.3815897	accessible_not_acetylated	-1.5372177	-2.082723	-1.5299704	-1.6518779	0.009143114
chr10	18404642	0.6931472	4.071958	-3.378811	accessible_not_acetylated	-2.013277	-0.5570314	-0.14042902	-0.5376084	0.0066456795
chr18	4441370	0.0	3.376997	-3.376997	accessible_not_acetylated	-1.7236054	-0.26354527	-0.22039413	-0.1799686	0.008384228
chr6	40253490	0.0	3.373187	-3.373187	accessible_not_acetylated	-0.83700395	-0.002856493	-0.06068015	0.017216682	-0.046963215
chr12	29682227	0.6931472	4.0643396	-3.3711925	accessible_not_acetylated	-1.7349014	-0.3999834	0.11600876	-0.25800133	-0.06947112
chr10	24574299	0.0	3.3699036	-3.3699036	accessible_not_acetylated	-0.7356715	-0.1707139	-0.16778898	-0.5489929	0.002515316
chr12	99382178	0.0	3.3460572	-3.3460572	accessible_not_acetylated	-1.0499442	-0.45347404	0.053355455	-0.3764894	-0.06353974
chr6	53651759	0.6931472	4.035782	-3.3426347	accessible_not_acetylated	-2.0065322	-1.9654124	-0.63428783	-0.9023502	-0.06748581
chr17	41786764	0.6931472	4.03488	-3.341733	accessible_not_acetylated	-1.8761263	-1.2331328	-1.2280803	-1.0379965	-0.07622552
chr12	52006857	0.6931472	4.0318365	-3.3386893	accessible_not_acetylated	-0.71776915	-1.4297891	-1.2758954	-1.2897115	-0.06602049
chr8	67432887	0.0	3.3277164	-3.3277164	accessible_not_acetylated	-1.8644438	-0.8785293	-0.2096262	-0.62049794	-0.014390707
chr6	98834703	0.0	3.3071065	-3.3071065	accessible_not_acetylated	-1.8961365	-2.502028	-1.8932122	-1.4969845	-0.05859232
chr7	131556581	0.6931472	3.9936047	-3.3004575	accessible_not_acetylated	-2.605722	-2.055045	-1.0102549	-1.0464478	-0.002090931
chr10	33772822	0.6931472	3.9929974	-3.2998502	accessible_not_acetylated	-1.4817398	0.09246993	-0.0759182	-0.7021463	0.008616686
chr18	4277410	1.3862944	4.685227	-3.2989326	accessible_not_acetylated	-2.506426	-0.5193224	0.015375614	-0.21046066	-0.0054564476
chr6	91719628	0.6931472	3.9893274	-3.2961802	accessible_not_acetylated	-1.779475	-0.18413782	0.16637945	-0.26118875	-0.074478626
chr7	15581142	0.0	3.2923846	-3.2923846	accessible_not_acetylated	-0.24266338	0.15020037	0.27518845	0.057237387	-0.017876863
chr22	19757303	0.0	3.2900705	-3.2900705	accessible_not_acetylated	0.67844534	-0.96291184	-0.38466835	-0.63147306	-0.007708311
chr12	42484211	0.6931472	3.9801269	-3.2869797	accessible_not_acetylated	-0.24943995	-1.0650837	-0.87355566	-1.072345	-0.06235671
chr7	116524803	0.0	3.2832627	-3.2832627	accessible_not_acetylated	-1.6087949	-1.4932923	-1.2672441	-1.6643983	-0.012358189
chr12	49967426	0.6931472	3.967372	-3.2742248	accessible_not_acetylated	-2.1471708	-1.2638631	-1.0347786	-0.807518	-0.0768671
chr12	53985279	0.0	3.2703247	-3.2703247	accessible_not_acetylated	0.35730863	-2.539778	-1.1390548	-1.0774674	-0.06963539
chr7	82567622	0.6931472	3.9604	-3.267253	accessible_not_acetylated	-1.4486179	0.45205212	0.3702216	0.48427343	-0.0029461384
chr17	46579722	1.3862944	4.6513815	-3.2650871	accessible_not_acetylated	-0.6176257	-0.050009727	-0.24688578	-0.030260563	-0.08186817
chr7	39304928	0.6931472	3.9560075	-3.2628603	accessible_not_acetylated	-1.6985328	-0.63332105	0.104382515	-0.51362586	-0.014615297
chr17	49568282	0.6931472	3.9543626	-3.2612154	accessible_not_acetylated	-1.0440905	-1.1217711	0.06420159	0.2532413	-0.07268858
chr22	18906222	0.0	3.2611585	-3.2611585	accessible_not_acetylated	0.35745645	-0.74310446	-1.4765123	-1.9952335	-0.013839722
chr18	34977017	0.0	3.2538438	-3.2538438	accessible_not_acetylated	0.033418894	-1.6565708	-0.97833586	-1.9277204	0.0052883625
chr17	48025178	1.7917595	5.043503	-3.2517433	accessible_not_acetylated	0.21027565	-1.2148724	-0.731843	-0.5194907	-0.077923775
chr18	48540729	1.0986123	4.349203	-3.2505908	accessible_not_acetylated	-1.5124485	-2.4520326	-0.9023676	-1.8749123	0.015486717
chr10	18501578	0.6931472	3.9424655	-3.2493184	accessible_not_acetylated	-0.5819237	0.005822897	0.5230305	0.15159631	-0.0020873547
chr7	114085819	0.0	3.2489047	-3.2489047	accessible_not_acetylated	-0.22703433	-1.2325747	-0.72819376	-1.3617781	-0.0041003227
chr8	23120400	0.0	3.244389	-3.244389	accessible_not_acetylated	0.076750994	0.3834865	0.2709999	0.7220659	-0.015688658
chr20	6122334	1.0986123	4.339965	-3.2413526	accessible_not_acetylated	-1.5093637	-0.6572919	-0.12479782	-0.21551085	-0.02335453
chr12	13632058	0.6931472	3.9293625	-3.2362154	accessible_not_acetylated	-1.134788	-0.25484943	0.041456938	0.032182455	-0.06755304
chr7	95867527	0.6931472	3.9290218	-3.2358747	accessible_not_acetylated	-1.8270273	-0.0898335	0.19966412	-0.18697786	-0.015133619
chr7	95718990	0.0	3.2343497	-3.2343497	accessible_not_acetylated	-0.82175875	0.09604883	0.35080695	0.2732606	-0.015637398
chr20	6767934	0.6931472	3.9260683	-3.2329211	accessible_not_acetylated	-3.3955498	-1.7553492	-1.6110725	-1.3025484	-0.034053564
chr7	2522315	1.0986123	4.3278055	-3.2291932	accessible_not_acetylated	-1.5176737	-0.010648727	-0.6235485	-0.3670993	-0.0014839172
chr7	90212463	1.0986123	4.3260484	-3.227436	accessible_not_acetylated	-3.081582	-0.6976967	-0.34796333	-0.39799118	-0.00034093857
chr7	122886638	1.3862944	4.60082	-3.2145257	accessible_not_acetylated	-1.9488235	-0.53655005	-1.3078923	-0.8605547	-0.0036797523
chr7	87628348	1.3862944	4.600225	-3.2139306	accessible_not_acetylated	-1.352927	-1.1491175	-0.80015707	-1.0471349	-0.00091171265
chr12	6200155	1.0986123	4.3004475	-3.2018352	accessible_not_acetylated	-1.4102461	-0.5127094	-0.60912657	-0.56284714	-0.07605314
chr8	119417008	0.6931472	3.8910313	-3.197884	accessible_not_acetylated	-2.1558883	-1.2148163	-0.7776332	-0.9410713	-0.025247097
chr7	138979371	0.0	3.1902566	-3.1902566	accessible_not_acetylated	-0.6419139	-0.089942455	-0.06284022	-0.20321679	-0.018528938
chr10	96511443	0.0	3.1900518	-3.1900518	accessible_not_acetylated	-1.2031673	-0.36540508	-0.085571766	-0.42934513	-0.0018115044
chr6	31352175	1.0986123	4.2792983	-3.180686	accessible_not_acetylated	-2.088014	0.7740116	-0.069001675	0.29556894	-0.046461582
chr6	32582903	0.0	3.17915	-3.17915	accessible_not_acetylated	-1.9152632	-0.45973182	-0.14233637	-0.24319458	-0.029606342
chr6	50278017	0.0	3.1753411	-3.1753411	accessible_not_acetylated	0.55505824	0.64819074	0.15590906	-0.053029537	-0.058857203
chr7	54393043	0.0	3.1729612	-3.1729612	accessible_not_acetylated	-1.0876048	-0.59841776	-0.048440933	0.17373466	-0.012611151
chr6	62286265	0.6931472	3.8609061	-3.167759	accessible_not_acetylated	-0.64081955	-0.016897678	-0.46788788	-0.43751717	-0.08498812
chr17	66302570	0.6931472	3.8559084	-3.1627612	accessible_not_acetylated	-2.5695214	-0.4450457	-0.94240093	-0.66597867	-0.07735062
chr8	23162715	1.9459102	5.105294	-3.159384	accessible_not_acetylated	-1.7667906	-0.3763237	0.6855874	0.51986647	-0.04341793
chr10	104893114	0.6931472	3.845802	-3.152655	accessible_not_acetylated	-1.3658762	-0.11806202	0.04114175	-0.3529935	0.0031955242
chr12	15789171	2.0794415	5.22731	-3.1478686	accessible_not_acetylated	-3.0741901	-0.35068798	-0.8884406	-0.3022499	-0.046848297
chr12	15772241	2.0794415	5.224473	-3.1450315	accessible_not_acetylated	-2.4280622	-0.5273514	0.1682725	0.2607832	-0.07032013
chr17	19063719	0.6931472	3.8297915	-3.1366444	accessible_not_acetylated	0.9826846	0.06328416	0.11698723	0.0010492802	-0.045634985
chr21	31559245	2.0794415	5.210584	-3.1311426	accessible_not_acetylated	-1.7925313	-0.5497074	-1.4906855	-0.41548586	-0.0807066
chr12	48977912	1.0986123	4.2279744	-3.129362	accessible_not_acetylated	-0.9403386	-1.2495208	-1.2963967	-0.8784704	-0.07426834
chr12	81956723	1.3862944	4.5139923	-3.127698	accessible_not_acetylated	-2.172246	-0.6382592	-0.15116549	-0.5203004	-0.066533566
chr6	32087776	0.0	3.1224504	-3.1224504	accessible_not_acetylated	-1.2834915	-2.0923002	-0.9579141	-1.6499819	-0.04800749
chr22	37818869	0.0	3.119153	-3.119153	accessible_not_acetylated	-0.40907264	-1.8715073	-0.89834404	-1.9047456	-0.009281158
chr12	106113210	0.6931472	3.811456	-3.1183088	accessible_not_acetylated	-1.798214	0.12579417	0.19801164	0.42600703	-0.071395636
chr20	46308498	0.0	3.1163225	-3.1163225	accessible_not_acetylated	-0.9267347	-2.249346	-0.882637	-1.7615153	-0.002001524
chr7	95772544	0.0	3.1152263	-3.1152263	accessible_not_acetylated	0.7129059	-1.2561297	-0.5918369	-1.6296378	-0.011321306
chr7	29289888	1.0986123	4.206059	-3.1074467	accessible_not_acetylated	-1.1896424	0.25384283	0.08660126	0.14230347	-0.015169144
chr7	73213199	1.609438	4.716761	-3.1073232	accessible_not_acetylated	-2.1810396	-0.16377926	-0.44814062	-0.34891748	-0.008682251
chr6	130366280	0.6931472	3.7983766	-3.1052294	accessible_not_acetylated	-0.65875435	-1.3046818	-1.2035294	-1.5142426	-0.03948307
chr6	150599887	1.9459102	5.050019	-3.1041086	accessible_not_acetylated	-0.8031955	-1.1067562	-0.95993996	-1.0558491	-0.09273529
chr20	6123420	1.0986123	4.202257	-3.1036448	accessible_not_acetylated	-1.6676242	-0.7960441	-0.6849365	-0.5331178	-0.020226955
chr7	82336068	0.0	3.101379	-3.101379	accessible_not_acetylated	-1.8958232	-0.1590333	-0.27238703	-0.3458562	-0.01961255
chr17	46361768	1.3862944	4.4875555	-3.1012611	accessible_not_acetylated	-0.5486076	-0.13236666	-0.34511566	-0.19027424	-0.08098364
chr10	97320272	0.6931472	3.7909207	-3.0977736	accessible_not_acetylated	-0.8845892	-1.919339	-0.9316716	-1.6397941	0.0140116215
chr8	119416311	0.6931472	3.7899106	-3.0967634	accessible_not_acetylated	-2.1397524	-1.2820132	-1.229775	-1.4420626	-0.024976492
chr8	106924288	0.0	3.0965312	-3.0965312	accessible_not_acetylated	-0.5338862	-0.121100664	0.060833693	-0.17291331	-0.017393827
chr7	90211620	1.609438	4.7004557	-3.0910177	accessible_not_acetylated	-2.5156171	-0.48843098	-0.47469854	-0.47227526	-0.00086545944
chr18	79395013	0.6931472	3.7772894	-3.0841422	accessible_not_acetylated	-0.9401276	-1.3002262	-0.6771436	-0.16449594	0.007687092
chr10	117471524	0.0	3.0799866	-3.0799866	accessible_not_acetylated	-0.39147425	-0.35841966	-0.08862877	-0.31852102	-0.0014657974
chr12	29682755	0.6931472	3.7728856	-3.0797384	accessible_not_acetylated	-1.6283057	-0.6074021	0.038663626	-0.4996798	-0.060114145
chr22	21417403	0.0	3.0772753	-3.0772753	accessible_not_acetylated	-1.5792646	-0.8139937	-1.5261304	-0.871474	-0.04162574
chr10	8054667	1.3862944	4.4576206	-3.0713263	accessible_not_acetylated	-1.6883152	-1.2255108	-1.4624572	-1.3813138	0.014108658
chr6	138455189	1.7917595	4.86237	-3.0706105	accessible_not_acetylated	-3.188179	-0.776978	-0.39176416	-0.19309044	-0.0812273
chr17	34382762	1.0986123	4.162095	-3.0634828	accessible_not_acetylated	-1.9965117	-0.58116746	-0.102775574	0.26534414	-0.06940222
chr8	108787479	0.0	3.0556388	-3.0556388	accessible_not_acetylated	-1.3815408	-1.4555655	-1.3457692	-1.4442548	-0.017748594
chr17	81537700	0.0	3.05407	-3.05407	accessible_not_acetylated	-1.3187838	-1.938719	-0.6949642	-1.2422087	-0.06370282
chr6	170293016	0.0	3.0519624	-3.0519624	accessible_not_acetylated	-0.095660925	-1.276923	-0.024154186	-0.24562001	-0.026585579
chr6	157274932	1.7917595	4.836342	-3.0445824	accessible_not_acetylated	-1.396697	-0.14109707	-0.728889	-0.29371452	-0.07280302
chr6	54290713	0.0	3.043445	-3.043445	accessible_not_acetylated	-0.51050353	-0.12052274	0.28839636	0.23511434	-0.03950429
chr12	15780870	1.0986123	4.141909	-3.0432968	accessible_not_acetylated	-1.8669143	-0.4736519	0.030171871	0.14751339	-0.074952126
chr7	95432933	0.0	3.0417137	-3.0417137	accessible_not_acetylated	-0.8428576	-0.02371502	0.0036885738	0.13707066	-0.0086455345
chr17	33459760	1.609438	4.645625	-3.0361872	accessible_not_acetylated	-0.99870396	0.19980907	0.3055086	0.048639297	-0.05237961
chr18	34159440	0.6931472	3.7292478	-3.0361006	accessible_not_acetylated	-1.3609335	-1.2055295	-0.48251557	-0.6039655	0.011755705
chr7	88346511	0.0	3.0352259	-3.0352259	accessible_not_acetylated	-0.39117384	0.302835	0.18015003	-0.16906285	-0.013352871
chr17	46590668	0.0	3.0342832	-3.0342832	accessible_not_acetylated	-0.9329097	-1.0864059	-0.51779795	-0.90414953	-0.054751396
chr6	32086840	0.0	3.030408	-3.030408	accessible_not_acetylated	-0.5394609	-0.7659886	-0.28353238	-0.6727991	-0.036388874
chr17	44920214	1.3862944	4.4125853	-3.026291	accessible_not_acetylated	-1.6544971	-0.259192	-0.09952736	-0.09753418	-0.073871136
chr12	74488366	0.0	3.024197	-3.024197	accessible_not_acetylated	-0.5136156	0.2550354	0.25160885	0.34424615	-0.051729918
chr7	13991038	1.3862944	4.4087834	-3.022489	accessible_not_acetylated	0.54790497	-0.31425428	0.109725475	0.03218746	-0.008277893
chr10	18402999	1.7917595	4.813407	-3.0216475	accessible_not_acetylated	-2.8497052	-0.74692774	-0.15019512	-0.24319792	0.0038781166
chr6	84546641	1.609438	4.6310062	-3.0215683	accessible_not_acetylated	-1.9871252	-0.17843485	-0.15916872	-0.28760672	-0.059825897
chr22	23070276	0.6931472	3.709395	-3.0162477	accessible_not_acetylated	-1.2786815	-1.2117445	-0.9731178	-1.0069005	-0.02074194
chr6	54291321	0.6931472	3.7085757	-3.0154285	accessible_not_acetylated	-1.472044	-0.4596424	-0.19735432	-0.13008451	-0.05391431
chr10	34291626	0.0	3.002679	-3.002679	accessible_not_acetylated	-1.3391712	-0.4520049	0.008619547	-0.45902872	-0.012417078
chr6	22888220	0.6931472	3.6955166	-3.0023694	accessible_not_acetylated	-1.2926798	-0.4852941	0.08204818	-0.28057647	-0.04904294
chr17	56593698	0.0	2.9956	-2.9956	accessible_not_acetylated	-1.1886673	-2.3671298	-1.3220758	-2.2696283	-0.05120468
chr6	17405612	0.0	2.9941168	-2.9941168	accessible_not_acetylated	0.3509698	0.3437953	0.164217	0.37712097	-0.03783989
chr10	29646721	0.0	2.9934964	-2.9934964	accessible_not_acetylated	-0.48328495	0.0056188107	-0.19011688	-0.13706183	0.003222704
chr10	28677434	0.6931472	3.6857386	-2.9925914	accessible_not_acetylated	0.07654977	-2.0813768	-0.6320915	-1.71379	-0.008503199
chr17	81095073	0.0	2.9898021	-2.9898021	accessible_not_acetylated	-0.40487742	-1.1697289	-0.6751292	-1.0849826	-0.061033487
chr7	122629444	1.0986123	4.079607	-2.9809947	accessible_not_acetylated	-1.9516289	-0.64238167	-0.07704449	-0.51552534	-0.007376671
chr20	6769682	1.3862944	4.3655105	-2.979216	accessible_not_acetylated	-1.7157316	0.07971048	-0.24042416	-0.40232062	-0.03379965
chr10	117479525	0.6931472	3.66945	-2.9763029	accessible_not_acetylated	-1.3476999	-1.147718	-0.018822908	-0.36783242	-0.006098509
chr12	113153195	0.6931472	3.6674662	-2.974319	accessible_not_acetylated	-0.09078193	-0.92400146	-0.47599125	-0.58947086	-0.07477927
chr6	157385712	1.609438	4.5799217	-2.9704838	accessible_not_acetylated	-2.1796162	-0.48744297	0.07481146	-0.0662632	-0.06281662
chr17	81483400	0.6931472	3.6589346	-2.9657874	accessible_not_acetylated	-1.4424615	-1.1008933	-0.4820814	-0.9812288	-0.058674574
chr17	81959867	0.0	2.9599748	-2.9599748	accessible_not_acetylated	1.4525161	-1.1345085	-1.2213205	-1.6099803	-0.07235551
chr17	70169479	1.3862944	4.343671	-2.9573765	accessible_not_acetylated	-1.4514506	-0.67211366	-0.50988245	-0.7950251	-0.063295364
chr22	50271915	0.6931472	3.6502604	-2.9571133	accessible_not_acetylated	-0.9926286	-1.5393038	-1.0639186	-1.631463	-0.009078026
chr17	44308545	0.0	2.955148	-2.955148	accessible_not_acetylated	-1.0850282	-1.7811242	-1.0961697	-1.3489314	-0.06349778
chr18	23662885	0.0	2.951461	-2.951461	accessible_not_acetylated	-0.6223998	-1.4430445	-0.5027821	-0.873194	0.0011565685
chr7	29278025	0.6931472	3.6439161	-2.950769	accessible_not_acetylated	-1.0509603	-0.39131927	-0.2067442	-0.06767464	-0.005781889
chr22	29030909	0.0	2.9505124	-2.9505124	accessible_not_acetylated	-0.41193867	-1.023557	-0.7793274	-0.8491411	-0.005227089
chr7	519156	1.0986123	4.0464144	-2.947802	accessible_not_acetylated	-2.3366387	-1.8068178	-1.8090692	-2.478964	-0.0046448708
chr12	57460150	1.9459102	4.8818207	-2.9359105	accessible_not_acetylated	-3.0239782	-1.5366616	-0.7448158	-0.5992012	-0.06790733
chr8	117443532	0.0	2.928768	-2.928768	accessible_not_acetylated	0.20879984	0.002373457	0.013957977	0.15927601	-0.018187046
chr8	113437997	0.0	2.9284933	-2.9284933	accessible_not_acetylated	-0.603714	-0.14251852	-0.44650078	-0.3344357	-0.021430492
chr12	70366842	1.3862944	4.3112454	-2.924951	accessible_not_acetylated	-2.618448	-1.2853501	-1.3764701	-1.7436237	-0.067334175
chr8	119969792	0.6931472	3.6160696	-2.9229224	accessible_not_acetylated	-1.3984406	-0.93250847	-0.3049469	-0.60994554	-0.023272038
chr17	50560086	0.6931472	3.6155524	-2.9224052	accessible_not_acetylated	0.3022554	-1.0568731	-0.55437183	-0.84350705	-0.053325653
chr22	29071823	1.0986123	4.018599	-2.9199867	accessible_not_acetylated	-0.48954225	-0.8827412	-0.85589933	-1.1085858	-0.0053095818
chr12	49297588	0.6931472	3.6131036	-2.9199564	accessible_not_acetylated	-1.8779645	-2.622085	-1.1037731	-1.8149893	-0.06122732
chr6	6008310	1.9459102	4.860312	-2.9144018	accessible_not_acetylated	-0.5936737	-0.75725174	-0.58884335	-0.32154894	-0.06465769
chr21	43107592	0.0	2.913958	-2.913958	accessible_not_acetylated	1.3450766	0.36846566	-0.17183685	-0.97910595	-0.13447404
