chr	center	observed_log	atac_pred_log	true_residual	class	sequence5p_residual	multimodal5p_residual	residual5p_residual
chr21	8988855	0.6931472	4.299585	-3.6064377	accessible_not_acetylated	0.017872334	1.0103974	0.3518877
chr21	6467633	0.6931472	4.2947197	-3.6015725	accessible_not_acetylated	-0.68018055	-0.73611045	-0.995805
chr7	102490732	0.6931472	4.270091	-3.5769439	accessible_not_acetylated	-1.6799254	0.06903458	-0.41355133
chr21	45643374	1.0986123	4.6487017	-3.5500894	accessible_not_acetylated	-0.25258636	-2.7060213	-1.725121
chr7	73154911	1.609438	5.153964	-3.544526	accessible_not_acetylated	-0.16178179	-0.43231773	-0.41002846
chr8	37695623	1.609438	5.129504	-3.5200663	accessible_not_acetylated	-2.8043752	-1.6964812	-1.4279056
chr7	29680800	1.0986123	4.609047	-3.5104346	accessible_not_acetylated	-2.1480017	-0.4319725	0.068579674
chr22	21514503	1.0986123	4.597811	-3.499199	accessible_not_acetylated	-1.5039577	0.85853815	0.33350134
chr18	26197296	0.0	3.4955425	-3.4955425	accessible_not_acetylated	-0.9340286	-0.4913156	-0.30493927
chr21	8994141	2.7080503	6.1954765	-3.4874263	accessible_not_acetylated	-4.493844	-0.7893872	0.10686493
chr17	63476966	0.6931472	4.179698	-3.4865508	accessible_not_acetylated	-2.5885055	-1.8677936	-1.5009952
chr22	21424533	0.6931472	4.1770363	-3.483889	accessible_not_acetylated	-1.6178067	0.5644264	-0.2838819
chr18	67516819	1.3862944	4.8316765	-3.445382	accessible_not_acetylated	-1.1301296	-1.8442221	-0.6734319
chr10	116742868	1.0986123	4.5410542	-3.442442	accessible_not_acetylated	-2.1206217	-1.7657573	-1.2557125
chr22	18970685	1.0986123	4.530067	-3.4314547	accessible_not_acetylated	-2.1770728	-0.8599186	-1.1060648
chr12	70366240	1.3862944	4.8113976	-3.4251032	accessible_not_acetylated	-2.343463	-2.0780978	-1.2362437
chr12	125186310	0.0	3.4094715	-3.4094715	accessible_not_acetylated	-2.271347	-1.325028	-1.205538
chr7	76514994	0.0	3.4036062	-3.4036062	accessible_not_acetylated	-1.2816148	-0.9915402	-0.71053195
chr10	75409105	1.609438	5.0048003	-3.3953624	accessible_not_acetylated	-2.1013238	-1.2849088	-0.87765837
chr6	127516296	0.0	3.3890364	-3.3890364	accessible_not_acetylated	-0.9610317	-1.9466608	-1.425757
chr17	50560058	1.3862944	4.77094	-3.3846455	accessible_not_acetylated	-0.82832766	-0.77828026	-0.4394288
chr20	10674001	1.3862944	4.7704945	-3.3842	accessible_not_acetylated	-1.0912747	-1.7018235	-0.5912814
chr17	46260077	0.0	3.3607712	-3.3607712	accessible_not_acetylated	-1.6978027	-1.1158051	-0.8560426
chr6	31272155	1.0986123	4.438139	-3.3395267	accessible_not_acetylated	-0.7043624	-1.0247586	-0.3036685
chr18	12227575	0.0	3.3358312	-3.3358312	accessible_not_acetylated	-0.85563755	0.34573293	0.06647992
chr10	133351835	0.6931472	4.009664	-3.3165169	accessible_not_acetylated	-2.4767299	-1.8705883	-0.95788
chr18	61894444	0.0	3.306856	-3.306856	accessible_not_acetylated	-0.8780441	-1.7193838	-1.1525953
chr17	44308567	0.6931472	3.9688964	-3.2757492	accessible_not_acetylated	-1.8865597	-1.3807821	-1.0896025
chr17	18563558	0.0	3.2507372	-3.2507372	accessible_not_acetylated	-0.90561867	-0.708128	-0.31997776
chr8	47188919	0.0	3.2363505	-3.2363505	accessible_not_acetylated	-0.88812876	-1.5427551	-1.1301799
chr22	18527801	0.6931472	3.9184508	-3.2253036	accessible_not_acetylated	-1.7181995	-0.102039814	-0.48071575
chr6	166628074	1.609438	4.834222	-3.224784	accessible_not_acetylated	-0.77146053	-1.2581599	-0.60090494
chr6	11538226	1.3862944	4.603312	-3.2170177	accessible_not_acetylated	-1.6777327	-1.7109599	-1.4494715
chr21	45973940	1.3862944	4.585959	-3.1996646	accessible_not_acetylated	-1.2901692	-1.0345273	-0.9266772
chr10	46598002	0.0	3.1445131	-3.1445131	accessible_not_acetylated	-0.59299135	-0.5634353	-0.38157678
chr21	8993207	2.7725887	5.9061313	-3.1335425	accessible_not_acetylated	-3.581721	0.014719009	-0.009022713
chr22	20270385	1.609438	4.727311	-3.1178732	accessible_not_acetylated	-2.056572	-0.9701462	-0.6766982
chr22	18529207	1.9459102	5.054198	-3.1082876	accessible_not_acetylated	-1.9450729	-0.16506672	-1.4937654
chr7	74964486	1.9459102	5.045675	-3.0997646	accessible_not_acetylated	-0.39273357	-0.15459967	-0.02147007
chr6	3752026	0.0	3.0842357	-3.0842357	accessible_not_acetylated	1.9192305	-1.7299409	-0.8060219
chr12	64780641	0.0	3.0828853	-3.0828853	accessible_not_acetylated	-1.3586543	-1.491584	-0.6655643
chr7	144355395	0.0	3.0680885	-3.0680885	accessible_not_acetylated	1.2937493	-0.4986291	0.08328509
chr7	102671756	1.7917595	4.853149	-3.0613894	accessible_not_acetylated	-1.1280305	0.7177782	0.6787796
chr7	5898689	2.3978953	5.4503875	-3.0524921	accessible_not_acetylated	-0.54863024	-0.26452494	0.21201944
chr12	66968	1.3862944	4.43629	-3.0499954	accessible_not_acetylated	-2.930396	-1.1856794	-0.8601756
chr7	158587786	0.6931472	3.7390857	-3.0459385	accessible_not_acetylated	-1.2322037	-2.0062976	-1.0102484
chr22	33921174	0.0	3.0219514	-3.0219514	accessible_not_acetylated	0.54328156	-1.0518532	-0.7789283
chr22	17121058	0.0	3.0203507	-3.0203507	accessible_not_acetylated	-1.8828363	-1.9279459	-1.6094646
chr10	12349371	1.0986123	4.1172986	-3.0186863	accessible_not_acetylated	-1.9294169	-1.8418689	-1.0012012
chr12	62435858	1.609438	4.622783	-3.0133452	accessible_not_acetylated	-2.7401094	-1.611794	-0.8818798
chr10	87301626	0.6931472	3.7061853	-3.0130382	accessible_not_acetylated	-0.7401993	-0.14872408	-0.09620595
chr7	75991145	1.609438	4.6165624	-3.0071244	accessible_not_acetylated	-2.511576	-1.1670113	-0.66122127
chr8	544953	0.0	2.9992945	-2.9992945	accessible_not_acetylated	1.4829547	-1.0556278	-1.2298195
chr17	7717512	1.609438	4.602421	-2.9929829	accessible_not_acetylated	-1.9249914	-1.4514523	-1.1172924
chr7	73191059	1.609438	4.597641	-2.988203	accessible_not_acetylated	-0.7336049	1.0546579	0.41935253
chr7	73157646	1.9459102	4.9326396	-2.9867294	accessible_not_acetylated	-1.8711691	0.050691128	0.057744026
chr18	24014536	1.0986123	4.0836744	-2.9850621	accessible_not_acetylated	-0.26124	-2.0476618	-0.47383213
chr7	74773961	0.0	2.9849648	-2.9849648	accessible_not_acetylated	0.16403413	-0.10818052	-0.0075936317
chr8	11466999	1.3862944	4.366286	-2.9799914	accessible_not_acetylated	-0.9687996	-0.68864536	-0.7679138
chr21	43044710	0.0	2.9792478	-2.9792478	accessible_not_acetylated	-0.7044854	-0.6344969	-0.29122782
chr7	122887437	0.6931472	3.6547995	-2.9616523	accessible_not_acetylated	-0.4856875	-0.36949444	-0.12336159
chr7	143837431	1.3862944	4.3476005	-2.961306	accessible_not_acetylated	-0.81115174	0.19044209	-0.5781114
chr8	94948813	1.609438	4.568979	-2.9595408	accessible_not_acetylated	-0.3606143	-1.4618807	-0.8514209
chr7	123612225	0.0	2.95747	-2.95747	accessible_not_acetylated	0.071474075	0.43293905	0.3762076
chr17	79991794	0.0	2.9563375	-2.9563375	accessible_not_acetylated	-0.78451586	-0.56879854	-1.0107181
chr8	141445086	0.0	2.9473991	-2.9473991	accessible_not_acetylated	-0.9807571	-0.8801451	-0.75359607
chr17	46361810	1.3862944	4.3318133	-2.945519	accessible_not_acetylated	-0.004111767	0.28334856	-0.1729703
chr7	102642791	0.0	2.9428399	-2.9428399	accessible_not_acetylated	-0.52252674	-0.9834094	-0.7045772
chr17	68049219	0.6931472	3.6357107	-2.9425635	accessible_not_acetylated	-1.6515805	0.112782	0.020140648
chr20	21506325	0.6931472	3.6263516	-2.9332044	accessible_not_acetylated	-0.7397599	-1.5368547	-0.92411995
chr18	67516136	1.3862944	4.313281	-2.9269867	accessible_not_acetylated	-0.8958354	-1.4517086	-0.58783984
chr17	19063720	0.6931472	3.6194534	-2.9263062	accessible_not_acetylated	0.89667606	-0.3740759	0.033751965
chr17	81741432	1.609438	4.5317154	-2.9222775	accessible_not_acetylated	-3.3746307	-1.547914	-1.2438626
chr10	75402078	1.3862944	4.306264	-2.9199696	accessible_not_acetylated	-2.011147	-1.0300333	-0.87582874
chr12	49539066	0.6931472	3.606721	-2.9135737	accessible_not_acetylated	-2.5721288	-1.3839865	-1.3785896
chr7	29680159	1.609438	4.519925	-2.9104872	accessible_not_acetylated	-1.9897931	0.011518478	0.18324041
chr22	21363107	1.0986123	4.0047007	-2.9060884	accessible_not_acetylated	-1.3346345	-0.68793964	0.13707066
chr8	119863184	0.0	2.905938	-2.905938	accessible_not_acetylated	-0.2791686	-0.8532789	-0.36698318
chr18	32470696	1.609438	4.5141854	-2.9047475	accessible_not_acetylated	-2.1139643	-1.175036	-0.9680748
chr6	43617898	1.7917595	4.6892457	-2.8974862	accessible_not_acetylated	-2.264389	-0.5423684	-0.29916573
chr8	67952251	0.0	2.8957133	-2.8957133	accessible_not_acetylated	-1.0548737	-1.6474712	-0.8346276
chr17	8885354	0.6931472	3.5831184	-2.8899713	accessible_not_acetylated	-1.4946179	-1.5313592	-2.4776998
chr8	144397053	1.609438	4.496849	-2.887411	accessible_not_acetylated	-1.9586892	-1.670604	-1.142453
chr17	45405477	1.3862944	4.2662935	-2.8799992	accessible_not_acetylated	-1.7765691	-1.8745828	-1.2878094
chr8	142475726	1.0986123	3.9749203	-2.876308	accessible_not_acetylated	-0.42000365	-0.91328955	-1.1865687
chr18	48410411	1.0986123	3.9738457	-2.8752334	accessible_not_acetylated	-1.1622739	-1.7471039	-0.9064338
chr12	106247750	0.0	2.8739448	-2.8739448	accessible_not_acetylated	-0.99578464	-2.1173606	-1.2690867
chr7	5451008	0.6931472	3.5666327	-2.8734856	accessible_not_acetylated	-1.0364332	-1.0249934	-0.66971684
chr12	48183491	1.0986123	3.9677773	-2.869165	accessible_not_acetylated	-1.2723987	-0.12690449	-0.39847064
chr6	47309174	1.9459102	4.8121753	-2.866265	accessible_not_acetylated	-2.4161046	-1.1646502	-1.2805872
chr20	62220145	0.0	2.8581343	-2.8581343	accessible_not_acetylated	-1.0658691	-1.2338154	-1.3415716
chr10	96514212	1.609438	4.4642735	-2.8548355	accessible_not_acetylated	-1.8736229	-1.490202	-0.88683724
chr17	35764247	1.9459102	4.7995405	-2.8536303	accessible_not_acetylated	-3.393898	-1.3833404	-1.314817
chr18	36297101	1.0986123	3.9522367	-2.8536243	accessible_not_acetylated	-0.95876694	-0.27364755	-0.9076903
chr20	2692891	0.0	2.8532073	-2.8532073	accessible_not_acetylated	-1.0369457	-1.8032924	-0.9441757
chr22	18573814	2.0794415	4.931902	-2.8524604	accessible_not_acetylated	-2.2511303	0.55652046	-0.21751261
chr6	150072371	0.0	2.8454173	-2.8454173	accessible_not_acetylated	0.552649	0.32505202	-0.06971717
chr10	117241870	0.0	2.8379343	-2.8379343	accessible_not_acetylated	-0.69848156	-1.1122091	-0.9939592
chr7	1666012	0.6931472	3.5297148	-2.8365676	accessible_not_acetylated	-2.1418743	-1.7134882	-1.1560452
chr17	19108711	0.0	2.8248365	-2.8248365	accessible_not_acetylated	-0.097821474	0.5440538	0.17955208
chr10	119029708	2.0794415	4.9039316	-2.82449	accessible_not_acetylated	-2.2812827	-1.099448	-0.899065
chr18	47025128	0.6931472	3.5062146	-2.8130674	accessible_not_acetylated	-1.0808568	-0.29559374	-0.13763857
chr21	8991504	1.9459102	4.7423286	-2.7964184	accessible_not_acetylated	-1.9185319	1.1422439	0.12598515
chr7	24757772	0.6931472	3.4884377	-2.7952905	accessible_not_acetylated	-0.6532779	-1.5654116	-0.9281752
chr7	5302803	0.6931472	3.485561	-2.7924137	accessible_not_acetylated	-1.4885269	-1.3966277	-0.6040447
chr8	80578510	0.0	2.7920365	-2.7920365	accessible_not_acetylated	-0.4633634	-1.8548754	-1.2493236
chr20	37903052	0.6931472	3.484266	-2.7911189	accessible_not_acetylated	-0.2602167	-1.7186074	-1.0783498
chr17	36935081	0.0	2.790872	-2.790872	accessible_not_acetylated	1.120167	-1.0353341	-0.4071896
chr20	63179238	0.0	2.7886724	-2.7886724	accessible_not_acetylated	0.10307145	-1.6762056	-0.9103519
chr21	44241004	0.0	2.787731	-2.787731	accessible_not_acetylated	0.55980515	-2.1666694	-1.5055399
chr7	76438061	0.0	2.7767591	-2.7767591	accessible_not_acetylated	0.118181705	-0.09177542	-0.34122562
chr17	8121749	2.4849067	5.254184	-2.769277	accessible_not_acetylated	-3.8162215	-1.9307094	-1.3611631
chr8	143953435	3.218876	5.9880652	-2.7691894	accessible_not_acetylated	-3.5631983	-1.888032	-1.6068969
chr12	26833252	2.3978953	5.166335	-2.7684398	accessible_not_acetylated	-1.9161503	-0.82746077	-0.7404089
chr22	50600486	0.0	2.765154	-2.765154	accessible_not_acetylated	-0.67967916	-1.8287886	-0.88473856
chr17	46979264	0.0	2.7525966	-2.7525966	accessible_not_acetylated	-0.7030263	-1.6355836	-1.2881539
chr17	46851389	0.6931472	3.4436803	-2.750533	accessible_not_acetylated	-0.81811094	-2.034772	-1.0521665
chr10	132389223	0.0	2.7500172	-2.7500172	accessible_not_acetylated	-0.47846365	-0.7335191	-0.23434663
chr12	44876274	1.3862944	4.135678	-2.7493834	accessible_not_acetylated	-1.6831052	-1.5136628	-1.0608697
chr6	167834285	2.9957323	5.7381043	-2.742372	accessible_not_acetylated	-3.5179002	-1.3888679	-0.21021271
chr12	122865839	1.0986123	3.8402576	-2.7416453	accessible_not_acetylated	-0.5407417	-0.84029245	-0.6381326
chr6	170423290	0.0	2.7408574	-2.7408574	accessible_not_acetylated	0.52784085	-0.7545924	-0.3568306
chr7	102289962	0.0	2.7342257	-2.7342257	accessible_not_acetylated	-0.3266418	-0.50105095	-0.55846834
chr17	81961285	1.3862944	4.119906	-2.7336116	accessible_not_acetylated	-2.3223405	-1.7802348	-1.1421242
chr12	49975382	0.0	2.7283483	-2.7283483	accessible_not_acetylated	-0.24409461	-0.6732731	-0.5128827
chr20	63135012	0.6931472	3.4212177	-2.7280705	accessible_not_acetylated	-1.6377134	-2.6086836	-2.8946984
chr12	49342652	2.3978953	5.1207013	-2.722806	accessible_not_acetylated	-2.702723	-1.1798201	-1.118134
chr22	21468455	3.0445225	5.766761	-2.7222383	accessible_not_acetylated	-3.2233002	-0.7576575	-1.6360607
chr7	1670146	0.0	2.7202222	-2.7202222	accessible_not_acetylated	0.81442666	-1.6075995	-0.96789277
chr6	41734306	1.9459102	4.663719	-2.717809	accessible_not_acetylated	-1.9363973	-1.1361468	-1.294107
chr22	19037128	1.7917595	4.508298	-2.7165384	accessible_not_acetylated	-1.989609	0.10618067	-0.3663807
chr12	42483824	1.9459102	4.6621513	-2.7162411	accessible_not_acetylated	-2.4765153	-0.962399	-1.1012378
chr10	75408359	1.0986123	3.8137143	-2.715102	accessible_not_acetylated	-0.5761483	-0.949152	-0.7627971
chr18	46964526	0.0	2.7114718	-2.7114718	accessible_not_acetylated	-0.8777089	-1.5341724	-0.62901616
chr17	74972780	1.0986123	3.809133	-2.7105207	accessible_not_acetylated	-0.16146493	-1.3294334	-0.65375066
chr7	116525535	2.5649493	5.266405	-2.7014558	accessible_not_acetylated	-2.3939319	-0.51472664	-0.8400531
chr7	158588323	1.0986123	3.7942662	-2.695654	accessible_not_acetylated	-1.1945467	-1.9618398	-0.78290844
chr6	56844284	0.6931472	3.3882806	-2.6951334	accessible_not_acetylated	-1.1345973	-0.9012687	-0.9583721
chr7	5296901	1.609438	4.3030243	-2.6935863	accessible_not_acetylated	-2.1512265	-1.2730756	-0.96381545
chr7	67364322	0.6931472	3.385453	-2.6923058	accessible_not_acetylated	-1.3183801	-1.3515089	-0.6273625
chr22	41926806	1.3862944	4.076312	-2.6900177	accessible_not_acetylated	-2.5903316	-1.5042114	-1.1023188
chr6	31982056	0.0	2.6899812	-2.6899812	accessible_not_acetylated	-0.1043551	-0.069067	-0.043922663
chr12	9752031	2.4849067	5.1736326	-2.688726	accessible_not_acetylated	-3.5758772	-0.7838783	-0.08090496
chr7	120857022	2.7080503	5.395991	-2.6879406	accessible_not_acetylated	-2.410501	-0.76461554	-0.5471368
chr21	44107367	0.6931472	3.3726726	-2.6795254	accessible_not_acetylated	1.5136275	0.58780885	-0.14411378
chr10	28302834	2.3025851	4.980535	-2.67795	accessible_not_acetylated	-2.5755048	-1.1326928	-1.2279177
chr17	8119744	2.944439	5.617916	-2.6734772	accessible_not_acetylated	-2.4482024	-0.35898829	0.026777744
chr7	3301262	0.0	2.6721673	-2.6721673	accessible_not_acetylated	-0.022342205	-1.2060926	-0.8174896
chr8	28494321	1.7917595	4.462918	-2.6711583	accessible_not_acetylated	-2.4247715	-1.4668653	-0.763824
chr10	103452405	0.0	2.6662767	-2.6662767	accessible_not_acetylated	-0.7092099	-1.2369843	-1.0028536
chr7	149813291	0.6931472	3.3572912	-2.664144	accessible_not_acetylated	-1.3234665	-0.530005	-0.6176493
chr6	88166035	0.0	2.6617906	-2.6617906	accessible_not_acetylated	1.3094375	-1.3858894	-0.5616243
chr7	102672923	0.6931472	3.3544803	-2.661333	accessible_not_acetylated	-1.6765038	0.3630023	-0.44591856
chr17	35764764	1.7917595	4.452449	-2.6606894	accessible_not_acetylated	-3.0522528	-1.1004796	-1.2342873
chr20	53594097	3.218876	5.8789015	-2.6600256	accessible_not_acetylated	-1.9782293	-1.4886765	-0.8367233
chr22	19036052	2.5649493	5.2225614	-2.657612	accessible_not_acetylated	-3.2249923	-0.98099375	-0.47891378
chr7	87220203	2.8332133	5.4857845	-2.6525712	accessible_not_acetylated	-1.3966208	-0.5364537	-0.4727211
chr6	99603513	1.7917595	4.4413743	-2.6496148	accessible_not_acetylated	-0.8503549	-0.7657597	-0.46897483
chr6	125749572	2.7725887	5.4168115	-2.6442227	accessible_not_acetylated	-0.8823352	-0.7735224	-0.7475972
chr17	83098015	0.0	2.6423619	-2.6423619	accessible_not_acetylated	-0.8876538	-0.7173896	-0.82498693
chr17	38604757	1.609438	4.250013	-2.640575	accessible_not_acetylated	-2.2204058	-1.6471834	-1.1372452
chr22	19953141	2.1972246	4.8374453	-2.6402206	accessible_not_acetylated	-2.2386966	-1.0847831	-0.43326664
chr12	123409310	1.0986123	3.7382283	-2.639616	accessible_not_acetylated	-0.8485093	-0.05773306	-0.07325292
chr7	87475743	0.0	2.6384358	-2.6384358	accessible_not_acetylated	-0.22579074	-0.96667635	-0.7461817
chr22	41926201	1.7917595	4.429978	-2.6382184	accessible_not_acetylated	-2.5643606	-1.4486742	-0.9540882
chr12	3300070	0.0	2.6373265	-2.6373265	accessible_not_acetylated	-0.13570356	-0.46238732	0.006590128
chr10	87436344	1.0986123	3.728653	-2.6300406	accessible_not_acetylated	-1.2527804	-0.53301907	-0.22976875
chr12	113093086	1.0986123	3.7248454	-2.626233	accessible_not_acetylated	-0.44093442	-0.87739706	-0.7335434
chr18	37485377	0.6931472	3.3149502	-2.621803	accessible_not_acetylated	0.6699405	-0.78038955	-0.26800036
chr6	166627491	1.9459102	4.566521	-2.620611	accessible_not_acetylated	-0.90937567	-1.4544525	-1.2710094
chr7	1369090	1.609438	4.228921	-2.619483	accessible_not_acetylated	-2.5545216	-2.363903	-1.6776047
chr6	132819707	2.8332133	5.4524145	-2.6192012	accessible_not_acetylated	-2.699381	-0.111246586	0.3169694
chr8	106270388	2.8332133	5.451258	-2.6180449	accessible_not_acetylated	-2.5201404	-1.6382403	-1.1937919
chr12	123151133	2.5649493	5.1828303	-2.617881	accessible_not_acetylated	-3.3721175	-1.2904706	-1.0139794
chr10	113679718	2.0794415	4.691614	-2.6121726	accessible_not_acetylated	-2.3371646	-1.5965846	-1.0746295
chr7	28179871	0.0	2.6096973	-2.6096973	accessible_not_acetylated	-1.1326106	-1.0363163	-0.9240823
chr20	59515199	0.0	2.6071796	-2.6071796	accessible_not_acetylated	-0.33177233	-0.68728113	-0.5355444
chr6	31529102	2.4849067	5.089366	-2.6044593	accessible_not_acetylated	-2.2053359	0.011143208	-0.1450386
chr22	15775829	0.0	2.6035895	-2.6035895	accessible_not_acetylated	-1.1012062	-0.9370477	-0.8729639
chr6	42453255	2.0794415	4.682557	-2.6031156	accessible_not_acetylated	-0.9946499	-1.5236211	-0.93965316
chr8	93917760	1.3862944	3.9857943	-2.5995	accessible_not_acetylated	-1.3869722	-1.5166657	-0.75273204
chr22	32207053	0.0	2.5965083	-2.5965083	accessible_not_acetylated	0.3801496	-0.85893726	-0.49701548
chr17	50596800	0.0	2.5959706	-2.5959706	accessible_not_acetylated	-0.7024696	-0.7506232	-0.50871825
chr7	520271	1.7917595	4.381651	-2.5898914	accessible_not_acetylated	-2.358078	-1.3581204	-1.2989526
chr20	50794904	2.0794415	4.662497	-2.5830555	accessible_not_acetylated	-2.1080065	-2.3368695	-1.2110105
chr17	78353227	1.7917595	4.3746433	-2.5828838	accessible_not_acetylated	-1.8996003	-1.360086	-0.54818654
chr8	12951510	0.0	2.5821364	-2.5821364	accessible_not_acetylated	0.9468427	-1.3741779	-0.76544046
chr17	44759172	0.6931472	3.272622	-2.579475	accessible_not_acetylated	-1.8136991	-2.1729178	-1.3981777
chr7	151632095	2.7080503	5.2857575	-2.5777073	accessible_not_acetylated	-2.6838357	-1.3514304	-0.7882328
chr12	57238438	2.7080503	5.282553	-2.574503	accessible_not_acetylated	-1.4418187	-0.260324	-0.4788823
chr7	144195698	0.0	2.5729847	-2.5729847	accessible_not_acetylated	0.09085059	-0.38287163	-0.38706923
chr10	50152889	0.6931472	3.2642717	-2.5711246	accessible_not_acetylated	-1.3363838	-1.4745246	-0.5036998
chr10	86400237	1.9459102	4.516564	-2.5706537	accessible_not_acetylated	-2.1336465	-1.2015088	-1.0797632
chr10	71964338	0.0	2.5672283	-2.5672283	accessible_not_acetylated	-0.75394034	-1.8329618	-1.4450887
chr10	79382072	0.6931472	3.2583861	-2.565239	accessible_not_acetylated	-0.89128137	-0.7532408	-0.45931053
chr17	82698772	2.3025851	4.8670897	-2.5645046	accessible_not_acetylated	-2.54731	-1.8073654	-1.0491099
chr20	40689702	0.6931472	3.2567103	-2.563563	accessible_not_acetylated	0.038131714	-0.99205256	-0.7854214
chr6	138692807	1.3862944	3.9483376	-2.5620432	accessible_not_acetylated	-1.2504485	-2.2194948	-1.8001561
chr6	32014794	0.0	2.560466	-2.560466	accessible_not_acetylated	0.025160074	-0.05991602	-0.043922663
chr17	38417135	2.0794415	4.6394296	-2.559988	accessible_not_acetylated	-1.5428257	-0.32886076	-0.17347622
chr8	92875736	2.4849067	5.0445967	-2.55969	accessible_not_acetylated	-3.537839	-0.64600277	-0.06569815
chr10	80144261	1.3862944	3.9419138	-2.5556195	accessible_not_acetylated	-1.7271218	-0.86693835	-0.8571384
chr17	50912023	0.0	2.5536683	-2.5536683	accessible_not_acetylated	-0.011801481	-0.18805313	0.08035922
chr10	30368355	0.0	2.5512726	-2.5512726	accessible_not_acetylated	-1.0483317	-0.91768944	-0.58960617
chr8	80171446	1.3862944	3.9342108	-2.5479164	accessible_not_acetylated	-1.6226797	-1.2135179	-0.56736135
chr12	108598138	0.0	2.5474362	-2.5474362	accessible_not_acetylated	0.50517344	-0.30398607	-0.467175
chr7	76260543	1.9459102	4.4921074	-2.5461972	accessible_not_acetylated	-1.5530024	-1.6878519	-1.3664913
chr21	10342257	2.6390574	5.1850643	-2.546007	accessible_not_acetylated	-1.8755147	-0.03276348	-0.40591383
chr12	123973083	2.7080503	5.253694	-2.5456438	accessible_not_acetylated	-1.3949196	-1.0282655	-0.7592664
chr10	25175360	0.0	2.544825	-2.544825	accessible_not_acetylated	-0.3556564	-1.3300076	-0.7513573
chr20	29328080	0.0	2.5421462	-2.5421462	accessible_not_acetylated	-0.061006546	-0.12888098	-0.2748332
chr6	116060560	1.7917595	4.3333225	-2.541563	accessible_not_acetylated	0.063694	0.02076006	0.22057772
chr12	132173287	0.0	2.540351	-2.540351	accessible_not_acetylated	-0.75016046	-1.0619591	-0.9481003
chr10	86366697	0.0	2.5398834	-2.5398834	accessible_not_acetylated	-1.0612541	-1.7903614	-1.1575388
