chr	center	observed_log	atac_pred_log	true_residual	class	GMseq_to_K562_residual	GMmm_to_K562_residual	GMresSeq_to_K562_residual	GMresMM_to_K562_residual
chr21	8991504	1.9459102	5.102384	-3.1564739	accessible_not_acetylated	-2.875627	1.1334019	-0.056299686	0.19344234
chr17	8885963	0.0	3.1487	-3.1487	accessible_not_acetylated	0.16296482	-1.8886182	-3.2164466	-1.9870348
chr21	8988855	0.6931472	3.8336697	-3.1405225	accessible_not_acetylated	-0.4046843	0.59827137	-0.12631774	0.10155034
chr21	8990385	2.1972246	5.327276	-3.1300516	accessible_not_acetylated	-3.1542983	0.21294832	-0.35122013	-0.021565914
chr22	18970685	1.0986123	4.200627	-3.1020145	accessible_not_acetylated	-1.5960937	-1.3823895	-0.5062561	-1.0386868
chr21	8996199	2.0794415	5.117382	-3.0379405	accessible_not_acetylated	-2.8728619	0.30563784	0.088647366	-0.10587549
chr7	102592752	1.0986123	4.125255	-3.0266428	accessible_not_acetylated	-2.2259748	-0.15971947	-0.82473636	-0.15733075
chr7	102490732	0.6931472	3.7091212	-3.015974	accessible_not_acetylated	-1.1251163	0.14647722	-0.18545437	0.0773983
chr21	43076392	0.6931472	3.7000747	-3.0069275	accessible_not_acetylated	-1.1741614	-0.71722174	-1.1096873	-1.1614599
chr7	29680800	1.0986123	4.0996137	-3.0010014	accessible_not_acetylated	-2.2842665	-0.13725305	-0.041855335	-0.6477854
chr8	37695623	1.609438	4.554417	-2.9449792	accessible_not_acetylated	-2.9108095	-1.7284071	-1.6030891	-1.892575
chr8	28623020	1.609438	4.5146704	-2.9052324	accessible_not_acetylated	-2.0991776	-2.1467226	-1.0634208	-1.8762531
chr21	8993207	2.7725887	5.654597	-2.882008	accessible_not_acetylated	-3.507852	0.033809662	-0.07777834	-0.18295717
chr17	46260077	0.0	2.8691406	-2.8691406	accessible_not_acetylated	-1.2641976	-1.4677888	-0.8693378	-0.8734641
chr18	26197296	0.0	2.8598833	-2.8598833	accessible_not_acetylated	-0.4982047	-0.27492118	-0.06674242	-0.09890413
chr18	67516819	1.3862944	4.2438345	-2.8575401	accessible_not_acetylated	-1.0657992	-1.8412836	-1.4133077	-1.5425382
chr18	12227575	0.0	2.8472462	-2.8472462	accessible_not_acetylated	-0.27694964	-0.39009404	-0.5540309	-0.34831047
chr7	102671756	1.7917595	4.630326	-2.8385663	accessible_not_acetylated	-0.5236826	0.24567652	0.5723872	0.44630527
chr8	544953	0.0	2.8279371	-2.8279371	accessible_not_acetylated	-0.23556614	-1.4396719	-1.7331429	-0.75224495
chr6	11538226	1.3862944	4.2128916	-2.8265972	accessible_not_acetylated	-2.6723971	-0.95098925	-1.0597918	-1.5726385
chr12	66968	1.3862944	4.20277	-2.8164759	accessible_not_acetylated	-2.9623408	-1.6394861	-0.94308877	-1.4230237
chr17	36935081	0.0	2.8089821	-2.8089821	accessible_not_acetylated	0.50454736	-1.9898937	-0.6086333	-1.56725
chr7	73154911	1.609438	4.4153447	-2.8059068	accessible_not_acetylated	-1.4532886	-0.3440876	-0.5972872	-0.2157793
chr6	43617898	1.7917595	4.5553193	-2.7635598	accessible_not_acetylated	-1.786705	0.14287376	0.3279338	0.011875153
chr10	133351835	0.6931472	3.4265957	-2.7334485	accessible_not_acetylated	-2.2201924	-1.696982	-1.0879688	-0.6481135
chr17	63476966	0.6931472	3.420385	-2.7272377	accessible_not_acetylated	-0.71030545	-1.0044811	-1.2198653	-1.5002915
chr7	144355395	0.0	2.7261305	-2.7261305	accessible_not_acetylated	0.5556662	-0.90855765	0.14261866	-0.49843764
chr20	56630243	0.0	2.7228765	-2.7228765	accessible_not_acetylated	0.168648	-1.7021964	-0.91808677	-0.89859056
chr10	87301626	0.6931472	3.4150705	-2.7219234	accessible_not_acetylated	-1.1828983	-0.3193009	-0.19987464	-0.14068484
chr10	75409105	1.609438	4.3302984	-2.7208605	accessible_not_acetylated	0.13585234	-1.2934933	-0.6592555	-0.60246205
chr6	127516296	0.0	2.7139678	-2.7139678	accessible_not_acetylated	-0.27675247	-1.6161838	-1.5624174	-1.4235845
chr17	68049219	0.6931472	3.4010139	-2.7078667	accessible_not_acetylated	-1.3745706	0.14325404	0.2547202	0.4317484
chr7	74773961	0.0	2.7051125	-2.7051125	accessible_not_acetylated	0.53292966	-0.13996625	0.49580145	0.44090605
chr20	37903052	0.6931472	3.3962297	-2.7030826	accessible_not_acetylated	-1.2992663	-2.802998	-1.6826272	-1.9546256
chr17	50560058	1.3862944	4.0757637	-2.6894693	accessible_not_acetylated	-0.027383804	-0.9230435	-0.5455668	-0.7900739
chr7	143837431	1.3862944	4.075631	-2.6893368	accessible_not_acetylated	-2.0791495	0.9370165	-1.2729638	0.4086604
chr7	122887437	0.6931472	3.356998	-2.6638508	accessible_not_acetylated	-1.0001948	-1.202548	-0.44384098	-1.0549364
chr22	17121058	0.0	2.6633782	-2.6633782	accessible_not_acetylated	-1.1151323	-2.0306613	-1.7614005	-1.3929366
chr6	31272155	1.0986123	3.7502356	-2.6516232	accessible_not_acetylated	0.6222825	-0.29816222	0.17032552	-0.11785054
chr20	63135012	0.6931472	3.3416438	-2.6484966	accessible_not_acetylated	-2.706281	-2.8696356	-3.3607733	-2.7330945
chr6	150072371	0.0	2.6344938	-2.6344938	accessible_not_acetylated	0.074812174	0.16843176	-0.09717202	0.11692214
chr6	166628074	1.609438	4.229782	-2.6203442	accessible_not_acetylated	-0.33623147	-0.9482794	-0.7473018	-1.0509751
chr20	10674001	1.3862944	4.00486	-2.6185656	accessible_not_acetylated	-0.99348164	-1.8958602	-1.346076	-2.1892776
chr7	123612225	0.0	2.618342	-2.618342	accessible_not_acetylated	-0.048051596	-0.115502834	0.109015465	0.12608695
chr18	36297101	1.0986123	3.7133205	-2.6147082	accessible_not_acetylated	-0.5999849	-1.3045487	-1.3700964	-0.6647613
chr7	102642791	0.0	2.6128752	-2.6128752	accessible_not_acetylated	-0.6409898	-0.27294064	-0.5193379	-0.10396123
chr20	62220145	0.0	2.6002636	-2.6002636	accessible_not_acetylated	-1.4362164	-1.9649143	-1.0832648	-1.6832694
chr18	61894444	0.0	2.599459	-2.599459	accessible_not_acetylated	-0.117729425	-2.0425591	-1.5139108	-1.8606973
chr10	116742868	1.0986123	3.6837327	-2.5851204	accessible_not_acetylated	-1.8377807	-1.9885105	-1.2611225	-1.4151068
chr12	64780641	0.0	2.5747538	-2.5747538	accessible_not_acetylated	-0.33344054	-1.1811806	-0.8221388	-1.3734758
chr22	20270385	1.609438	4.1778674	-2.5684295	accessible_not_acetylated	-2.40302	-0.14783812	-0.6299205	-0.4327011
chr18	32470696	1.609438	4.176076	-2.566638	accessible_not_acetylated	-2.3313837	-1.711813	-1.6779261	-1.3902557
chr12	70366240	1.3862944	3.9451504	-2.558856	accessible_not_acetylated	-2.9462874	-2.0866401	-1.9102407	-2.342297
chr12	49975382	0.0	2.5502992	-2.5502992	accessible_not_acetylated	0.6534195	-0.62073874	0.10215497	-0.18753934
chr7	75991145	1.609438	4.158817	-2.5493789	accessible_not_acetylated	-2.8387253	-0.57847524	-0.706604	-0.4325478
chr6	3752026	0.0	2.5474324	-2.5474324	accessible_not_acetylated	1.1081071	-1.2139783	-0.9040581	-1.2986405
chr8	67952251	0.0	2.5473652	-2.5473652	accessible_not_acetylated	-1.0740671	-1.9266635	-1.1238868	-1.8864951
chr6	31982056	0.0	2.5260644	-2.5260644	accessible_not_acetylated	0.19363403	0.47982478	0.14981174	0.17757416
chr22	18573814	2.0794415	4.6044436	-2.525002	accessible_not_acetylated	-1.3897934	0.6468878	-0.17988062	0.12500668
chr21	43044710	0.0	2.4999332	-2.4999332	accessible_not_acetylated	-0.40573287	-1.1886709	-0.34922934	-0.48416233
chr6	167834285	2.9957323	5.495065	-2.499333	accessible_not_acetylated	-3.2025576	-0.56885195	0.27690744	-0.29947424
chr7	116525535	2.5649493	5.0634856	-2.4985363	accessible_not_acetylated	-3.3556237	-0.974391	-1.1813622	-1.0597548
chr7	73157646	1.9459102	4.440646	-2.494736	accessible_not_acetylated	-2.6570706	-0.53443193	-0.5313177	-0.36616945
chr17	46361810	1.3862944	3.8661463	-2.479852	accessible_not_acetylated	0.057257652	-0.024785519	-0.32976818	-0.24979162
chr8	119863184	0.0	2.4719088	-2.4719088	accessible_not_acetylated	-1.1711526	-0.9165164	-0.07590103	-0.61372924
chr17	61463832	0.0	2.471583	-2.471583	accessible_not_acetylated	0.3539629	-1.4478395	-0.28140974	-0.6332425
chr6	47309174	1.9459102	4.415697	-2.469787	accessible_not_acetylated	-1.8644753	-1.5402782	-1.3098447	-1.1225758
chr7	102672923	0.6931472	3.1561742	-2.463027	accessible_not_acetylated	-0.9757619	-0.4116459	-0.51632404	-0.055810213
chr22	19037128	1.7917595	4.2503743	-2.4586148	accessible_not_acetylated	-2.7297	0.8709655	0.03780079	0.482399
chr7	74964486	1.9459102	4.402491	-2.4565809	accessible_not_acetylated	-1.4753346	-0.7121353	-0.46602893	-0.18992758
chr21	10342257	2.6390574	5.0947194	-2.455662	accessible_not_acetylated	-1.0996778	0.24621105	-0.03191614	0.23451328
chr7	67364322	0.6931472	3.1457472	-2.4526	accessible_not_acetylated	-1.6130857	-1.857649	-0.9755168	-1.1632954
chr8	47188919	0.0	2.4469583	-2.4469583	accessible_not_acetylated	-1.833662	-1.5101347	-0.9477339	-2.1060824
chr6	138001952	0.0	2.4446464	-2.4446464	accessible_not_acetylated	-0.23145056	-1.2587616	-0.46116078	-0.10318351
chr17	19108711	0.0	2.443461	-2.443461	accessible_not_acetylated	-0.18040729	0.36160827	0.41077995	0.630877
chr18	46964526	0.0	2.4428463	-2.4428463	accessible_not_acetylated	0.74259806	-1.5842388	-1.0694118	-1.0327582
chr7	76438061	0.0	2.4381666	-2.4381666	accessible_not_acetylated	0.09699607	-0.18278527	0.06832886	0.47774863
chr17	44308567	0.6931472	3.1286526	-2.4355054	accessible_not_acetylated	-1.27143	-1.7244546	-1.0771108	-1.250405
chr18	47025128	0.6931472	3.1198032	-2.426656	accessible_not_acetylated	-0.54695106	-1.1517282	-0.62188673	-0.93968797
chr17	46979264	0.0	2.4255257	-2.4255257	accessible_not_acetylated	-1.0597146	-1.2953135	-1.2763761	-1.7720388
chr21	45973940	1.3862944	3.809031	-2.4227366	accessible_not_acetylated	-0.18306541	-1.022357	-0.6215763	-0.7456336
chr22	33921174	0.0	2.414434	-2.414434	accessible_not_acetylated	0.8960631	-1.5348771	-1.0795417	-1.288691
chr21	46699290	0.0	2.409335	-2.409335	accessible_not_acetylated	1.1861947	-0.79807353	0.46440983	-0.35695267
chr7	87475743	0.0	2.4010236	-2.4010236	accessible_not_acetylated	0.6618743	-1.6069167	-0.8032868	-1.2238469
chr17	18563558	0.0	2.3964782	-2.3964782	accessible_not_acetylated	-0.58503175	-1.0973586	-0.27526116	-0.12794685
chr20	21506325	0.6931472	3.0841181	-2.390971	accessible_not_acetylated	-0.66545844	-1.9777762	-1.1717982	-1.6977105
chr12	123973083	2.7080503	5.09762	-2.3895698	accessible_not_acetylated	-2.630738	-0.44127655	-0.98045826	-0.90498734
chr7	102289962	0.0	2.3790073	-2.3790073	accessible_not_acetylated	0.6788945	-0.048200607	-0.37211037	-0.41448593
chr10	71964338	0.0	2.3780525	-2.3780525	accessible_not_acetylated	-0.63098514	-1.9367228	-1.4025407	-1.6779943
chr20	59515199	0.0	2.3662796	-2.3662796	accessible_not_acetylated	-0.8111861	-1.2797946	-0.8459759	-0.6554291
chr6	32014794	0.0	2.361837	-2.361837	accessible_not_acetylated	0.35786152	0.4138906	0.14981174	0.08834505
chr12	62435858	1.609438	3.9632607	-2.3538227	accessible_not_acetylated	-0.8858149	-0.8620064	-0.37976336	-0.2906568
chr10	58319805	0.0	2.3528078	-2.3528078	accessible_not_acetylated	-0.7030816	-0.50598896	-0.03839588	0.08177829
chr22	50600486	0.0	2.3509054	-2.3509054	accessible_not_acetylated	-0.8438332	-1.3085136	-1.1740005	-1.0706229
chr10	25934072	0.0	2.3495843	-2.3495843	accessible_not_acetylated	0.47159433	-1.2440268	-0.4471755	-0.97873163
chr7	5296901	1.609438	3.9549875	-2.3455496	accessible_not_acetylated	-2.093777	-1.6274574	-1.5738626	-1.5943878
chr7	76260543	1.9459102	4.288532	-2.3426216	accessible_not_acetylated	-2.491314	-2.29082	-1.8580627	-1.9042721
chr7	158587786	0.6931472	3.0347824	-2.3416352	accessible_not_acetylated	-0.98930216	-1.8469844	-1.5952123	-1.2388189
chr7	5898689	2.3978953	4.736163	-2.3382678	accessible_not_acetylated	-0.12707043	0.11528015	0.4119811	0.17871857
chr12	132173287	0.0	2.3293743	-2.3293743	accessible_not_acetylated	1.006161	-1.6191312	-0.40124774	-0.6882502
chr10	86366697	0.0	2.3276474	-2.3276474	accessible_not_acetylated	-0.8977499	-2.179186	-1.53198	-2.0067334
chr7	28179871	0.0	2.3275032	-2.3275032	accessible_not_acetylated	-0.15049934	-0.89629054	-0.80178535	-0.5967958
chr10	84156163	1.9459102	4.2684064	-2.3224962	accessible_not_acetylated	-2.3852534	-0.3199923	0.1982913	-0.3183601
chr8	80578510	0.0	2.310904	-2.310904	accessible_not_acetylated	-0.12846446	-1.3789339	-1.5851545	-1.8130554
chr10	117241870	0.0	2.310373	-2.310373	accessible_not_acetylated	-0.046248913	-1.3721967	-1.1483785	-1.4468536
chr7	94658264	1.0986123	3.4082766	-2.3096642	accessible_not_acetylated	-1.502917	-0.14596939	-1.3340333	-1.0128608
chr17	79991794	0.0	2.3059564	-2.3059564	accessible_not_acetylated	-1.1224043	-1.1151026	-1.2879802	-1.3438184
chr10	46598002	0.0	2.3029368	-2.3029368	accessible_not_acetylated	-0.5989039	-0.99155164	-0.7708299	-0.91444635
chr7	5451008	0.6931472	2.992424	-2.2992768	accessible_not_acetylated	-1.4799733	-0.41481948	-0.2769704	-0.5539534
chr12	49539066	0.6931472	2.987991	-2.294844	accessible_not_acetylated	-1.4024978	-1.0447935	-1.3095258	-1.1891047
chr7	1670146	0.0	2.2939882	-2.2939882	accessible_not_acetylated	0.38473415	-1.7304152	-1.2944169	-1.4850003
chr6	170423290	0.0	2.293911	-2.293911	accessible_not_acetylated	1.9833307	-0.21320462	-0.14129066	0.06440735
chr7	1369090	1.609438	3.9005609	-2.291123	accessible_not_acetylated	-2.1287584	-1.827277	-1.7428477	-1.8197062
chr22	15775829	0.0	2.2899365	-2.2899365	accessible_not_acetylated	-0.095495224	-1.2959931	-1.2689581	-0.11389184
chr7	24757772	0.6931472	2.9827442	-2.289597	accessible_not_acetylated	0.02227521	-1.1988702	-0.8226614	-1.7600285
chr17	8885354	0.6931472	2.9786263	-2.285479	accessible_not_acetylated	0.48769093	-1.4732246	-2.8969278	-1.7445842
chr6	56844284	0.6931472	2.9748807	-2.2817335	accessible_not_acetylated	-0.2740941	-0.960886	-1.0899912	-1.4285635
chr7	3301262	0.0	2.2811456	-2.2811456	accessible_not_acetylated	-0.51381326	-1.9843234	-1.211424	-0.53827834
chr20	3670808	0.0	2.2796333	-2.2796333	accessible_not_acetylated	-0.9285691	-0.6985103	-0.80694735	-0.45495677
chr8	94948813	1.609438	3.8878522	-2.2784142	accessible_not_acetylated	-0.26698518	-1.1023414	-0.5547657	-0.42194104
chr12	122865839	1.0986123	3.3754911	-2.2768788	accessible_not_acetylated	-0.3315451	-1.068964	-0.3281777	-0.6163442
chr12	51848085	0.0	2.273073	-2.273073	accessible_not_acetylated	0.91627526	-1.25397	-1.2880111	-1.5526152
chr7	73191059	1.609438	3.8807797	-2.2713418	accessible_not_acetylated	-0.17201352	0.5589895	0.41935968	0.49548674
chr12	108598138	0.0	2.2674565	-2.2674565	accessible_not_acetylated	-0.52447176	-0.8086995	-0.19908929	-0.68033624
chr12	125141200	0.0	2.2617574	-2.2617574	accessible_not_acetylated	-0.03528452	-0.31952882	0.12156725	-0.1301179
chr8	142475726	1.0986123	3.3594348	-2.2608225	accessible_not_acetylated	-0.8135588	-1.4053706	-1.3715594	-1.3284705
chr10	103452405	0.0	2.2600763	-2.2600763	accessible_not_acetylated	-0.07073569	-1.323766	-0.95845103	-1.0626339
chr10	12349371	1.0986123	3.3582487	-2.2596364	accessible_not_acetylated	0.065678835	-1.930127	-0.7631242	-1.6202879
chr22	21363107	1.0986123	3.3547792	-2.256167	accessible_not_acetylated	-1.9072826	-0.7543483	-0.6392317	-0.5384438
chr21	36747565	0.6931472	2.9456983	-2.252551	accessible_not_acetylated	-1.1282486	-1.7493654	-1.3285922	-1.0302666
chr12	106247750	0.0	2.2504811	-2.2504811	accessible_not_acetylated	-1.1657234	-1.3334444	-1.0054963	-1.6543925
chr8	72537168	0.0	2.2485976	-2.2485976	accessible_not_acetylated	-0.48530436	-1.8771108	-1.3706846	-1.9879084
chr6	132819707	2.8332133	5.0790277	-2.2458143	accessible_not_acetylated	-2.7674482	0.50554085	0.2411251	0.1695075
chr17	46851389	0.6931472	2.938888	-2.245741	accessible_not_acetylated	-1.1512003	-1.8376403	-1.7946744	-1.6427116
chr22	46149647	0.6931472	2.9381337	-2.2449865	accessible_not_acetylated	-0.5134921	-1.4876091	-0.97427356	-1.2905526
chr22	43245287	0.0	2.2403831	-2.2403831	accessible_not_acetylated	-0.07833767	-1.148035	-0.5389483	-0.83336115
chr8	11466999	1.3862944	3.6246073	-2.238313	accessible_not_acetylated	-0.19777918	-1.9068985	-1.026319	-1.547843
chr7	1666012	0.6931472	2.9306893	-2.2375422	accessible_not_acetylated	-0.4920609	-2.2287436	-1.5972568	-1.9921944
chr10	132464012	0.0	2.2371814	-2.2371814	accessible_not_acetylated	-0.3746122	-1.0229076	-0.68084943	-0.59719336
chr8	138914562	0.0	2.234432	-2.234432	accessible_not_acetylated	0.7729614	-1.4847527	-0.89338946	-0.9787328
chr7	29680159	1.609438	3.8352728	-2.2258348	accessible_not_acetylated	-2.493164	-0.15813613	-0.10997915	-0.6595404
chr7	97075947	0.0	2.2194176	-2.2194176	accessible_not_acetylated	-0.59257555	-0.8608422	-0.42094493	-0.5808108
chr7	158588323	1.0986123	3.3141594	-2.215547	accessible_not_acetylated	-1.1392689	-1.3647511	-1.2396209	-1.4919091
chr10	75400037	0.0	2.213485	-2.213485	accessible_not_acetylated	0.8010547	-1.5176703	-1.2653408	-1.9043077
chr7	149813291	0.6931472	2.9038033	-2.2106562	accessible_not_acetylated	-0.8189144	0.39749765	-0.31228924	-0.28970218
chr17	75743050	0.0	2.2083206	-2.2083206	accessible_not_acetylated	-0.634078	-0.36176264	-0.09944177	-0.0814836
chr12	48183491	1.0986123	3.3065228	-2.2079105	accessible_not_acetylated	-0.2897067	-1.1897104	-0.89793754	-0.90960646
chr17	49058621	0.0	2.2071161	-2.2071161	accessible_not_acetylated	-0.11886668	0.18597746	0.33997726	0.42334986
chr8	37479466	0.0	2.2066529	-2.2066529	accessible_not_acetylated	-1.0084131	-0.75461483	-0.75457144	-0.4302925
chr17	38257303	2.4849067	4.689293	-2.2043862	accessible_not_acetylated	-2.0964243	-0.75177455	-0.7604177	-0.52329636
chr6	88166035	0.0	2.202146	-2.202146	accessible_not_acetylated	0.8540592	-1.6784024	-1.0389299	-1.4807074
chr6	43619318	2.6390574	4.8386416	-2.1995842	accessible_not_acetylated	-2.0578015	-0.06135845	0.16322994	-0.115511894
chr12	25958784	1.0986123	3.2980266	-2.1994143	accessible_not_acetylated	-1.1973526	-1.5153424	-0.9376676	-1.3297403
chr17	79097615	0.0	2.197029	-2.197029	accessible_not_acetylated	0.9372606	-1.3962975	-0.6663612	-1.180151
chr7	144259628	0.0	2.1919518	-2.1919518	accessible_not_acetylated	-0.16757107	-0.01374054	-0.3753295	-0.2774892
chr8	59118854	0.6931472	2.884156	-2.1910088	accessible_not_acetylated	0.19849896	-1.3439989	-0.3364203	-1.2830292
chr17	35764764	1.7917595	3.9815333	-2.1897738	accessible_not_acetylated	-2.3758135	-1.5703228	-1.0120275	-1.1508229
chr10	30368355	0.0	2.1874983	-2.1874983	accessible_not_acetylated	-0.8454063	-0.6291702	-0.30053222	-0.8772073
chr21	44241004	0.0	2.179378	-2.179378	accessible_not_acetylated	-0.039942265	-1.5515144	-2.151414	-2.0418417
chr10	119029708	2.0794415	4.2578974	-2.1784558	accessible_not_acetylated	-2.1957731	-0.96768403	-0.71213484	-0.98387885
chr10	71212534	2.1972246	4.372958	-2.1757336	accessible_not_acetylated	-1.7887497	-1.8711429	-0.61347675	-1.2217782
chr12	120650506	0.0	2.1750355	-2.1750355	accessible_not_acetylated	0.75385475	-0.6158687	0.39286828	-0.16045761
chr12	62269152	3.465736	5.635129	-2.169393	accessible_not_acetylated	-3.7728338	-0.84867	-0.07698345	-0.233037
chr8	11446963	0.0	2.1671789	-2.1671789	accessible_not_acetylated	-0.3451302	-0.21983969	-0.41255665	-0.355618
chr18	67516136	1.3862944	3.5493765	-2.1630821	accessible_not_acetylated	-0.09527612	-1.2298582	-1.1536341	-1.189244
chr12	42483824	1.9459102	4.106861	-2.160951	accessible_not_acetylated	-1.2879319	-0.91939235	-1.3006034	-1.4841795
chr7	150979302	2.5649493	4.7124014	-2.147452	accessible_not_acetylated	-2.8417354	-0.997236	-0.8724613	-0.97452164
chr7	5443852	0.0	2.144574	-2.144574	accessible_not_acetylated	1.1606314	-0.5312686	-0.056992292	-0.019063234
chr8	143953435	3.218876	5.3607526	-2.1418767	accessible_not_acetylated	-3.0453846	-1.9305749	-1.8319252	-1.2456012
chr6	156762876	0.0	2.137169	-2.137169	accessible_not_acetylated	-0.4012729	0.21716261	-0.3563751	0.08049035
chr17	74972780	1.0986123	3.2335887	-2.1349764	accessible_not_acetylated	0.011616945	-1.4801096	-0.95401955	-1.1070647
chr21	5123911	0.0	2.1315174	-2.1315174	accessible_not_acetylated	0.5678258	-0.2726326	-0.33414042	-0.015022993
chr21	17512636	1.3862944	3.5159574	-2.129663	accessible_not_acetylated	0.079212904	-0.8543973	-0.76645136	-0.8596883
chr18	75979	0.0	2.1296103	-2.1296103	accessible_not_acetylated	2.0980356	-1.1867249	0.0072522163	-0.29544413
chr8	144397053	1.609438	3.7379785	-2.1285405	accessible_not_acetylated	-1.2964592	-1.7038925	-1.3670547	-1.3290687
chr17	50596800	0.0	2.1276224	-2.1276224	accessible_not_acetylated	-0.09271121	-1.2614537	-0.45941973	-0.9415233
chr22	42343817	0.0	2.1245267	-2.1245267	accessible_not_acetylated	-1.2892656	-1.8188386	-0.6816423	-0.98629737
chr12	26833252	2.3978953	4.519332	-2.1214366	accessible_not_acetylated	-1.6820731	-1.0260131	-1.0716712	-0.9652481
chr8	12951510	0.0	2.1175334	-2.1175334	accessible_not_acetylated	1.1825585	-1.1211258	-1.0319724	-1.1417667
chr12	57238438	2.7080503	4.8196983	-2.111648	accessible_not_acetylated	-3.0028968	-0.6910672	-0.27739716	-0.29918575
chr10	113679718	2.0794415	4.1905828	-2.1111412	accessible_not_acetylated	0.4861331	-1.6667423	-0.596416	-1.8779645
chr10	25175360	0.0	2.1101327	-2.1101327	accessible_not_acetylated	0.1141212	-1.6156572	-1.4229249	-1.3461109
chr22	20146059	0.6931472	2.802783	-2.1096358	accessible_not_acetylated	-0.48770523	-1.0410805	-0.96374583	-1.2205491
chr7	77679096	0.0	2.103854	-2.103854	accessible_not_acetylated	-0.25708723	0.35330772	0.15821958	0.5528822
chr7	153406747	2.7080503	4.8077726	-2.0997224	accessible_not_acetylated	-2.5643802	0.4560871	-0.011347771	0.27244425
chr17	35764247	1.9459102	4.04434	-2.09843	accessible_not_acetylated	-2.1163065	-1.7167695	-1.2022266	-1.0621047
chr17	74966480	0.0	2.0972211	-2.0972211	accessible_not_acetylated	1.0714893	0.14393687	0.806335	0.6143825
